代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12845335.460000000894070
真實報酬,2845335.460000000894070

夏普值報酬,0.275833546000000
夏普值風險,0.074871332805617
夏普值,3.684100919054385

二次趨勢線,9.151180762623001 x^2 + 8913.395860923981672 x + 10000000.000000000000000
二次平均預期報酬,11219.493413104979481
風險,148577.915845451469067
二次平均趨勢值,0.075512523844899
一次趨勢線,10639.530509822870954 x + 10000000.000000000000000
一次預期報酬,10639.530509822870954
一次風險,162085.452513626107248
一次趨勢值,0.065641489379983
找到最佳解世代,3404
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
BA[2](12),CAT[3](2),DD[7](1),JNJ[12](8),MRK[17](7),UNH[23](10),
FS( 25 ),1726720.720000000204891,1609970.500000000000000,1605998.260000000009313,1743001.120000000344589,1630891.039999999804422,1792991.640000000130385,10109577.280000001192093
FS( 26 ),1731849.360000000335276,1651186.000000000000000,1651328.650000000139698,1748706.580000000074506,1638114.829999999841675,1803872.630000000121072,10225062.050000000745058
FS( 27 ),1745415.440000000176951,1644026.499999999767169,1640081.260000000009313,1755789.220000000204891,1649810.489999999990687,1796441.709999999962747,10231568.620000001043081
FS( 28 ),1768246.160000000149012,1677695.500000000000000,1659849.400000000139698,1764249.040000000270084,1661850.140000000130385,1814222.840000000083819,10346117.080000000074506
FS( 29 ),1685360.720000000204891,1686790.000000000000000,1656100.270000000251457,1770544.720000000204891,1669761.909999999916181,1804668.800000000046566,10273230.420000001788139
FS( 30 ),1748062.480000000214204,1691240.500000000000000,1669733.470000000204891,1778611.060000000288710,1669073.930000000167638,1794583.980000000214204,10351309.420000001788139
FS( 31 ),1724404.560000000288710,1706140.000000000000000,1648942.840000000083819,1778611.060000000288710,1659098.219999999739230,1775741.290000000037253,10292941.969999998807907
FS( 32 ),1733669.200000000186265,1677115.000000000000000,1685752.479999999981374,1773299.080000000074506,1655658.320000000065193,1757694.770000000251457,10283192.849999999627471
FS( 33 ),1780654.160000000149012,1658732.500000000000000,1678595.050000000046566,1774086.040000000270084,1630547.049999999813735,1872343.250000000000000,10394962.050000000745058
FS( 34 ),1769569.680000000167638,1657378.000000000000000,1682685.010000000009313,1814614.480000000214204,1643962.659999999916181,1896228.350000000093132,10464442.179999999701977
FS( 35 ),1767915.280000000260770,1664150.500000000000000,1678935.879999999888241,1815598.180000000167638,1641554.729999999981374,1915601.820000000298023,10483760.390000000596046
FS( 36 ),1783301.200000000186265,1654862.500000000000000,1676890.900000000139698,1818352.540000000270084,1648778.520000000018626,1929136.709999999962747,10511326.370000001043081
FS( 37 ),1769404.240000000223517,1614614.500000000000000,1668370.150000000139698,1817172.100000000093132,1643274.680000000167638,1924890.469999999972060,10437730.140000000596046
FS( 38 ),1765268.240000000223517,1589459.500000000000000,1698363.189999999944121,1821303.640000000130385,1657034.280000000027940,1927278.980000000214204,10458711.830000000074506
FS( 39 ),1747069.840000000083819,1587911.500000000000000,1684389.160000000149012,1826418.880000000121072,1668041.959999999962747,1916397.989999999990687,10430233.330000000074506
FS( 40 ),1734000.080000000307336,1606487.500000000000000,1698704.020000000251457,1833895.000000000000000,1662882.110000000102445,1931790.610000000102445,10467763.320000000298023
FS( 41 ),1749220.560000000288710,1609777.000000000000000,1701771.489999999990687,1833108.040000000270084,1652906.399999999906868,1917990.329999999841675,10464777.820000000298023
FS( 42 ),1738797.840000000083819,1604359.000000000000000,1700749.000000000000000,1839600.460000000195578,1657034.280000000027940,1933382.949999999953434,10473927.529999999329448
FS( 43 ),1765268.240000000223517,1633964.500000000000000,1718131.329999999841675,1844912.440000000176951,1671137.869999999878928,1941610.040000000037253,10575028.420000001788139
FS( 44 ),1785121.040000000270084,1631255.500000000000000,1758008.439999999944121,1857110.320000000298023,1669761.909999999916181,1917724.940000000176951,10618986.150000000372529
FS( 45 ),1778503.440000000176951,1616936.500000000000000,1770619.150000000139698,1845502.660000000149012,1669417.919999999925494,1946387.060000000055879,10627370.730000002309680
FS( 46 ),1770893.200000000186265,1597006.000000000000000,1750169.350000000093132,1845699.400000000139698,1666322.009999999776483,1943733.159999999916181,10573827.120000001043081
FS( 47 ),1760635.920000000158325,1595071.000000000232831,1761416.739999999990687,1842748.300000000046566,1670105.899999999906868,1935240.680000000167638,10565222.539999999105930
FS( 48 ),1751040.400000000139698,1624676.499999999767169,1791409.780000000027940,1836452.620000000344589,1667353.979999999981374,1942140.820000000298023,10613078.099999999627471
FS( 49 ),1742602.960000000195578,1635319.000000000000000,1846283.410000000149012,1817172.100000000093132,1664602.060000000055879,1935506.070000000298023,10641489.600000001490116
FS( 50 ),1724570.000000000000000,1670342.499999999767169,1819017.010000000009313,1810089.460000000195578,1667353.979999999981374,1921175.010000000009313,10612551.959999999031425
FS( 51 ),1757492.560000000288710,1675179.999999999767169,1838444.320000000065193,1829960.200000000186265,1665978.020000000018626,1946652.449999999953434,10713711.549999998882413
FS( 52 ),1723246.480000000214204,1660667.499999999767169,1832309.379999999888241,1784513.260000000242144,1670793.879999999888241,1923828.909999999916181,10595363.410000000149012
FS( 53 ),1699588.560000000288710,1661441.500000000000000,1803338.829999999841675,1761888.160000000149012,1650154.479999999981374,1894901.400000000139698,10471316.930000001564622
FS( 54 ),1711831.120000000111759,1647896.500000000000000,1790387.290000000037253,1758346.840000000316650,1640866.750000000000000,1895697.570000000298023,10445030.070000000298023
FS( 55 ),1732511.120000000111759,1629320.500000000000000,1777776.579999999841675,1779594.760000000242144,1636738.869999999878928,1903128.489999999990687,10459074.320000000298023
FS( 56 ),1731022.160000000149012,1622741.500000000000000,1793454.760000000009313,1765429.480000000214204,1636050.890000000130385,1923032.739999999990687,10471735.530000001192093
FS( 57 ),1719110.480000000214204,1604939.500000000000000,1802657.170000000158325,1747132.660000000149012,1632610.989999999990687,1906843.949999999953434,10413298.750000000000000
FS( 58 ),1739459.600000000093132,1628740.000000000000000,1805042.979999999981374,1736508.700000000186265,1644650.640000000130385,1910028.630000000121072,10464434.550000000745058
FS( 59 ),1745084.560000000288710,1623322.000000000000000,1880366.410000000149012,1739459.800000000046566,1641898.719999999739230,1925155.860000000102445,10555291.349999999627471
FS( 60 ),1745911.760000000242144,1616936.500000000000000,1875935.620000000111759,1722146.680000000167638,1638114.829999999841675,1920909.619999999878928,10519959.009999999776483
FS( 61 ),1707529.680000000167638,1600295.500000000000000,1823106.970000000204891,1695390.040000000270084,1620571.339999999850988,1898086.079999999841675,10344983.610000001266599
FS( 62 ),1708522.320000000065193,1595458.000000000000000,1817653.689999999944121,1702472.680000000167638,1619883.360000000102445,1898616.860000000102445,10342610.909999998286366
FS( 63 ),1735985.360000000335276,1597006.000000000000000,1821061.989999999990687,1703259.640000000130385,1620227.350000000093132,1922501.959999999962747,10400046.300000000745058
FS( 64 ),1719275.920000000158325,1597199.500000000232831,1815267.879999999888241,1700111.800000000046566,1626763.159999999916181,1903924.659999999916181,10362546.919999999925494
FS( 65 ),1737308.880000000353903,1596619.000000000000000,1817312.860000000102445,1700308.540000000270084,1624011.239999999990687,1925686.640000000130385,10401251.160000000149012
FS( 66 ),1759808.720000000204891,1616549.500000000232831,1833672.699999999953434,1709752.060000000288710,1640178.770000000018626,1946652.449999999953434,10506618.200000001117587
FS( 67 ),1764441.040000000270084,1605133.000000000000000,1864347.400000000139698,1712506.420000000391155,1634330.939999999944121,1964964.360000000102445,10545727.160000000149012
FS( 68 ),1754845.520000000018626,1613647.000000000000000,1871504.829999999841675,1714867.300000000046566,1633642.959999999962747,1965495.140000000130385,10554006.750000000000000
FS( 69 ),1773374.800000000046566,1656217.000000000000000,1883774.710000000195578,1722736.900000000139698,1642242.709999999962747,1970537.550000000046566,10648887.670000001788139
FS( 70 ),1789587.920000000158325,1675954.000000000000000,1940693.320000000065193,1741820.680000000167638,1650498.469999999739230,1980622.369999999878928,10779180.759999999776483
FS( 71 ),1807124.560000000288710,1686016.000000000000000,1934217.550000000046566,1755592.480000000214204,1656002.310000000055879,1995218.820000000298023,10834175.720000000670552
FS( 72 ),1816554.640000000130385,1680404.500000000000000,1886160.520000000251457,1751264.200000000186265,1646026.600000000093132,1983541.659999999916181,10763956.120000001043081
FS( 73 ),1841866.960000000195578,1683694.000000000000000,1935240.040000000037253,1742607.640000000130385,1643962.659999999916181,1976641.520000000251457,10824016.820000000298023
FS( 74 ),1913667.920000000158325,1686983.500000000232831,1931831.739999999990687,1751657.680000000167638,1657722.259999999776483,1993626.480000000214204,10935493.580000000074506
FS( 75 ),1937491.280000000260770,1684854.999999999767169,1927400.949999999953434,1752247.900000000139698,1651530.439999999944121,1972129.890000000130385,10925659.460000000894070
FS( 76 ),1958833.040000000270084,1699754.500000000000000,1983297.070000000065193,1768970.800000000046566,1664946.049999999813735,1938425.360000000102445,11014230.820000000298023
FS( 77 ),1969421.200000000186265,1698013.000000000000000,1971027.189999999944121,1772118.640000000130385,1660130.189999999944121,1880039.560000000055879,10950753.780000001192093
FS( 78 ),1929550.160000000149012,1639963.000000000000000,1927060.120000000111759,1764445.780000000260770,1651530.439999999944121,1872874.029999999795109,10785427.529999999329448
FS( 79 ),1944108.880000000353903,1645381.000000000000000,1904565.340000000083819,1752838.120000000344589,1640178.770000000018626,1906047.779999999795109,10793123.890000000596046
FS( 80 ),1968759.440000000176951,1646929.000000000000000,1898430.400000000139698,1735721.740000000223517,1635018.919999999925494,1919317.279999999795109,10804180.779999999329448
FS( 81 ),1960652.880000000353903,1635125.500000000000000,1934558.379999999888241,1713293.380000000121072,1639834.780000000027940,1910294.020000000251457,10793762.939999999478459
FS( 82 ),1975046.160000000149012,1629320.500000000000000,1941034.150000000139698,1713096.640000000130385,1640178.770000000018626,1915071.040000000037253,10813751.260000001639128
FS( 83 ),1964458.000000000000000,1621580.500000000000000,1893999.610000000102445,1706407.480000000214204,1643962.659999999916181,1910559.409999999916181,10740971.660000000149012
FS( 84 ),1943943.440000000176951,1613840.500000000000000,1864006.570000000065193,1705620.520000000251457,1637770.839999999850988,1900474.590000000083819,10665660.460000000894070
FS( 85 ),1948079.440000000176951,1620806.500000000000000,1859575.780000000027940,1720966.240000000223517,1676641.709999999962747,1926217.419999999925494,10752291.090000001713634
FS( 86 ),1949568.400000000139698,1626804.999999999767169,1878321.429999999934807,1717424.920000000391155,1663914.079999999841675,1925952.029999999795109,10761989.859999999403954
FS( 87 ),1906554.000000000000000,1624870.000000000000000,1881729.729999999981374,1703456.380000000121072,1663570.089999999850988,1924625.079999999841675,10704809.279999999329448
FS( 88 ),1938980.240000000223517,1629320.500000000000000,1941034.150000000139698,1717818.400000000139698,1659098.219999999739230,1937098.409999999916181,10823353.920000001788139
FS( 89 ),1930542.800000000046566,1616356.000000000000000,1910018.620000000111759,1703653.120000000344589,1647402.560000000055879,1915336.430000000167638,10723313.529999999329448
FS( 90 ),1909862.800000000046566,1603198.000000000000000,1869800.679999999934807,1684372.600000000093132,1642586.699999999953434,1897024.520000000251457,10606849.299999998882413
FS( 91 ),1893815.120000000111759,1616162.500000000000000,1889227.989999999990687,1691258.500000000000000,1626075.180000000167638,1894370.619999999878928,10610913.910000000149012
FS( 92 ),1967105.040000000270084,1639576.000000000000000,1960802.290000000037253,1727065.180000000167638,1633642.959999999962747,1963372.020000000251457,10891567.489999998360872
FS( 93 ),1951884.560000000288710,1656604.000000000000000,1993521.970000000204891,1759920.760000000242144,1626763.159999999916181,1971068.329999999841675,10959766.780000001192093
FS( 94 ),1976369.680000000167638,1668794.500000000000000,1981252.090000000083819,1766806.660000000149012,1608187.699999999953434,1983010.880000000121072,10984425.510000001639128
FS( 95 ),1955193.360000000335276,1659313.000000000000000,1962506.439999999944121,1769364.280000000260770,1601995.879999999888241,1960452.730000000214204,10908829.690000001341105
FS( 96 ),1990928.400000000139698,1669375.000000000000000,1996248.610000000102445,1792579.600000000093132,1622635.280000000027940,1995484.209999999962747,11067255.100000001490116
FS( 97 ),2023189.200000000186265,1661248.000000000000000,2008859.320000000065193,1809499.240000000223517,1620571.339999999850988,1894105.230000000214204,11017476.330000001937151
FS( 98 ),2026994.320000000065193,1690079.500000000000000,2005110.189999999944121,1802810.080000000074506,1603371.839999999850988,1824838.440000000176951,10953208.369999999180436
FS( 99 ),2009623.120000000111759,1697045.500000000000000,2007496.000000000000000,1794350.260000000242144,1599931.939999999944121,1809976.600000000093132,10918427.419999999925494
FS( 100 ),2026332.560000000288710,1725490.000000000000000,2016698.410000000149012,1817172.100000000093132,1598555.979999999981374,1827492.340000000083819,11011745.390000000596046
FS( 101 ),2134530.320000000298023,1620806.500000000000000,1991817.820000000065193,1812056.860000000102445,1601651.890000000130385,1804934.190000000176951,10965801.580000000074506
FS( 102 ),2133868.559999999590218,1635706.000000000000000,1971708.850000000093132,1816975.360000000102445,1589956.229999999981374,1794318.590000000083819,10942537.589999999850988
FS( 103 ),2170430.799999999813735,1640350.000000000000000,1918198.540000000037253,1811860.120000000344589,1600963.909999999916181,1794583.980000000214204,10936391.349999999627471
FS( 104 ),2148758.160000000149012,1630868.500000000000000,1898430.400000000139698,1817762.320000000298023,1560029.100000000093132,1776537.459999999962747,10832389.940000001341105
FS( 105 ),2145118.480000000447035,1626804.999999999767169,1915131.070000000065193,1832517.820000000298023,1567940.869999999878928,1806791.919999999925494,10894309.160000000149012
FS( 106 ),2145449.360000000335276,1615582.000000000000000,1905587.829999999841675,1825631.920000000391155,1556245.209999999962747,1804934.190000000176951,10853434.509999999776483
FS( 107 ),2159015.440000000409782,1613066.500000000000000,1915812.729999999981374,1822090.600000000093132,1551085.360000000102445,1811568.940000000176951,10872643.569999998435378
FS( 108 ),2200871.759999999776483,1617517.000000000000000,1890591.310000000055879,1837042.840000000316650,1555901.219999999739230,1821388.369999999878928,10923316.499999998137355
FS( 109 ),2196901.200000000186265,1623322.000000000000000,1864006.570000000065193,1830353.680000000167638,1572756.729999999981374,1829880.850000000093132,10917225.030000001192093
FS( 110 ),2209805.520000000484288,1626418.000000000000000,1879343.920000000158325,1826025.400000000139698,1560373.089999999850988,1823776.880000000121072,10925746.810000000521541
FS( 111 ),2201864.400000000372529,1629707.500000000000000,1905587.829999999841675,1830550.420000000391155,1581012.489999999990687,1865443.110000000102445,11014169.750000000000000
FS( 112 ),2175724.879999999888241,1618678.000000000000000,1876958.110000000102445,1823664.520000000251457,1576196.629999999888241,1851377.440000000176951,10922603.580000000074506
FS( 113 ),2208482.000000000000000,1630094.500000000000000,1925355.970000000204891,1850421.160000000149012,1609907.649999999906868,1871016.300000000046566,11095281.580000001937151
FS( 114 ),2192599.759999999776483,1628353.000000000000000,1925015.139999999897555,1855142.920000000391155,1616787.449999999953434,1871016.300000000046566,11088918.570000000298023
FS( 115 ),2189290.959999999962747,1622548.000000000000000,1909336.960000000195578,1840780.900000000139698,1637082.860000000102445,1856419.850000000093132,11055463.529999999329448
FS( 116 ),2203187.919999999925494,1629320.500000000000000,1921947.670000000158325,1836452.620000000344589,1628483.110000000102445,1884551.190000000176951,11103947.009999999776483
FS( 117 ),2234952.400000000372529,1620806.500000000000000,1946487.429999999934807,1847863.540000000270084,1644994.629999999888241,1895962.959999999962747,11191071.460000000894070
FS( 118 ),2251330.959999999962747,1620419.500000000000000,1952622.370000000111759,1857110.320000000298023,1653594.379999999888241,1907374.730000000214204,11242456.260000001639128
FS( 119 ),2289051.280000000260770,1626224.500000000232831,1935240.040000000037253,1855339.660000000149012,1651530.439999999944121,1902332.320000000298023,11259722.240000000223517
FS( 120 ),2266220.559999999590218,1619065.000000000000000,1927060.120000000111759,1866357.100000000093132,1653594.379999999888241,1900474.590000000083819,11232775.750000000000000
FS( 121 ),2191276.240000000223517,1599908.500000000232831,1905587.829999999841675,1872062.560000000288710,1655658.320000000065193,1910294.020000000251457,11134791.470000000670552
FS( 122 ),2199217.360000000335276,1589072.500000000000000,1923651.820000000065193,1873046.260000000242144,1672513.829999999841675,1934975.290000000037253,11192481.060000002384186
FS( 123 ),2249511.120000000111759,1603778.500000000000000,1925015.139999999897555,1874029.960000000195578,1683521.509999999776483,1957002.659999999916181,11292862.890000000596046
FS( 124 ),2200375.440000000409782,1633190.500000000000000,1893317.949999999953434,1881506.080000000074506,1708288.789999999804422,1965760.529999999795109,11282443.289999999105930
FS( 125 ),2229823.759999999776483,1632416.500000000000000,1882752.220000000204891,1870291.900000000139698,1705536.869999999878928,1977703.079999999841675,11298528.330000000074506
FS( 126 ),2228831.120000000111759,1638415.000000000000000,1897748.739999999990687,1868717.980000000214204,1714136.619999999878928,1973456.840000000083819,11321310.300000000745058
FS( 127 ),2221055.440000000409782,1637060.500000000000000,1896044.590000000083819,1862422.300000000046566,1714136.619999999878928,1976641.520000000251457,11307364.969999998807907
FS( 128 ),2219566.480000000447035,1630288.000000000000000,1940693.320000000065193,1854946.180000000167638,1726176.270000000018626,1968149.040000000037253,11339823.289999999105930
FS( 129 ),2183831.440000000409782,1622935.000000000000000,1879343.920000000158325,1848847.240000000223517,1711728.689999999944121,1956737.270000000251457,11203427.560000000521541
FS( 130 ),2175559.440000000409782,1624870.000000000000000,1887523.840000000083819,1842158.080000000074506,1696249.140000000130385,1954614.150000000139698,11180978.650000000372529
FS( 131 ),2195908.559999999590218,1633384.000000000000000,1873890.639999999897555,1829173.240000000223517,1679049.640000000130385,1930729.050000000046566,11142139.130000000819564
FS( 132 ),2236441.360000000335276,1654475.500000000000000,1905928.660000000149012,1858094.020000000251457,1699001.060000000055879,1950633.300000000046566,11304577.900000002235174
FS( 133 ),2228169.360000000335276,1665892.000000000000000,1980229.600000000093132,1858094.020000000251457,1704848.890000000130385,1956471.880000000121072,11393709.750000001862645
FS( 134 ),2211956.240000000223517,1672277.500000000000000,2027945.800000000046566,1852191.820000000298023,1700377.020000000018626,1965229.750000000000000,11429982.130000000819564
FS( 135 ),2193096.080000000074506,1650218.500000000000000,1992499.479999999981374,1831927.600000000093132,1683865.500000000000000,1914540.260000000009313,11266151.419999999925494
FS( 136 ),2199713.680000000633299,1655829.999999999767169,1978525.449999999953434,1793563.300000000046566,1662194.129999999888241,1884551.190000000176951,11174381.750000000000000
FS( 137 ),2214106.959999999962747,1665118.000000000000000,2015335.090000000083819,1797301.360000000102445,1664258.070000000065193,1870485.520000000251457,11226609.000000000000000
FS( 138 ),2228831.120000000111759,1690853.500000000000000,2019084.220000000204891,1797694.840000000316650,1654282.360000000102445,1885878.140000000130385,11276628.179999999701977
FS( 139 ),2248022.160000000149012,1681952.500000000000000,2048395.600000000093132,1783726.300000000046566,1647746.549999999813735,1877120.270000000251457,11286967.379999998956919
FS( 140 ),2241570.000000000000000,1706140.000000000000000,2111789.980000000447035,1822680.820000000298023,1682145.549999999813735,1920909.619999999878928,11485239.970000000670552
FS( 141 ),2236275.919999999925494,1693949.500000000232831,2130876.459999999962747,1809695.980000000214204,1678361.659999999916181,1921175.010000000009313,11470338.529999999329448
FS( 142 ),2261091.919999999925494,1720846.000000000232831,2125082.350000000558794,1811860.120000000344589,1696593.129999999888241,1946652.449999999953434,11562129.969999998807907
FS( 143 ),2256625.040000000037253,1740776.499999999767169,2129853.969999999739230,1810679.680000000167638,1697969.089999999850988,1973191.449999999953434,11609099.729999998584390
FS( 144 ),2263738.959999999962747,1759159.000000000000000,2156097.879999999888241,1811269.900000000139698,1699689.039999999804422,1967352.869999999878928,11657311.649999998509884
FS( 145 ),2287562.320000000298023,1763803.000000000000000,2177229.339999999850988,1820713.420000000391155,1710352.729999999981374,1986460.949999999953434,11746125.759999999776483
FS( 146 ),2264897.040000000037253,1758385.000000000000000,2164618.629999999888241,1816975.360000000102445,1712760.659999999916181,1982214.709999999962747,11699855.399999998509884
FS( 147 ),2248683.919999999925494,1758385.000000000000000,2164618.629999999888241,1815991.660000000149012,1717920.509999999776483,1984603.219999999972060,11690206.939999999478459
FS( 148 ),2258114.000000000000000,1757224.000000000000000,2155075.389999999664724,1802023.120000000344589,1721704.399999999906868,1998403.500000000000000,11692548.410000000149012
FS( 149 ),2261091.919999999925494,1739035.000000000000000,2129172.309999999590218,1791005.680000000167638,1702440.959999999962747,1979030.029999999795109,11601779.900000000372529
FS( 150 ),2276808.720000000670552,1738067.499999999767169,2119629.070000000298023,1807138.360000000102445,1710696.719999999739230,1993095.699999999953434,11645440.070000000298023
FS( 151 ),2289878.480000000447035,1715234.500000000000000,2115879.940000000409782,1816581.880000000121072,1711040.709999999962747,1970272.159999999916181,11618891.670000001788139
FS( 152 ),2324620.879999999888241,1720846.000000000232831,2092362.670000000158325,1855142.920000000391155,1723768.339999999850988,2030515.690000000176951,11747260.500000000000000
FS( 153 ),2329749.520000000484288,1724909.500000000000000,2094748.479999999981374,1852585.300000000046566,1712760.659999999916181,2006895.980000000214204,11721653.439999999478459
FS( 154 ),2351422.160000000149012,1735938.999999999767169,2067822.910000000149012,1863799.480000000214204,1703472.930000000167638,2019103.919999999925494,11741564.400000000372529
FS( 155 ),2347617.040000000037253,1751419.000000000000000,2072935.360000000102445,1863996.220000000204891,1715856.570000000065193,1982480.100000000093132,11734308.290000000968575
FS( 156 ),2327764.240000000223517,1739422.000000000000000,2033399.079999999841675,1859274.460000000195578,1827309.329999999841675,1962310.459999999962747,11749483.570000000298023
FS( 157 ),2316348.879999999888241,1752386.500000000000000,2070208.720000000204891,1863602.740000000223517,1823181.449999999953434,1964433.579999999841675,11790165.869999999180436
FS( 158 ),2326440.720000000670552,1788184.000000000000000,2089636.030000000027940,1865176.660000000149012,1806669.930000000167638,1986195.560000000055879,11862306.900000002235174
FS( 159 ),2319657.680000000633299,1780444.000000000000000,2091340.179999999934807,1862028.820000000298023,1805981.949999999953434,1930994.440000000176951,11790451.070000000298023
FS( 160 ),2323793.680000000633299,1769414.500000000000000,2090658.520000000251457,1870291.900000000139698,1787062.500000000000000,1924625.079999999841675,11765850.180000001564622
FS( 161 ),2343811.919999999925494,1753160.500000000000000,2229376.330000000074506,1850027.680000000167638,1782934.619999999878928,1941610.040000000037253,11900925.089999999850988
FS( 162 ),2388480.720000000670552,1734584.500000000000000,2217106.450000000186265,1855733.140000000130385,1766423.100000000093132,1947979.400000000139698,11910311.310000000521541
FS( 163 ),2337856.080000000074506,1712138.500000000000000,2170753.570000000298023,1824648.220000000204891,1775022.850000000093132,1942671.600000000093132,11763094.820000000298023
FS( 164 ),2260761.040000000037253,1667440.000000000000000,2107018.360000000335276,1782742.600000000093132,1788094.469999999739230,1900209.199999999953434,11506269.669999998062849
FS( 165 ),2272507.280000000260770,1766512.000000000232831,2092021.840000000083819,1769561.020000000251457,1807013.919999999925494,1901536.150000000139698,11609156.210000000894070
FS( 166 ),2268040.400000000372529,1789345.000000000000000,2089976.860000000102445,1772708.860000000102445,1818709.579999999841675,1903128.489999999990687,11641913.190000001341105
