代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15469140.870000001043081
真實報酬,5469140.870000001043081

夏普值報酬,0.538214087000000
夏普值風險,0.150836615741132
夏普值,3.568192539692684

二次趨勢線,30.568909680300706 x^2 + 16825.862060094350454 x + 10000000.000000000000000
二次平均預期報酬,24559.796209210424422
風險,397617.166034153546207
二次平均趨勢值,0.061767444434481
一次趨勢線,22614.826631115905911 x + 10000000.000000000000000
一次預期報酬,22614.826631115905911
一次風險,453511.389760795806069
一次趨勢值,0.049866061011266
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),INTC[11](5),V[25](1),
FS( 49 ),3727524.750000000465661,3089139.679999999701977,3473223.750000000000000,10289889.179999999701977
FS( 50 ),3769740.000000000465661,3113926.220000000204891,3484911.750000000000000,10368578.970000000670552
FS( 51 ),3772846.750000000465661,3144220.879999999888241,3513036.000000000465661,10430104.630000000819564
FS( 52 ),3769009.000000000465661,3143302.859999999869615,3504270.000000000000000,10416582.859999999403954
FS( 53 ),3810676.000000000465661,3183695.739999999757856,3540429.750000000465661,10534802.490000000223517
FS( 54 ),3819630.750000000465661,3164417.319999999832362,3536777.250000000000000,10520826.320000000298023
FS( 55 ),3805741.750000000465661,3169925.439999999944121,3564171.000000000000000,10539839.190000001341105
FS( 56 ),3853987.750000000465661,3172679.500000000000000,3588642.750000000000000,10615311.000000000000000
FS( 57 ),3843022.750000000465661,3190121.879999999888241,3583529.250000000000000,10616674.880000000819564
FS( 58 ),3877014.250000000000000,3188285.839999999385327,3637951.500000000000000,10703252.589999999850988
FS( 59 ),3877745.250000000465661,3167171.379999999888241,3666075.750000000000000,10710993.380000000819564
FS( 60 ),3882862.250000000465661,3182777.720000000204891,3652196.250000000000000,10717837.220000000670552
FS( 61 ),4266454.500000000000000,3190121.879999999888241,3683607.750000000000000,11140185.129999998956919
FS( 62 ),4404430.750000000000000,3210318.319999999832362,3636855.749999999534339,11251605.820000000298023
FS( 63 ),4409365.000000000000000,3241531.000000000000000,3621515.250000000000000,11272412.250000000000000
FS( 64 ),4431112.250000000000000,3256219.319999999832362,3636490.500000000000000,11323823.070000000298023
FS( 65 ),4375921.750000000000000,3337005.080000000074506,3684338.250000000000000,11397266.080000000074506
FS( 66 ),4348692.000000000000000,3363627.660000000149012,3699313.500000000000000,11411634.160000000149012
FS( 67 ),4354174.500000000000000,3349857.359999999869615,3674111.250000000000000,11378144.109999999403954
FS( 68 ),4344306.000000000000000,3332414.979999999515712,3685068.750000000000000,11361790.730000000447035
FS( 69 ),4390359.000000000000000,3344349.239999999757856,3706983.750000000000000,11441692.990000000223517
FS( 70 ),4377018.250000000000000,3342513.199999999720603,3699313.500000000000000,11418845.949999999254942
FS( 71 ),4282171.000000000000000,3359037.560000000055879,3687990.750000000000000,11329200.310000000521541
FS( 72 ),4256037.750000000000000,3317726.660000000149012,3633933.750000000000000,11207699.160000000149012
FS( 73 ),4292587.750000000000000,3292940.119999999646097,3655848.750000000000000,11241377.619999999180436
FS( 74 ),4334072.000000000000000,3336087.060000000055879,3720863.250000000000000,11391023.310000000521541
FS( 75 ),4370987.500000000000000,3304874.379999999888241,3748622.250000000000000,11424485.129999998956919
FS( 76 ),4342113.000000000000000,3287432.000000000000000,3773824.499999999534339,11403370.500000000000000
FS( 77 ),4305563.000000000000000,3228678.720000000204891,3731455.500000000000000,11265698.220000000670552
FS( 78 ),4308852.500000000000000,3213990.399999999906868,3744239.250000000000000,11267083.150000000372529
FS( 79 ),4307207.750000000000000,3205728.220000000204891,3770172.000000000000000,11283108.970000000670552
FS( 80 ),4381587.000000000000000,3180941.679999999701977,3801218.249999999534339,11363747.929999999701977
FS( 81 ),4351250.500000000000000,3181859.699999999720603,3768711.000000000465661,11301822.199999999254942
FS( 82 ),4363129.250000000000000,3186449.799999999813735,3770172.000000000000000,11319752.050000000745058
FS( 83 ),4311045.500000000000000,3182777.720000000204891,3774920.250000000000000,11268744.470000000670552
FS( 84 ),4334620.250000000000000,3180941.679999999701977,3790626.000000000000000,11306188.929999999701977
FS( 85 ),4395110.500000000000000,3188285.839999999385327,3790260.750000000000000,11373658.089999999850988
FS( 86 ),4394562.250000000000000,3202974.160000000149012,3788799.750000000000000,11386337.160000000149012
FS( 87 ),4379942.250000000000000,3219498.520000000018626,3781129.500000000000000,11380571.269999999552965
FS( 88 ),4392186.500000000000000,3221334.560000000055879,3795009.000000000000000,11408531.060000000521541
FS( 89 ),4331330.750000000000000,3214908.420000000391155,3762501.750000000000000,11308741.919999999925494
FS( 90 ),4287836.250000000000000,3282841.899999999906868,3768711.000000000465661,11339390.150000000372529
FS( 91 ),4318721.000000000000000,3262645.459999999962747,3819115.500000000000000,11400482.960000000894070
FS( 92 ),4363860.250000000000000,3230514.759999999776483,3814367.250000000465661,11408743.259999999776483
FS( 93 ),4396938.000000000000000,3283759.920000000391155,3877190.250000000000000,11557889.169999999925494
FS( 94 ),4396755.250000000000000,3313136.560000000055879,3879381.750000000000000,11589274.560000000521541
FS( 95 ),4421426.500000000000000,3335169.039999999571592,3865502.250000000000000,11622098.789999999105930
FS( 96 ),4481734.000000000000000,3348939.339999999385327,3874633.500000000000000,11705307.839999999850988
FS( 97 ),4550630.750000000000000,3396676.379999999888241,3846144.000000000000000,11793452.129999998956919
FS( 98 ),4625192.750000000000000,3396676.379999999888241,3828977.250000000000000,11850847.379999998956919
FS( 99 ),4613862.250000000000000,3417790.839999999385327,3850161.750000000000000,11881815.839999999850988
FS( 100 ),4668687.250000000000000,3403102.520000000018626,3850161.750000000000000,11921952.519999999552965
FS( 101 ),4679286.750000000000000,3415036.780000000260770,3846509.250000000000000,11940833.780000001192093
FS( 102 ),4686779.500000000000000,3413200.739999999757856,3855640.500000000000000,11955621.740000000223517
FS( 103 ),4647853.750000000000000,3411364.699999999720603,3762867.000000000000000,11822086.449999999254942
FS( 104 ),4636523.250000000000000,3439823.319999999832362,3759945.000000000000000,11836292.570000000298023
FS( 105 ),4665397.750000000000000,3446249.459999999962747,3794643.750000000000000,11906291.960000000894070
FS( 106 ),4646940.000000000000000,3472872.039999999571592,3819846.000000000000000,11939659.039999999105930
FS( 107 ),4645843.500000000000000,3495822.539999999571592,3819846.000000000000000,11961513.039999999105930
FS( 108 ),4678373.000000000000000,3583952.459999999962747,3851257.500000000000000,12113583.960000000894070
FS( 109 ),4668687.250000000000000,3615165.140000000130385,3856736.250000000000000,12140589.640000000596046
FS( 110 ),4674169.750000000000000,3611493.060000000055879,3846509.250000000000000,12132173.060000000521541
FS( 111 ),4731370.500000000000000,3628935.439999999944121,3880477.500000000000000,12240784.439999999478459
FS( 112 ),4725705.250000000000000,3638115.640000000130385,3898374.750000000000000,12262196.640000000596046
FS( 113 ),4722233.000000000000000,3659230.099999999627471,3908601.750000000000000,12290065.849999999627471
FS( 114 ),4768651.500000000000000,3639951.679999999701977,3919559.250000000000000,12328163.429999999701977
FS( 115 ),4777971.750000000000000,3607820.979999999515712,3960832.500000000000000,12346626.230000000447035
FS( 116 ),4786561.000000000000000,3597722.759999999776483,3948779.250000000000000,12333064.009999999776483
FS( 117 ),4765179.250000000000000,3641787.720000000204891,3968868.000000000000000,12375835.970000000670552
FS( 118 ),4747087.000000000000000,3650049.899999999906868,3955719.000000000000000,12352856.900000000372529
FS( 119 ),4726436.250000000000000,3652803.959999999962747,3927960.000000000000000,12307201.210000000894070
FS( 120 ),4752386.750000000000000,3695032.879999999888241,3937456.500000000000000,12384877.129999998956919
FS( 121 ),4734111.750000000000000,3680344.560000000055879,3908967.000000000000000,12323424.310000000521541
FS( 122 ),4838462.000000000000000,3711557.239999999757856,3928325.250000000000000,12478345.490000000223517
FS( 123 ),4794053.750000000000000,3748278.039999999571592,3927594.750000000000000,12469927.539999999105930
FS( 124 ),4861305.750000000000000,3759294.280000000260770,3959736.750000000000000,12580337.780000001192093
FS( 125 ),4722781.250000000000000,3743687.939999999944121,3999183.750000000000000,12465653.939999999478459
FS( 126 ),4738315.000000000000000,3796015.080000000074506,4010506.500000000000000,12544837.580000000074506
FS( 127 ),4686962.250000000000000,4076011.179999999701977,4007219.250000000000000,12770193.679999999701977
FS( 128 ),4737949.500000000000000,4073257.119999999646097,4019272.500000000000000,12830480.119999999180436
FS( 129 ),4714740.250000000000000,4176075.359999999869615,4017081.000000000000000,12907897.609999999403954
FS( 130 ),4724243.250000000000000,4288073.799999999813735,4056893.249999999534339,13069211.300000000745058
FS( 131 ),4799719.000000000000000,4323876.580000000074506,4053606.000000000000000,13177202.580000000074506
FS( 132 ),4783637.000000000000000,4254107.060000000521541,4067485.500000000000000,13105230.560000000521541
FS( 133 ),4826035.000000000000000,4287155.780000000260770,4087939.500000000000000,13201131.280000001192093
FS( 134 ),4863681.500000000000000,4294499.940000000409782,4094148.750000000000000,13252331.190000001341105
FS( 135 ),4853447.500000000000000,4287155.780000000260770,4108028.250000000000000,13248632.530000001192093
FS( 136 ),4800998.250000000000000,4250434.979999999515712,4095975.000000000000000,13147409.230000000447035
FS( 137 ),4767189.500000000000000,4184337.539999999571592,4086478.500000000000000,13038006.539999999105930
FS( 138 ),4795881.250000000000000,4199943.879999999888241,4068946.500000000000000,13064772.629999998956919
FS( 139 ),4783819.750000000000000,4210042.099999999627471,4090131.000000000000000,13083993.849999999627471
FS( 140 ),4803922.250000000000000,4173321.299999999813735,4026942.750000000000000,13004187.300000000745058
FS( 141 ),4819273.250000000000000,4190763.679999999701977,4055067.000000000000000,13065104.929999999701977
FS( 142 ),4792957.250000000000000,4097125.640000000130385,4011236.999999999534339,12901320.890000000596046
FS( 143 ),4836269.000000000000000,4096207.619999999646097,4015985.250000000000000,12948462.869999999180436
FS( 144 ),4879398.000000000000000,4125584.259999999776483,4070772.750000000000000,13075756.009999999776483
FS( 145 ),4845772.000000000000000,4098961.679999999701977,4047761.999999999534339,12992496.679999999701977
FS( 146 ),4859112.750000000000000,4108141.879999999888241,4089765.750000000000000,13057021.379999998956919
FS( 147 ),4853630.250000000000000,4084273.359999999869615,4104741.000000000000000,13042645.609999999403954
FS( 148 ),4897673.000000000000000,4106305.839999999385327,4140535.500000000000000,13144515.339999999850988
FS( 149 ),4921613.250000000000000,4034700.280000000260770,4012698.000000000000000,12969012.530000001192093
FS( 150 ),5058675.750000000000000,4116404.060000000055879,4112411.250000000000000,13287492.060000000521541
FS( 151 ),4959625.250000000000000,4101715.739999999757856,4044474.750000000000000,13105816.740000000223517
FS( 152 ),5080057.500000001862645,4084273.359999999869615,3923942.250000000465661,13088274.110000001266599
FS( 153 ),5035649.250000000000000,3987881.259999999776483,3965946.000000000000000,12989477.509999999776483
FS( 154 ),5085540.000000000000000,3988799.280000000260770,4008315.000000000000000,13082655.280000001192093
FS( 155 ),5153157.500000001862645,3954832.539999999571592,4068946.500000000000000,13176937.540000000968575
FS( 156 ),5224978.250000000000000,3979619.080000000074506,4112776.500000000000000,13317374.830000000074506
FS( 157 ),5174904.750000000000000,4008077.699999999720603,4104375.750000000000000,13287359.199999999254942
FS( 158 ),5298809.250000000000000,3977783.039999999571592,4144188.000000000000000,13420781.289999999105930
FS( 159 ),5333531.750000000000000,3978701.060000000055879,4138709.250000000000000,13450943.060000000521541
FS( 160 ),5370812.750000000000000,3971356.899999999906868,4124464.500000000000000,13466635.150000000372529
FS( 161 ),5371909.250000000000000,4090699.500000000000000,4157336.999999999534339,13619946.750000000000000
FS( 162 ),5412114.250000000000000,4246762.899999999441206,4147475.250000000000000,13806353.399999998509884
FS( 163 ),5432399.500000000000000,4318368.459999999962747,4095975.000000000000000,13846743.960000000894070
FS( 164 ),5444278.250000000000000,4366105.500000000000000,4095244.500000000000000,13905629.250000000000000
FS( 165 ),5391829.000000000000000,4292663.899999999441206,4105836.750000000000000,13790330.649999998509884
FS( 166 ),5393108.250000000000000,4287155.780000000260770,4116063.750000000000000,13796328.780000001192093
FS( 167 ),5397859.750000000000000,4230238.540000000037253,4127021.250000000000000,13755120.539999999105930
FS( 168 ),5402611.250000000000000,4232992.599999999627471,4164642.000000000000000,13800246.849999999627471
FS( 169 ),5415952.000000000000000,4243090.819999999366701,4176695.250000000000000,13835739.070000000298023
FS( 170 ),5389636.000000000000000,4237582.699999999254942,4164642.000000000000000,13791861.699999999254942
FS( 171 ),5424906.750000000000000,4300926.080000000074506,4182539.250000000000000,13908373.080000000074506
FS( 172 ),5442450.750000000000000,4154960.899999999906868,4224177.750000000000000,13821590.400000000372529
FS( 173 ),5421800.000000000000000,4078765.239999999757856,4239883.500000000000000,13740449.740000000223517
FS( 174 ),5644206.750000000000000,4107223.859999999869615,4341423.000000000000000,14092854.609999999403954
FS( 175 ),5668147.000000000000000,4107223.859999999869615,4358955.000000000000000,14134326.859999999403954
FS( 176 ),5819464.000000000000000,4004405.619999999646097,4350554.250000000000000,14174424.869999999180436
FS( 177 ),5852907.250000000000000,3901587.379999999888241,4345806.000000000000000,14100301.629999998956919
FS( 178 ),5996548.750000000000000,3985127.199999999720603,4377217.500000000000000,14358894.449999999254942
FS( 179 ),6144393.500000000000000,3969520.859999999869615,4386348.750000000000000,14500264.109999999403954
FS( 180 ),6125204.750000000000000,3960340.660000000149012,4397306.250000000000000,14482852.660000000149012
FS( 181 ),6414863.500000000000000,4075093.160000000149012,4455381.000000000000000,14945338.660000000149012
FS( 182 ),6216579.750000000000000,4083355.339999999385327,4496654.250000000000000,14796590.339999999850988
FS( 183 ),6172171.500000000000000,4114568.020000000018626,4481679.000000000000000,14768419.519999999552965
FS( 184 ),6177105.750000000000000,4199943.879999999888241,4541214.750000000000000,14918265.379999998956919
FS( 185 ),6133063.000000000000000,4228402.500000000000000,4552902.750000000000000,14914369.250000000000000
FS( 186 ),6116615.500000000000000,4177911.399999999906868,4549250.250000000000000,14843778.150000000372529
FS( 187 ),6270491.000000000000000,4158632.979999999515712,4573722.000000000000000,15002846.980000000447035
FS( 188 ),6272501.250000001862645,4597446.540000000037253,4613899.500000000000000,15483848.290000002831221
FS( 189 ),6228641.250000000000000,4588266.339999999850988,4559842.500000000000000,15376751.089999999850988
FS( 190 ),6171806.000000000000000,4479021.959999999962747,4512725.250000000000000,15163554.210000000894070
FS( 191 ),6476267.500000000000000,4419350.660000000149012,4537562.250000000000000,15433181.410000000149012
FS( 192 ),6523234.250000000000000,4374367.679999999701977,4591984.500000000000000,15489587.429999999701977
FS( 193 ),6376486.000000000000000,4236664.679999999701977,4416299.250000000000000,15029450.929999999701977
FS( 194 ),6010437.750000000000000,4087027.420000000391155,4246823.250000000000000,14344289.419999999925494
FS( 195 ),6230286.000000000000000,4122830.199999999720603,4381965.750000000000000,14735082.949999999254942
FS( 196 ),6362048.750000000000000,4149452.780000000260770,4370277.750000000000000,14881780.280000001192093
FS( 197 ),6024692.250000000000000,3924537.879999999888241,4158798.000000000000000,14108029.129999998956919
FS( 198 ),6082624.000000000000000,4034700.280000000260770,4248649.500000000000000,14365974.780000001192093
FS( 199 ),6283100.750000000000000,4115486.039999999571592,4327178.250000000000000,14725766.039999999105930
FS( 200 ),6271404.750000000000000,4081519.299999999813735,4322795.250000000000000,14675720.300000000745058
FS( 201 ),6302289.500000000000000,4165977.140000000130385,4413377.250000000000000,14881644.890000000596046
FS( 202 ),6514462.250000000000000,4215550.219999999739230,4466338.500000000000000,15196351.969999998807907
FS( 203 ),6488511.750000000000000,4182501.500000000000000,4450632.750000000000000,15121647.000000000000000
FS( 204 ),6457627.000000000000000,4252271.019999999552965,4456476.750000000000000,15166375.769999999552965
FS( 205 ),6439717.500000000000000,4217386.259999999776483,4398767.250000000000000,15055872.009999999776483
FS( 206 ),6504593.750000000000000,4204533.979999999515712,4396941.000000000000000,15106069.730000000447035
FS( 207 ),6518117.250000000000000,4381711.839999999850988,4490079.750000000000000,15389909.839999999850988
FS( 208 ),6642752.750000000000000,4508398.599999999627471,4550711.250000000000000,15701863.599999999627471
FS( 209 ),6663951.750000000000000,4581840.199999999254942,4506150.750000000000000,15751943.699999999254942
FS( 210 ),6619543.500000000000000,4524922.959999999962747,4490445.000000000000000,15634912.460000000894070
FS( 211 ),6390740.500000000000000,4391810.060000000521541,4397671.500000000000000,15180223.060000000521541
FS( 212 ),6299000.000000000000000,4496464.339999999850988,4411185.750000000000000,15206651.089999999850988
FS( 213 ),6446662.000000000000000,4567151.879999999888241,4451728.500000000000000,15465543.379999998956919
FS( 214 ),6376668.750000000000000,4655281.799999999813735,4421778.000000000000000,15453729.550000000745058
FS( 215 ),6342311.750000000000000,4711281.019999999552965,4450632.750000000000000,15504226.519999999552965
FS( 216 ),6373196.500000000000000,4658035.860000000335276,4464147.000000000000000,15495380.359999999403954
FS( 217 ),6479008.750000000000000,4791148.759999999776483,4547789.250000000000000,15817947.759999999776483
FS( 218 ),6290228.000000000000000,4729641.419999999925494,4537927.500000000000000,15557797.919999999925494
FS( 219 ),6189350.000000000000000,4753509.940000000409782,4499941.500000000000000,15442802.440000001341105
FS( 220 ),6035657.250000000000000,4760854.099999999627471,4477296.000000000000000,15273808.349999999627471
FS( 221 ),6030540.250000000000000,4670888.139999999664724,4507611.750000000000000,15209041.140000000596046
FS( 222 ),6039495.000000001862645,4697510.719999999739230,4548519.750000000000000,15285526.470000002533197
FS( 223 ),6063069.750000000000000,4666298.040000000037253,4500306.750000000000000,15229675.539999999105930
FS( 224 ),6170344.000000000000000,4732395.479999999515712,4562399.250000000000000,15465139.730000000447035
FS( 225 ),6160658.250000000000000,4733313.500000000000000,4500672.000000000000000,15394644.750000000000000
FS( 226 ),5841028.500000000000000,4666298.040000000037253,4382696.250000000000000,14890023.789999999105930
FS( 227 ),5866430.750000000000000,4531349.099999999627471,4273486.500000000000000,14671267.349999999627471
FS( 228 ),6012082.500000001862645,4817771.339999999850988,4406437.500000000000000,15236292.340000001713634
FS( 229 ),5868623.750000000000000,4699346.759999999776483,4288096.500000000000000,14856068.009999999776483
FS( 230 ),5848521.250000000000000,4553381.580000000074506,4273121.250000000000000,14675025.080000000074506
FS( 231 ),5992162.750000000000000,4781050.540000000037253,4369182.000000000000000,15142396.289999999105930
FS( 232 ),5892746.750000000000000,4490956.219999999739230,4324256.250000000000000,14707960.219999998807907
FS( 233 ),6045891.250000000000000,4567151.879999999888241,4353841.500000000000000,14966885.629999998956919
FS( 234 ),5984121.750000000000000,4589184.360000000335276,4376121.750000000000000,14949428.859999999403954
FS( 235 ),6147865.750000000000000,4624987.139999999664724,4426526.250000000000000,15199380.140000000596046
FS( 236 ),5959998.750000000000000,4479021.959999999962747,4299054.000000000000000,14738075.710000000894070
FS( 237 ),5893477.750000000000000,4548791.479999999515712,4338866.250000000000000,14781136.480000000447035
FS( 238 ),6119174.000000000000000,4706690.919999999925494,4409359.500000000000000,15235225.419999999925494
FS( 239 ),5982659.750000000000000,4691084.580000000074506,4375026.000000000000000,15048771.330000000074506
FS( 240 ),6167602.750000000000000,4839803.819999999366701,4422143.250000000000000,15429550.820000000298023
FS( 241 ),6017747.750000000000000,4760854.099999999627471,4410455.250000000000000,15189058.099999999627471
FS( 242 ),6063252.500000000000000,4810427.179999999701977,4451728.500000000000000,15325409.179999999701977
FS( 243 ),6153713.750000001862645,4915081.459999999962747,4521856.500000000000000,15590652.710000000894070
FS( 244 ),6231930.750000000000000,4921507.599999999627471,4521856.500000000000000,15675295.849999999627471
FS( 245 ),6225351.750000000000000,4793902.819999999366701,4527700.500000000000000,15546956.070000000298023
FS( 246 ),6189350.000000000000000,4730559.440000000409782,4536466.500000000000000,15456376.940000001341105
FS( 247 ),6192456.750000000000000,4691084.580000000074506,4545963.000000000000000,15429505.330000000074506
FS( 248 ),6013727.250000000000000,4723215.280000000260770,4429448.250000000000000,15166391.780000001192093
FS( 249 ),6265922.250000000000000,4716789.139999999664724,4427256.750000000000000,15409969.140000000596046
FS( 250 ),6264643.000000000000000,4870098.479999999515712,4641658.500000000000000,15776400.980000000447035
FS( 251 ),6229737.750000000000000,4840721.839999999850988,4602576.750000000000000,15673037.339999999850988
FS( 252 ),6095964.750000000000000,4738821.620000000111759,4634353.500000000000000,15469140.870000001043081
