代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14228872.309999998658895
真實報酬,4228872.309999998658895

夏普值報酬,0.414187231000000
夏普值風險,0.096775509768840
夏普值,4.279876509969680

二次趨勢線,-13.916937647370968 x^2 + 19992.395351146678877 x + 10000000.000000000000000
二次平均預期報酬,16457.493188714448479
風險,182490.582823384378571
二次平均趨勢值,0.090182698384180
一次趨勢線,17346.447874533227150 x + 10000000.000000000000000
一次預期報酬,17346.447874533227150
一次風險,208134.948877494724002
一次趨勢值,0.083342312130113
找到最佳解世代,2061
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](7),DD[7](1),MRK[17](10),UNH[23](11),
FS( 74 ),3098523.250000000000000,2741768.799999999813735,2735058.730000000447035,2866708.100000000093132,11442058.880000000819564
FS( 75 ),3056588.500000000000000,2707630.149999999906868,2718711.719999999739230,2836608.359999999869615,11319538.730000000447035
FS( 76 ),3073010.500000000000000,2768072.349999999627471,2713074.820000000298023,2807780.439999999944121,11361938.109999999403954
FS( 77 ),3156293.500000000000000,2756319.699999999720603,2671925.450000000186265,2990922.519999999552965,11575461.169999998062849
FS( 78 ),3136645.750000000000000,2763035.499999999534339,2693909.359999999869615,3029077.120000000111759,11622667.730000000447035
FS( 79 ),3133713.250000000000000,2756879.349999999627471,2689963.530000000260770,3060024.740000000223517,11640580.869999999180436
FS( 80 ),3160985.500000000000000,2753521.449999999720603,2701801.020000000018626,3081645.679999999701977,11697953.649999998509884
FS( 81 ),3136352.500000000000000,2739530.199999999720603,2692781.980000000447035,3074862.639999999664724,11643527.320000000298023
FS( 82 ),3129021.250000000000000,2788779.399999999441206,2715329.580000000074506,3078678.100000000093132,11711808.330000000074506
FS( 83 ),3096763.750000000000000,2765833.750000000000000,2733367.660000000149012,3061296.559999999590218,11657261.719999998807907
FS( 84 ),3073597.000000000000000,2789339.049999999813735,2724912.310000000055879,3085885.080000000074506,11673733.439999999478459
FS( 85 ),3100576.000000000000000,2794375.899999999906868,2708565.299999999813735,3063840.199999999720603,11667357.399999998509884
FS( 86 ),3082101.250000000000000,2792696.949999999720603,2715329.580000000074506,3088428.719999999739230,11678556.500000000000000
FS( 87 ),3129021.250000000000000,2821239.099999999627471,2738440.870000000111759,3101570.859999999869615,11790272.079999998211861
FS( 88 ),3164211.250000000000000,2886718.149999999441206,2736186.109999999869615,3063416.260000000242144,11850531.769999999552965
FS( 89 ),3152481.250000000000000,2907425.199999999720603,2735622.419999999925494,3109201.779999999795109,11904730.649999998509884
FS( 90 ),3138991.750000000000000,2873846.199999999720603,2730549.209999999962747,3104962.379999999422580,11848349.539999999105930
FS( 91 ),3120810.250000000000000,2892314.649999999906868,2736749.799999999813735,3091396.299999999813735,11841271.000000000000000
FS( 92 ),3103801.750000000000000,2941563.849999999627471,2732240.280000000260770,3102418.740000000223517,11880024.619999999180436
FS( 93 ),3088846.000000000000000,3031667.500000000000000,2727730.760000000242144,3091820.240000000223517,11940064.500000000000000
FS( 94 ),3056881.750000000000000,2986895.499999999534339,2732240.280000000260770,3068927.479999999981374,11844945.010000001639128
FS( 95 ),3115238.500000000000000,3018795.549999999813735,2729985.520000000018626,3109625.719999999739230,11973645.289999999105930
FS( 96 ),3054535.750000000000000,3008721.849999999627471,2737877.180000000167638,3073166.879999999422580,11874301.659999998286366
FS( 97 ),3012601.000000000000000,2961151.599999999627471,2704055.780000000260770,3026957.419999999925494,11704765.799999998882413
FS( 98 ),3034301.500000000000000,2939884.899999999906868,2688836.150000000372529,3028229.240000000223517,11691251.790000000968575
FS( 99 ),3070957.750000000000000,2919177.849999999627471,2682071.870000000111759,3040099.559999999590218,11712307.029999997466803
FS( 100 ),3068318.500000000000000,2944921.749999999534339,2680944.490000000223517,3071895.059999999590218,11766079.800000000745058
FS( 101 ),3047204.500000000000000,2960032.299999999813735,2675307.590000000316650,3046034.719999999739230,11728579.109999999403954
FS( 102 ),3083274.250000000000000,2963949.849999999627471,2695036.740000000223517,3051122.000000000000000,11793382.839999999850988
FS( 103 ),3093244.750000000000000,3087632.500000000000000,2690527.219999999739230,3075286.580000000074506,11946691.049999998882413
FS( 104 ),3094711.000000000000000,3080357.049999999813735,2684326.629999999888241,3068503.539999999571592,11927898.219999998807907
FS( 105 ),3026677.000000000000000,2993611.299999999813735,2655578.439999999944121,3032044.699999999720603,11707911.439999999478459
FS( 106 ),3028436.500000000000000,2984656.899999999441206,2654451.060000000055879,3032892.580000000074506,11700437.039999999105930
FS( 107 ),3077116.000000000000000,2990253.399999999906868,2655014.750000000000000,3071047.179999999701977,11793431.330000000074506
FS( 108 ),3047497.750000000000000,2980739.349999999627471,2665724.859999999869615,3041371.379999999422580,11735333.339999997988343
FS( 109 ),3079462.000000000000000,2984097.249999999534339,2661215.340000000316650,3076134.459999999962747,11800909.050000000745058
FS( 110 ),3119344.000000000000000,3010960.449999999720603,2687708.770000000018626,3109625.719999999739230,11927638.939999997615814
FS( 111 ),3127555.000000000000000,3061328.949999999720603,2678126.040000000037253,3138877.580000000074506,12005887.569999998435378
FS( 112 ),3110546.500000000000000,3073081.599999999627471,2676998.660000000149012,3139725.459999999962747,12000352.219999998807907
FS( 113 ),3143390.500000000000000,3093229.000000000000000,2691090.910000000149012,3147780.319999999832362,12075490.730000000447035
FS( 114 ),3172129.000000000000000,3186690.549999999813735,2704619.469999999739230,3163890.039999999571592,12227329.059999998658895
FS( 115 ),3203213.500000000000000,3176057.199999999720603,2713638.510000000242144,3187206.740000000223517,12280115.949999999254942
FS( 116 ),3219928.750000000000000,3097146.549999999813735,2697291.500000000000000,3168553.379999999422580,12182920.179999999701977
FS( 117 ),3264796.000000000000000,3177736.149999999906868,2693909.359999999869615,3157530.939999999944121,12293972.449999999254942
FS( 118 ),3392066.500000000000000,3172139.649999999906868,2716456.959999999962747,3184663.100000000093132,12465326.209999999031425
FS( 119 ),3434294.500000000000000,3164864.199999999720603,2706310.540000000037253,3150323.959999999962747,12455793.199999999254942
FS( 120 ),3472123.750000000000000,3256646.799999999813735,2728294.450000000186265,3096483.580000000074506,12553548.580000000074506
FS( 121 ),3490891.750000000000000,3236499.399999999441206,2720402.790000000037253,3003216.779999999795109,12451010.719999998807907
FS( 122 ),3420218.500000000000000,3164304.549999999813735,2706310.540000000037253,2991770.399999999441206,12282603.989999998360872
FS( 123 ),3446024.500000000000000,3127367.649999999906868,2687708.770000000018626,3044762.899999999441206,12305863.820000000298023
FS( 124 ),3489718.750000000000000,3117293.949999999720603,2679253.419999999925494,3065959.899999999441206,12352226.019999999552965
FS( 125 ),3475349.500000000000000,3176616.849999999627471,2687145.080000000074506,3051545.939999999944121,12390657.369999999180436
FS( 126 ),3500862.250000000000000,3187250.199999999720603,2687708.770000000018626,3059176.859999999869615,12434998.079999998211861
FS( 127 ),3482094.250000000000000,3110018.499999999534339,2693909.359999999869615,3051969.879999999422580,12337991.989999998360872
FS( 128 ),3445731.250000000000000,3060769.299999999813735,2683762.939999999944121,3035860.159999999683350,12226123.650000000372529
FS( 129 ),3453062.500000000000000,3053493.849999999627471,2747459.910000000149012,3076982.339999999850988,12330998.599999999627471
FS( 130 ),3455701.750000000000000,3084274.599999999627471,2726603.379999999888241,3076558.399999999441206,12343138.129999998956919
FS( 131 ),3379456.750000000000000,3089871.099999999627471,2726039.689999999944121,3074438.699999999720603,12269806.239999998360872
FS( 132 ),3436933.750000000000000,3187250.199999999720603,2718711.719999999739230,3094363.879999999422580,12437259.549999997019768
FS( 133 ),3421978.000000000000000,3136322.049999999813735,2699546.260000000242144,3059600.799999999813735,12317447.109999999403954
FS( 134 ),3385321.750000000000000,3070283.349999999627471,2691654.600000000093132,3030348.939999999944121,12177608.639999998733401
FS( 135 ),3356876.500000000000000,3102183.399999999906868,2664597.480000000447035,3026109.539999999571592,12149766.919999999925494
FS( 136 ),3486786.250000000000000,3219709.899999999906868,2676998.660000000149012,3136333.939999999944121,12519828.750000000000000
FS( 137 ),3459807.250000000000000,3273436.299999999813735,2665724.859999999869615,3148628.199999999720603,12547596.609999999403954
FS( 138 ),3503208.250000000000000,3253288.899999999906868,2635285.600000000093132,3167705.500000000000000,12559488.250000000000000
FS( 139 ),3465672.250000000000000,3222508.149999999441206,2625139.180000000167638,3131670.600000000093132,12444990.179999999701977
FS( 140 ),3529014.250000000000000,3277913.499999999534339,2658960.580000000074506,3187630.679999999701977,12653519.009999999776483
FS( 141 ),3586198.000000000000000,3298620.549999999813735,2655578.439999999944121,3025685.600000000093132,12566082.589999999850988
FS( 142 ),3592942.750000000000000,3292464.399999999441206,2627393.939999999944121,2915037.260000000242144,12427838.349999999627471
FS( 143 ),3562151.500000000000000,3296381.949999999720603,2621757.040000000037253,2891296.620000000111759,12371587.109999999403954
FS( 144 ),3591769.750000000000000,3311492.500000000000000,2619502.280000000260770,2919276.659999999683350,12442041.190000001341105
FS( 145 ),3783555.250000000465661,3270638.049999999813735,2624575.490000000223517,2883241.760000000242144,12562010.550000000745058
FS( 146 ),3782382.249999999534339,3237618.699999999720603,2605410.030000000260770,2866284.159999999683350,12491695.140000000596046
FS( 147 ),3847190.500000000000000,3149753.649999999906868,2623448.109999999869615,2866708.100000000093132,12487100.359999999403954
FS( 148 ),3808774.750000000000000,3117293.949999999720603,2556369.000000000000000,2837880.179999999701977,12320317.879999998956919
FS( 149 ),3802323.250000000000000,3144716.799999999813735,2569333.870000000111759,2886209.339999999850988,12402583.259999999776483
FS( 150 ),3802909.750000000000000,3129046.599999999627471,2550168.410000000149012,2883241.760000000242144,12365366.519999999552965
FS( 151 ),3826956.250000000000000,3145836.099999999627471,2541713.060000000055879,2893840.260000000242144,12408345.669999999925494
FS( 152 ),3901148.500000000000000,3104421.999999999534339,2549604.719999999739230,2909526.039999999571592,12464701.259999997913837
FS( 153 ),3894110.499999999534339,3060769.299999999813735,2577225.530000000260770,2923092.120000000111759,12455197.449999999254942
FS( 154 ),3916984.000000000000000,3085953.549999999813735,2556932.689999999944121,2913341.500000000000000,12473211.740000000223517
FS( 155 ),3902908.000000000000000,3129046.599999999627471,2590754.090000000316650,2979900.080000000074506,12602608.769999999552965
FS( 156 ),3856574.499999999534339,3082035.999999999534339,2582862.430000000167638,2957431.260000000242144,12478904.189999999478459
FS( 157 ),3914638.000000000465661,3161506.299999999813735,2638104.049999999813735,2988802.819999999832362,12703051.170000001788139
FS( 158 ),3886486.000000000000000,3160946.649999999441206,2649377.850000000093132,2988802.819999999832362,12685613.320000000298023
FS( 159 ),3880621.000000000465661,3135202.750000000000000,2682635.560000000055879,2965486.120000000111759,12663945.429999999701977
FS( 160 ),3905253.999999999534339,3155909.799999999813735,2668543.310000000055879,3010423.760000000242144,12740130.869999999180436
FS( 161 ),3961558.000000000000000,3196204.599999999627471,2695600.430000000167638,3028653.179999999701977,12882016.209999999031425
FS( 162 ),3990589.750000000465661,3206278.299999999813735,2709692.680000000167638,3046882.600000000093132,12953443.330000000074506
FS( 163 ),4057450.750000000465661,3177736.149999999906868,2706310.540000000037253,3038827.740000000223517,12980325.180000001564622
FS( 164 ),4016982.249999999534339,3164304.549999999813735,2709692.680000000167638,3035860.159999999683350,12926839.639999998733401
FS( 165 ),3884139.999999999534339,3129046.599999999627471,2713074.820000000298023,3051545.939999999944121,12777807.359999999403954
FS( 166 ),3898216.000000000000000,3158708.049999999813735,2740695.629999999888241,3090972.359999999869615,12888592.039999999105930
FS( 167 ),3987364.000000000000000,3160946.649999999441206,2758733.709999999962747,3126159.379999999422580,13033203.739999998360872
FS( 168 ),3900268.750000000000000,3108899.199999999720603,2799319.390000000130385,3140149.399999999441206,12948636.739999998360872
FS( 169 ),3952467.250000000000000,3091550.049999999813735,2794809.870000000111759,3159226.699999999720603,12998053.869999999180436
FS( 170 ),3950707.750000000000000,3116174.649999999906868,2808902.120000000111759,3152443.659999999683350,13028228.179999999701977
FS( 171 ),3936925.000000000000000,3113376.399999999906868,2808902.120000000111759,3157530.939999999944121,13016734.459999999031425
FS( 172 ),3934285.750000000000000,3186690.549999999813735,2828631.270000000018626,3143964.859999999869615,13093572.429999999701977
FS( 173 ),3870943.750000000000000,3085953.549999999813735,2804956.290000000037253,3125735.439999999944121,12887589.029999999329448
FS( 174 ),3856281.250000000000000,3099385.149999999906868,2779590.240000000223517,3122343.919999999925494,12857600.560000000521541
FS( 175 ),3892350.999999999534339,3076999.149999999441206,2751405.740000000223517,3084189.319999999832362,12804945.209999999031425
FS( 176 ),3964197.250000000000000,3129606.250000000000000,2784099.760000000242144,3115984.819999999832362,12993888.080000000074506
FS( 177 ),3949534.750000000000000,3251609.949999999720603,2793682.490000000223517,3125311.500000000000000,13120138.689999999478459
FS( 178 ),3920796.249999999534339,3329960.949999999720603,2786354.520000000018626,3139301.519999999552965,13176413.239999998360872
FS( 179 ),3887365.750000000000000,3271757.349999999627471,2759297.400000000372529,3058328.979999999981374,12976749.480000000447035
FS( 180 ),3899095.750000000465661,3248811.699999999720603,2723784.930000000167638,3010423.760000000242144,12882116.140000000596046
FS( 181 ),3924608.500000000465661,3309253.899999999906868,2727167.070000000298023,2987954.939999999944121,12948984.410000000149012
FS( 182 ),3950707.750000000000000,3315410.049999999813735,2710820.060000000055879,3012543.459999999962747,12989481.320000000298023
FS( 183 ),3984724.750000000000000,3363539.949999999720603,2700109.950000000186265,2998553.439999999944121,13046928.089999997988343
FS( 184 ),3973288.000000000465661,3467634.849999999627471,2756478.950000000186265,3068503.539999999571592,13265905.339999999850988
FS( 185 ),3963903.999999999534339,3498975.250000000000000,2750278.359999999869615,3068927.479999999981374,13282085.089999999850988
FS( 186 ),4007891.499999999534339,3489461.199999999720603,2780153.930000000167638,3109625.719999999739230,13387132.349999997764826
FS( 187 ),3999973.750000000000000,3497296.299999999813735,2782408.689999999944121,3152019.719999999739230,13431698.460000000894070
FS( 188 ),4012583.500000000465661,3540389.349999999627471,2785227.140000000130385,3142693.039999999571592,13480893.029999999329448
FS( 189 ),4054811.500000000465661,3575087.649999999906868,2802701.530000000260770,3173216.719999999739230,13605817.399999998509884
FS( 190 ),4014636.250000000000000,3554380.599999999627471,2806647.359999999869615,3166433.679999999701977,13542097.889999998733401
FS( 191 ),3985897.749999999534339,3554380.599999999627471,2815102.709999999962747,3170249.139999999664724,13525630.199999999254942
FS( 192 ),4002613.000000000465661,3538710.399999999441206,2821303.299999999813735,3192294.019999999552965,13554920.719999998807907
FS( 193 ),4007891.499999999534339,3496176.999999999534339,2789736.660000000149012,3161346.399999999441206,13455151.559999998658895
FS( 194 ),4035750.250000000000000,3480506.799999999813735,2803265.219999999739230,3183815.219999999739230,13503337.489999998360872
FS( 195 ),4058917.000000000000000,3474350.649999999441206,2803828.910000000149012,3147356.379999999422580,13484452.939999997615814
FS( 196 ),4120499.499999999534339,3435734.799999999813735,2824685.439999999944121,3243590.760000000242144,13624510.499999998137355
FS( 197 ),4129590.250000000000000,3439652.349999999627471,2806647.359999999869615,3205860.100000000093132,13581750.059999998658895
FS( 198 ),4168006.000000000000000,3395440.000000000000000,2791427.730000000447035,3225361.339999999850988,13580235.070000000298023
FS( 199 ),4161261.250000000000000,3403834.749999999534339,2811720.570000000298023,3166857.620000000111759,13543674.190000001341105
FS( 200 ),4126071.249999999534339,3338915.349999999627471,2994356.129999999888241,3134638.179999999701977,13593980.910000000149012
FS( 201 ),4105836.999999999534339,3399357.549999999813735,2987591.850000000093132,3138029.699999999720603,13630816.099999997764826
FS( 202 ),4123725.250000000000000,3431257.599999999627471,2960534.730000000447035,3172792.779999999795109,13688310.359999999403954
FS( 203 ),4111702.000000000465661,3434055.849999999627471,2959407.350000000093132,3084613.260000000242144,13589778.459999999031425
FS( 204 ),4119033.250000000465661,3432936.549999999813735,2928404.400000000372529,3074438.699999999720603,13554812.900000000372529
FS( 205 ),4154516.499999999534339,3660714.099999999627471,2921640.120000000111759,3101570.859999999869615,13838441.579999998211861
FS( 206 ),4233694.000000000000000,3640566.699999999720603,2894583.000000000000000,3111745.419999999925494,13880589.119999999180436
FS( 207 ),4143959.500000000000000,3564454.299999999813735,2908675.250000000000000,3103266.620000000111759,13720355.670000001788139
FS( 208 ),4007305.000000000000000,3459799.749999999534339,2930095.469999999739230,3035436.219999999739230,13432636.439999997615814
FS( 209 ),4028125.750000000465661,3435175.149999999906868,2961098.419999999925494,3037555.919999999925494,13461955.240000000223517
FS( 210 ),4020208.000000000000000,3431817.249999999534339,2980263.879999999888241,3040099.559999999590218,13472388.689999997615814
FS( 211 ),3805842.250000000000000,3565013.949999999720603,2943060.340000000316650,3021022.260000000242144,13334938.799999998882413
FS( 212 ),3710536.000000000000000,3611464.899999999906868,3016340.040000000037253,3086309.019999999552965,13424649.960000000894070
FS( 213 ),3673293.250000000000000,3627135.099999999627471,2985900.780000000260770,3064264.139999999664724,13350593.269999999552965
FS( 214 ),3609364.750000000000000,3561656.049999999813735,2935732.370000000111759,2998977.379999999422580,13105730.549999998882413
FS( 215 ),3578866.750000000000000,3583482.399999999906868,3016340.040000000037253,2989226.760000000242144,13167915.950000001117587
FS( 216 ),3560098.750000000000000,3574527.999999999534339,3017467.419999999925494,3002368.899999999441206,13154463.070000000298023
FS( 217 ),3597341.500000000000000,3633291.250000000000000,3030995.980000000447035,3004488.600000000093132,13266117.330000000074506
FS( 218 ),3724905.250000000000000,3634410.549999999813735,3087364.980000000447035,3025261.659999999683350,13471942.440000001341105
FS( 219 ),3729010.750000000000000,3653438.649999999906868,3094129.260000000242144,2956583.379999999422580,13433162.039999999105930
FS( 220 ),3816985.750000000000000,3732908.949999999720603,3139788.150000000372529,2993890.100000000093132,13683572.949999999254942
FS( 221 ),3757456.000000000000000,3695972.050000000279397,3100329.850000000093132,2977780.379999999422580,13531538.279999999329448
FS( 222 ),3797631.250000000000000,3690375.549999999813735,3105966.750000000000000,3018902.559999999590218,13612876.109999999403954
FS( 223 ),3816985.750000000000000,3722835.249999999534339,3125132.209999999962747,3116832.699999999720603,13781785.910000000149012
FS( 224 ),3830768.500000000000000,3728431.750000000000000,3139224.459999999962747,3129974.839999999850988,13828399.550000000745058
FS( 225 ),3765080.499999999534339,3701008.899999999441206,3102584.609999999869615,3118104.519999999552965,13686778.529999997466803
