代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14222348.490000002086163
真實報酬,4222348.490000002086163

夏普值報酬,0.413534849000000
夏普值風險,0.107464761998498
夏普值,3.848097193066701

二次趨勢線,20.181607853969176 x^2 + 12273.174597748004089 x + 10000000.000000000000000
二次平均預期報酬,17358.939776948231156
風險,130246.620852762935101
二次平均趨勢值,0.133277467494313
一次趨勢線,16079.915333272620046 x + 10000000.000000000000000
一次預期報酬,16079.915333272620046
一次風險,193321.658794515824411
一次趨勢值,0.083176998550194
找到最佳解世代,2563
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
BA[2](2),HD[9](12),MCD[15](4),MSFT[18](1),UNH[23](3),V[25](5),
FS( 26 ),1800749.500000000000000,1605058.500000000000000,1640206.839999999850988,1753741.000000000000000,1708062.959999999962747,1659626.100000000093132,10167448.900000000372529
FS( 27 ),1790299.799999999813735,1611543.500000000000000,1658960.859999999869615,1755192.250000000000000,1719735.939999999944121,1667068.279999999795109,10202804.629999998956919
FS( 28 ),1826684.900000000139698,1634500.399999999906868,1671608.919999999925494,1746484.750000000000000,1707701.939999999944121,1674309.319999999832362,10261294.230000000447035
FS( 29 ),1859418.899999999906868,1673540.100000000093132,1664776.060000000055879,1703818.000000000000000,1758605.759999999776483,1646753.140000000130385,10306915.960000000894070
FS( 30 ),1869868.600000000093132,1684175.500000000000000,1660560.039999999804422,1713106.000000000000000,1762095.619999999646097,1646954.279999999795109,10336764.039999999105930
FS( 31 ),1888375.900000000139698,1655900.899999999906868,1713478.359999999869615,1686983.500000000000000,1832614.859999999869615,1576555.279999999795109,10353912.799999998882413
FS( 32 ),1864706.700000000186265,1613489.000000000000000,1720165.839999999850988,1708752.250000000000000,1832013.159999999683350,1580376.939999999711290,10319507.889999998733401
FS( 33 ),1843681.399999999906868,1625551.100000000093132,1733104.659999999916181,1731391.750000000000000,1823228.339999999850988,1610749.079999999841675,10367710.330000000074506
FS( 34 ),1829706.500000000232831,1672243.100000000093132,1736593.780000000027940,1760126.500000000000000,1814443.520000000018626,1630661.939999999711290,10443779.339999999850988
FS( 35 ),1842548.300000000046566,1664461.100000000093132,1744589.679999999934807,1751709.250000000000000,1798558.639999999664724,1625633.439999999711290,10427504.409999998286366
FS( 36 ),1850983.600000000093132,1663034.399999999906868,1737320.679999999934807,1766512.000000000000000,1810111.279999999795109,1643132.619999999878928,10471098.579999998211861
FS( 37 ),1882458.600000000093132,1698831.599999999860302,1740082.899999999906868,1774058.500000000000000,1832374.179999999701977,1607731.980000000214204,10535541.759999999776483
FS( 38 ),1885228.400000000139698,1701814.700000000186265,1746625.000000000000000,1753160.500000000000000,1847777.699999999720603,1600490.939999999711290,10535101.240000000223517
FS( 39 ),1889005.399999999906868,1706483.899999999906868,1754184.759999999776483,1756933.750000000000000,1838992.879999999888241,1611754.779999999795109,10557359.469999998807907
FS( 40 ),1885606.100000000093132,1694421.799999999813735,1771048.839999999850988,1759255.750000000000000,1830569.080000000074506,1590635.079999999841675,10531540.650000000372529
FS( 41 ),1909149.399999999906868,1681192.400000000139698,1754475.520000000018626,1773187.750000000000000,1896515.399999999906868,1592043.060000000055879,10606567.530000001192093
FS( 42 ),1895552.200000000186265,1678339.000000000000000,1733976.939999999944121,1749097.000000000000000,1905300.219999999739230,1555234.439999999711290,10517503.799999998882413
FS( 43 ),1918591.899999999906868,1679246.899999999906868,1722346.539999999804422,1718330.500000000000000,1936829.299999999813735,1517218.980000000214204,10492568.120000001043081
FS( 44 ),1916829.300000000046566,1684434.900000000139698,1719002.799999999813735,1719781.750000000000000,1934302.159999999683350,1523052.040000000037253,10497406.949999999254942
FS( 45 ),1915696.199999999953434,1681970.600000000093132,1734267.699999999953434,1747936.000000000000000,1896996.759999999776483,1555033.300000000046566,10531904.560000000521541
FS( 46 ),1916703.400000000139698,1669778.800000000046566,1733686.179999999934807,1740099.250000000000000,1893266.219999999739230,1551010.500000000000000,10504548.349999999627471
FS( 47 ),1940624.399999999906868,1718027.200000000186265,1743426.639999999897555,1781314.750000000000000,1918296.939999999944121,1595261.300000000046566,10696955.230000000447035
FS( 48 ),1956361.899999999906868,1718935.100000000093132,1751131.780000000027940,1770865.750000000000000,1917334.219999999739230,1594657.879999999888241,10709290.629999998956919
FS( 49 ),1970210.900000000139698,1730089.299999999813735,1762907.560000000055879,1798729.750000000000000,1926961.419999999925494,1591841.919999999925494,10780744.849999999627471
FS( 50 ),1978646.199999999953434,1745523.600000000093132,1769885.799999999813735,1804534.750000000000000,1919380.000000000000000,1578968.959999999962747,10796943.309999998658895
FS( 51 ),1972351.199999999953434,1770944.799999999813735,1783551.520000000018626,1828045.000000000000000,1932015.699999999720603,1593048.760000000009313,10879960.979999998584390
FS( 52 ),1944779.100000000093132,1763681.599999999860302,1785877.600000000093132,1819337.500000000000000,1923832.580000000074506,1591640.779999999795109,10829153.160000000149012
FS( 53 ),1935966.100000000093132,1761865.800000000046566,1778899.359999999869615,1816435.000000000000000,1932978.419999999925494,1599082.959999999962747,10825231.640000000596046
FS( 54 ),1945156.800000000046566,1752397.700000000186265,1791692.799999999813735,1808308.000000000000000,1972931.299999999813735,1575951.859999999869615,10846442.459999999031425
FS( 55 ),1966308.000000000232831,1756677.800000000046566,1788058.299999999813735,1846621.000000000000000,1944049.699999999720603,1570923.359999999869615,10872642.159999998286366
FS( 56 ),1968951.899999999906868,1778337.700000000186265,1793001.219999999972060,1844299.000000000000000,1944651.399999999906868,1576153.000000000000000,10905398.220000000670552
FS( 57 ),1982675.000000000000000,1774706.100000000093132,1790820.520000000018626,1844299.000000000000000,1941522.560000000055879,1571727.919999999925494,10905755.099999999627471
FS( 58 ),1982423.200000000186265,1756548.100000000093132,1798671.039999999804422,1844589.250000000000000,1944531.060000000055879,1566900.560000000055879,10893667.210000000894070
FS( 59 ),1986829.700000000186265,1751619.500000000232831,1790239.000000000000000,1835591.500000000000000,1961980.359999999869615,1571929.060000000055879,10898193.120000001043081
FS( 60 ),1982675.000000000000000,1754343.199999999953434,1789221.339999999850988,1836752.500000000000000,1957287.099999999627471,1575951.859999999869615,10896235.000000000000000
FS( 61 ),1965300.800000000046566,1751878.899999999906868,1783551.520000000018626,1828335.250000000000000,1942846.299999999813735,1574946.159999999916181,10846862.929999999701977
FS( 62 ),1960138.899999999906868,1752268.000000000000000,1785150.699999999953434,1825723.000000000000000,1938032.699999999720603,1575549.579999999841675,10836866.879999998956919
FS( 63 ),1960013.000000000232831,1739038.600000000093132,1769595.039999999804422,1803664.000000000000000,1925998.699999999720603,1569314.239999999990687,10767627.580000000074506
FS( 64 ),1976254.100000000093132,1742021.699999999953434,1739065.239999999990687,1816435.000000000000000,1942966.639999999664724,1599082.959999999962747,10815829.640000000596046
FS( 65 ),1997027.600000000093132,1757456.000000000000000,1737029.919999999925494,1808308.000000000000000,1948502.279999999795109,1612157.060000000055879,10860484.859999999403954
FS( 66 ),1998160.700000000186265,1736704.000000000000000,1740228.280000000027940,1808308.000000000000000,1951751.459999999962747,1631064.219999999972060,10866220.660000002011657
FS( 67 ),2003070.800000000046566,1731905.100000000093132,1755638.560000000055879,1823981.500000000000000,1954519.279999999795109,1653591.899999999906868,10922711.140000000596046
FS( 68 ),1993250.599999999860302,1742021.699999999953434,1750841.020000000018626,1818176.500000000000000,1948983.639999999664724,1644339.459999999962747,10897616.920000001788139
FS( 69 ),2002693.099999999860302,1765238.000000000000000,1748224.179999999934807,1817596.000000000000000,1944531.060000000055879,1635489.300000000046566,10913775.640000000596046
FS( 70 ),2006847.800000000046566,1760049.999999999767169,1757383.119999999878928,1834140.250000000000000,1948261.599999999627471,1645345.159999999916181,10952031.929999999701977
FS( 71 ),1992872.899999999906868,1751878.899999999906868,1775119.479999999748543,1817305.750000000000000,1953917.580000000074506,1636696.140000000130385,10927794.750000000000000
FS( 72 ),1999671.500000000232831,1751489.799999999813735,1766396.679999999934807,1819918.000000000000000,1947178.540000000037253,1632673.340000000083819,10917331.859999999403954
FS( 73 ),1985067.099999999860302,1763033.100000000093132,1784569.179999999934807,1814983.750000000000000,1933459.779999999795109,1634483.600000000093132,10915600.509999999776483
FS( 74 ),1993250.599999999860302,1766016.199999999953434,1783987.659999999916181,1814113.000000000000000,1898320.500000000000000,1641121.219999999972060,10896813.180000001564622
FS( 75 ),2001811.800000000046566,1756029.299999999813735,1776282.520000000018626,1808308.000000000000000,1909873.139999999664724,1643937.179999999934807,10896245.939999997615814
FS( 76 ),2008484.500000000000000,1758753.000000000000000,1777445.560000000055879,1821079.000000000000000,1909391.779999999795109,1646149.719999999972060,10921307.560000000521541
FS( 77 ),1987207.400000000139698,1790788.899999999906868,1764652.119999999878928,1827464.500000000000000,1914325.719999999739230,1652385.060000000055879,10936827.700000001117587
FS( 78 ),2021326.300000000279397,1790659.199999999953434,1759854.579999999841675,1843718.500000000000000,1930691.959999999962747,1674108.179999999934807,11020362.719999998807907
FS( 79 ),2107064.200000000186265,1783136.599999999860302,1770612.699999999953434,1848362.500000000000000,1940439.500000000000000,1687584.560000000055879,11137204.060000000521541
FS( 80 ),2129222.600000000558794,1795847.200000000186265,1771921.119999999878928,1865487.250000000000000,1958610.839999999850988,1674309.319999999832362,11195402.330000001937151
FS( 81 ),2111344.799999999813735,1794161.100000000093132,1786168.359999999869615,1909315.000000000000000,1961499.000000000000000,1684969.739999999990687,11247462.000000000000000
FS( 82 ),2084528.099999999860302,1795976.899999999906868,1788494.439999999944121,1890448.749999999767169,1950668.399999999906868,1683561.760000000009313,11193682.349999999627471
FS( 83 ),2057459.599999999860302,1784433.600000000093132,1781952.339999999850988,1876516.750000000232831,1950788.739999999757856,1663648.899999999906868,11114803.929999999701977
FS( 84 ),2064384.100000000093132,1782617.800000000046566,1779771.639999999897555,1845460.000000000000000,1958129.479999999981374,1658218.119999999878928,11088585.139999998733401
FS( 85 ),2042855.199999999953434,1776262.499999999767169,1791402.039999999804422,1833559.750000000000000,1934663.179999999701977,1655402.159999999916181,11034148.829999998211861
FS( 86 ),2044617.800000000046566,1789621.599999999860302,1806230.799999999813735,1848362.500000000000000,1948020.919999999925494,1731433.079999999841675,11168290.699999999254942
FS( 87 ),2064510.000000000000000,1770296.300000000046566,1809283.780000000027940,1847201.500000000000000,1931654.679999999701977,1726404.579999999841675,11149354.839999999850988
FS( 88 ),2096236.800000000046566,1772371.500000000000000,1811319.100000000093132,1841106.250000000000000,1931895.359999999869615,1725398.879999999888241,11178331.890000000596046
FS( 89 ),2062369.700000000186265,1788324.599999999860302,1812482.139999999897555,1838494.000000000000000,1929247.879999999888241,1711520.219999999972060,11142442.540000000968575
FS( 90 ),2068287.000000000000000,1799089.700000000186265,1809719.919999999925494,1859392.000000000000000,1930812.299999999813735,1721376.079999999841675,11188681.000000000000000
FS( 91 ),2092837.500000000000000,1813875.500000000000000,1829200.839999999850988,1857650.500000000000000,1934542.839999999850988,1727812.560000000055879,11255923.740000000223517
FS( 92 ),2115499.500000000000000,1814134.900000000139698,1825130.199999999953434,1878548.500000000000000,1949465.000000000000000,1738674.119999999878928,11321456.220000000670552
FS( 93 ),2121416.799999999813735,1833460.200000000186265,1829055.459999999962747,1874194.749999999767169,1963183.759999999776483,1746920.859999999869615,11368235.829999998211861
FS( 94 ),2131488.799999999813735,1844225.300000000046566,1838795.919999999925494,1873033.750000000000000,1977143.199999999720603,1760799.520000000018626,11425490.489999998360872
FS( 95 ),2150499.700000000186265,1835794.799999999813735,1841994.280000000027940,1872743.500000000000000,1969441.439999999944121,1758184.699999999953434,11428662.419999999925494
FS( 96 ),2174420.700000000186265,1854731.000000000000000,1857986.079999999841675,1875646.000000000232831,1896876.419999999925494,1759190.399999999906868,11418854.599999999627471
FS( 97 ),2210302.200000000186265,1880930.400000000139698,1861475.199999999720603,1871872.749999999767169,1932376.719999999739230,1768442.840000000083819,11525404.109999999403954
FS( 98 ),2207784.200000000186265,1883913.500000000000000,1858712.979999999748543,1868099.500000000000000,1932376.719999999739230,1766029.159999999916181,11516920.059999998658895
FS( 99 ),2226669.200000000186265,1876909.700000000186265,1864818.940000000176951,1875646.000000000232831,1956805.739999999757856,1773672.480000000214204,11574526.060000000521541
FS( 100 ),2233971.400000000372529,1892992.499999999767169,1870343.380000000121072,1875646.000000000232831,1962341.379999999888241,1778700.980000000214204,11613999.640000000596046
FS( 101 ),2259025.500000000000000,1884562.000000000232831,1846210.299999999813735,1864326.250000000000000,1990260.259999999776483,1770051.959999999962747,11614440.269999999552965
FS( 102 ),2269097.500000000000000,1879503.699999999953434,1855805.380000000121072,1857070.000000000000000,1990260.259999999776483,1768845.119999999878928,11620585.959999999031425
FS( 103 ),2315428.700000000186265,1902460.600000000093132,1876158.580000000074506,1884934.000000000000000,2021067.299999999813735,1789964.819999999832362,11790018.000000000000000
FS( 104 ),2303845.900000000372529,1918932.499999999767169,1864237.419999999692664,1857940.750000000232831,2013485.879999999888241,1780712.379999999888241,11739158.829999998211861
FS( 105 ),2293648.000000000000000,1917116.699999999953434,1859439.880000000121072,1864906.750000000000000,2024196.139999999664724,1785942.020000000018626,11745253.489999998360872
FS( 106 ),2277910.500000000000000,1908297.099999999860302,1861329.820000000065193,1865487.250000000000000,2030213.139999999664724,1788959.119999999878928,11732200.929999997839332
FS( 107 ),2291633.600000000558794,1893900.400000000139698,1861911.339999999850988,1869260.500000000232831,2025399.540000000037253,1791372.800000000046566,11733482.180000001564622
FS( 108 ),2288108.400000000372529,1905573.399999999906868,1862202.100000000093132,1886385.249999999767169,2020706.279999999795109,1789361.399999999906868,11752340.830000000074506
FS( 109 ),2273378.099999999627471,1901682.400000000139698,1862928.999999999767169,1878838.750000000000000,2021909.679999999701977,1792378.500000000000000,11731120.429999999701977
FS( 110 ),2249834.799999999813735,1904665.500000000000000,1860602.919999999925494,1884643.750000000232831,2045616.659999999683350,1804849.179999999934807,11750216.809999998658895
FS( 111 ),2254241.299999999813735,1912188.100000000093132,1855223.859999999869615,1878258.249999999767169,2048384.479999999981374,1812492.500000000000000,11760792.490000000223517
FS( 112 ),2250212.500000000000000,1908686.199999999953434,1857986.079999999841675,1869550.750000000000000,2034545.379999999888241,1801228.659999999916181,11722213.570000000298023
FS( 113 ),2249960.700000000186265,1918932.499999999767169,1859149.119999999878928,1879419.250000000000000,2067277.859999999869615,1808670.840000000083819,11783414.269999999552965
FS( 114 ),2243413.900000000372529,1929049.099999999860302,1860602.919999999925494,1876226.500000000000000,2061501.540000000037253,1811084.520000000018626,11781882.480000000447035
FS( 115 ),2267460.799999999813735,1940333.000000000000000,1870197.999999999767169,1882902.250000000232831,2042247.139999999664724,1815107.319999999832362,11818252.509999999776483
FS( 116 ),2258521.899999999441206,1916987.000000000232831,1872233.320000000065193,1884643.750000000232831,2021789.339999999850988,1793786.480000000214204,11747965.789999999105930
FS( 117 ),2215338.200000000186265,1901552.700000000186265,1868453.440000000176951,1863745.749999999767169,2018179.139999999664724,1771258.800000000046566,11638532.030000001192093
FS( 118 ),2228180.000000000000000,1911280.200000000186265,1876885.479999999748543,1887546.250000000000000,2010116.359999999869615,1780511.239999999990687,11694523.529999999329448
FS( 119 ),2231705.200000000186265,1919451.300000000046566,1875431.679999999934807,1882902.250000000232831,1989177.199999999720603,1787350.000000000000000,11686021.629999998956919
FS( 120 ),2213575.599999999627471,1915819.700000000186265,1880374.600000000093132,1886095.000000000000000,1985687.339999999850988,1793987.619999999878928,11675543.859999999403954
FS( 121 ),2217100.799999999813735,1904924.900000000139698,1882555.300000000046566,1889577.999999999767169,1980873.739999999757856,1789160.260000000009313,11664197.000000000000000
FS( 122 ),2232964.200000000186265,1909204.999999999767169,1881973.779999999795109,1895092.750000000232831,1989899.239999999757856,1792579.640000000130385,11701718.610000001266599
FS( 123 ),2236363.500000000000000,1907129.799999999813735,1873105.600000000093132,1900317.250000000000000,1966914.299999999813735,1793786.480000000214204,11677620.929999999701977
FS( 124 ),2240770.000000000000000,1905962.499999999767169,1880083.839999999850988,1907283.249999999767169,1985567.000000000000000,1790367.100000000093132,11710037.689999999478459
FS( 125 ),2226669.200000000186265,1904406.100000000093132,1884299.860000000102445,1911637.000000000000000,1973773.679999999701977,1787551.140000000130385,11688340.980000000447035
FS( 126 ),2224025.299999999813735,1901682.400000000139698,1884299.860000000102445,1902639.250000000000000,1992787.399999999906868,1797407.000000000000000,11702845.210000000894070
FS( 127 ),2249834.799999999813735,1898050.800000000046566,1879647.699999999720603,1907863.750000000000000,1985326.319999999832362,1785740.879999999888241,11706468.250000000000000
FS( 128 ),2229439.000000000000000,1901941.799999999813735,1895930.259999999776483,1902929.500000000000000,1990139.919999999925494,1790769.379999999888241,11711153.859999999403954
FS( 129 ),2233090.100000000558794,1909723.800000000046566,1892150.380000000121072,1907863.750000000000000,1989778.899999999906868,1791976.219999999972060,11724587.150000000372529
FS( 130 ),2251723.299999999813735,1908297.099999999860302,1889388.160000000149012,1906412.500000000232831,1997962.020000000018626,1784936.319999999832362,11738723.400000000372529
FS( 131 ),2235482.200000000186265,1922304.700000000186265,1889678.919999999692664,1902058.750000000000000,1991463.659999999683350,1787350.000000000000000,11728342.230000000447035
FS( 132 ),2248198.099999999627471,1922174.999999999767169,1907415.279999999795109,1900607.500000000000000,1995675.560000000055879,1787148.859999999869615,11761224.299999998882413
FS( 133 ),2216471.299999999813735,1900644.799999999813735,1908287.559999999823049,1893351.250000000000000,1992426.379999999888241,1783729.480000000214204,11694914.769999999552965
FS( 134 ),2211057.600000000558794,1892473.699999999953434,1901018.559999999823049,1885224.250000000000000,1985205.979999999981374,1787551.140000000130385,11662535.230000000447035
FS( 135 ),2253863.600000000558794,1910631.699999999953434,1909595.979999999748543,1900607.500000000000000,2011921.459999999962747,1806458.300000000046566,11793082.540000000968575
FS( 136 ),2239133.299999999813735,1916468.199999999953434,1923407.080000000074506,1897995.250000000000000,2028889.399999999906868,1804849.179999999934807,11810746.410000000149012
FS( 137 ),2246057.799999999813735,1909464.399999999906868,1928349.999999999767169,1887836.500000000232831,2036831.839999999850988,1805251.459999999962747,11813796.000000000000000
FS( 138 ),2257388.799999999813735,1928919.399999999906868,1937508.940000000176951,1901188.000000000000000,2064389.699999999720603,1833411.060000000055879,11922809.900000000372529
FS( 139 ),2270986.000000000000000,1945521.000000000000000,1939544.259999999776483,1927310.500000000232831,2059816.779999999795109,1833411.060000000055879,11976593.599999999627471
FS( 140 ),2292137.200000000186265,1970034.299999999813735,1951465.419999999692664,1960108.750000000000000,2073896.560000000055879,1847490.859999999869615,12095137.089999999850988
FS( 141 ),2310392.700000000186265,1984820.100000000093132,2060064.279999999795109,1971428.500000000000000,2094474.699999999720603,1852720.500000000000000,12273904.779999999329448
FS( 142 ),2287730.700000000186265,2000254.399999999906868,2047561.600000000093132,1968816.250000000000000,2098566.259999999776483,1846887.439999999711290,12249820.649999998509884
FS( 143 ),2306741.599999999627471,2024897.400000000139698,2047997.739999999990687,1981587.250000000000000,2101574.759999999776483,1842462.359999999869615,12305265.109999999403954
FS( 144 ),2327011.500000000000000,2024638.000000000000000,2034332.020000000018626,1987101.999999999767169,2104583.259999999776483,1834819.040000000037253,12312489.820000000298023
FS( 145 ),2296291.899999999441206,2000124.700000000186265,2052068.380000000121072,2014675.750000000000000,2101093.399999999906868,1835623.600000000093132,12299881.729999998584390
FS( 146 ),2309511.400000000372529,2009722.499999999767169,2053231.419999999692664,2011483.000000000000000,2095678.099999999627471,1861369.520000000018626,12340999.939999999478459
FS( 147 ),2308881.899999999441206,2010371.000000000000000,2073439.239999999990687,2005097.500000000000000,2076423.699999999720603,1859358.119999999878928,12333575.459999999031425
FS( 148 ),2304853.099999999627471,2008555.200000000186265,2085505.779999999795109,1997260.750000000000000,2094234.020000000018626,1862978.640000000130385,12353391.490000000223517
FS( 149 ),2329277.700000000186265,2019839.099999999860302,2092920.160000000149012,2002775.500000000000000,2095437.419999999925494,1852318.219999999972060,12392572.100000001490116
FS( 150 ),2341993.600000000558794,2034884.299999999813735,2096990.800000000046566,2001034.000000000000000,2099288.299999999813735,1848898.840000000083819,12423093.839999999850988
FS( 151 ),2353198.700000000186265,2045130.600000000093132,2098735.360000000335276,2003936.500000000232831,2084847.500000000000000,1850507.959999999962747,12436360.620000001043081
FS( 152 ),2306238.000000000000000,2050967.099999999860302,2101061.440000000409782,2011773.250000000000000,2086652.599999999627471,1855536.459999999962747,12412232.849999997764826
FS( 153 ),2315806.400000000372529,2025934.999999999767169,2096554.660000000149012,1987101.999999999767169,2085810.219999999739230,1852519.359999999869615,12363731.640000000596046
FS( 154 ),2307119.299999999813735,2035273.399999999906868,2113273.360000000335276,1984779.999999999767169,2067638.879999999888241,1865191.179999999934807,12373280.119999997317791
FS( 155 ),2296291.899999999441206,2040591.100000000093132,2126648.320000000298023,1986231.250000000232831,2064269.359999999869615,1875248.179999999934807,12389284.109999999403954
FS( 156 ),2300194.799999999813735,2052653.199999999953434,2141331.700000000186265,2014675.750000000000000,2023233.419999999925494,1873639.060000000055879,12405731.929999999701977
FS( 157 ),2250842.000000000000000,2024508.300000000046566,2128538.259999999776483,1958657.500000000000000,2032138.580000000074506,1845680.600000000093132,12240369.240000000223517
FS( 158 ),2233467.799999999813735,2019449.999999999767169,2137261.059999999590218,1965333.249999999767169,2063306.639999999664724,1844674.899999999906868,12263497.650000000372529
FS( 159 ),2275770.200000000186265,2027232.000000000232831,2153834.379999999888241,1964752.750000000000000,2077025.399999999906868,1860162.679999999934807,12358781.410000000149012
FS( 160 ),2312407.099999999627471,2022822.200000000186265,2154415.899999999441206,1986811.750000000000000,2102417.139999999664724,1876857.300000000046566,12455735.390000000596046
FS( 161 ),2310140.900000000372529,2008166.100000000093132,2149036.839999999850988,1993487.500000000232831,2108674.819999999832362,1887920.000000000000000,12457430.160000000149012
FS( 162 ),2332299.299999999813735,2010371.000000000000000,2173460.679999999701977,1996099.750000000000000,2113127.399999999906868,1907028.300000000046566,12532390.430000001564622
FS( 163 ),2355213.099999999627471,2029307.200000000186265,2177531.320000000298023,2020771.000000000232831,2142731.040000000037253,1911654.520000000018626,12637212.179999999701977
FS( 164 ),2349169.900000000372529,2009074.000000000000000,2178694.360000000335276,2030639.499999999767169,2136112.339999999850988,1904212.340000000083819,12607906.439999999478459
FS( 165 ),2352821.000000000000000,1995844.599999999860302,2179712.020000000484288,2043700.750000000000000,2125161.399999999906868,1905218.040000000037253,12602461.810000002384186
FS( 166 ),2362263.500000000000000,1991045.699999999953434,2193668.500000000000000,2027156.500000000000000,2108193.459999999962747,1915476.179999999934807,12597807.839999999850988
