代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14200801.419999999925494
真實報酬,4200801.419999999925494

夏普值報酬,0.411380142000000
夏普值風險,0.107606125117303
夏普值,3.823017895603517

二次趨勢線,71.693600768101390 x^2 + -2650.727569524477985 x + 10000000.000000000000000
二次平均預期報酬,15487.753424805170653
風險,340920.593597291503102
二次平均趨勢值,0.045429210542499
一次趨勢線,10926.194838112380239 x + 10000000.000000000000000
一次預期報酬,10926.194838112380239
一次風險,614737.586980009567924
一次趨勢值,0.017773754313266
找到最佳解世代,2945
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
FS( 147 ),10866292.240000000223517,10866292.240000000223517
FS( 148 ),11032749.220000000670552,11032749.220000000670552
FS( 149 ),11132981.380000000819564,11132981.380000000819564
FS( 150 ),11100763.900000000372529,11100763.900000000372529
FS( 151 ),11150879.979999998584390,11150879.979999998584390
FS( 152 ),11079285.580000000074506,11079285.580000000074506
FS( 153 ),11215314.939999999478459,11215314.939999999478459
FS( 154 ),11256481.720000000670552,11256481.720000000670552
FS( 155 ),11202785.919999999925494,11202785.919999999925494
FS( 156 ),11192046.759999999776483,11192046.759999999776483
FS( 157 ),11265431.019999999552965,11265431.019999999552965
FS( 158 ),11188467.039999999105930,11188467.039999999105930
FS( 159 ),11190256.900000000372529,11190256.900000000372529
FS( 160 ),11220684.519999999552965,11220684.519999999552965
FS( 161 ),11351344.300000000745058,11351344.300000000745058
FS( 162 ),11542859.319999998435378,11542859.319999998435378
FS( 163 ),11456946.040000000968575,11456946.040000000968575
FS( 164 ),11363873.320000000298023,11363873.320000000298023
FS( 165 ),11600134.839999999850988,11600134.839999999850988
FS( 166 ),11789860.000000000000000,11789860.000000000000000
FS( 167 ),11721845.319999998435378,11721845.319999998435378
FS( 168 ),11673519.099999999627471,11673519.099999999627471
FS( 169 ),11800599.160000000149012,11800599.160000000149012
FS( 170 ),11852505.099999999627471,11852505.099999999627471
FS( 171 ),11916940.059999998658895,11916940.059999998658895
FS( 172 ),11936628.519999999552965,11936628.519999999552965
FS( 173 ),11813128.179999999701977,11813128.179999999701977
FS( 174 ),11825657.199999999254942,11825657.199999999254942
FS( 175 ),11941998.099999999627471,11941998.099999999627471
FS( 176 ),11895461.739999998360872,11895461.739999998360872
FS( 177 ),12058339.000000000000000,12058339.000000000000000
FS( 178 ),12323238.279999999329448,12323238.279999999329448
FS( 179 ),12360825.339999999850988,12360825.339999999850988
FS( 180 ),12559499.800000000745058,12559499.800000000745058
FS( 181 ),12380513.800000000745058,12380513.800000000745058
FS( 182 ),12357245.620000001043081,12357245.620000001043081
FS( 183 ),12344716.599999999627471,12344716.599999999627471
FS( 184 ),12357245.620000001043081,12357245.620000001043081
FS( 185 ),12348296.319999998435378,12348296.319999998435378
FS( 186 ),12283861.359999999403954,12283861.359999999403954
FS( 187 ),12316078.839999999850988,12316078.839999999850988
FS( 188 ),12267752.620000001043081,12267752.620000001043081
FS( 189 ),12276701.919999999925494,12276701.919999999925494
FS( 190 ),12162150.880000000819564,12162150.880000000819564
FS( 191 ),12282071.500000000000000,12282071.500000000000000
FS( 192 ),12418100.859999999403954,12418100.859999999403954
FS( 193 ),12470006.800000000745058,12470006.800000000745058
FS( 194 ),12450318.339999999850988,12450318.339999999850988
FS( 195 ),12364405.059999998658895,12364405.059999998658895
FS( 196 ),12504014.139999998733401,12504014.139999998733401
FS( 197 ),12677630.559999998658895,12677630.559999998658895
FS( 198 ),12525492.460000000894070,12525492.460000000894070
FS( 199 ),12604246.300000000745058,12604246.300000000745058
FS( 200 ),12604246.300000000745058,12604246.300000000745058
FS( 201 ),12525492.460000000894070,12525492.460000000894070
FS( 202 ),12668681.259999999776483,12668681.259999999776483
FS( 203 ),12725956.779999999329448,12725956.779999999329448
FS( 204 ),12668681.259999999776483,12668681.259999999776483
FS( 205 ),12645413.080000000074506,12645413.080000000074506
FS( 206 ),12588137.559999998658895,12588137.559999998658895
FS( 207 ),12657942.099999999627471,12657942.099999999627471
FS( 208 ),12697319.019999999552965,12697319.019999999552965
FS( 209 ),12802920.759999999776483,12802920.759999999776483
FS( 210 ),12842297.679999999701977,12842297.679999999701977
FS( 211 ),12774283.000000000000000,12774283.000000000000000
FS( 212 ),12747435.099999999627471,12747435.099999999627471
FS( 213 ),12713427.759999999776483,12713427.759999999776483
FS( 214 ),12790391.739999998360872,12790391.739999998360872
FS( 215 ),12947899.419999999925494,12947899.419999999925494
FS( 216 ),12609615.880000000819564,12609615.880000000819564
FS( 217 ),12237325.000000000000000,12237325.000000000000000
FS( 218 ),12495064.839999999850988,12495064.839999999850988
FS( 219 ),12432419.739999998360872,12432419.739999998360872
FS( 220 ),12747435.099999999627471,12747435.099999999627471
FS( 221 ),12854826.699999999254942,12854826.699999999254942
FS( 222 ),12924631.239999998360872,12924631.239999998360872
FS( 223 ),12949689.279999999329448,12949689.279999999329448
FS( 224 ),12989066.199999999254942,12989066.199999999254942
FS( 225 ),12904942.779999999329448,12904942.779999999329448
FS( 226 ),12625724.620000001043081,12625724.620000001043081
FS( 227 ),12521912.739999998360872,12521912.739999998360872
FS( 228 ),12600666.580000000074506,12600666.580000000074506
FS( 229 ),12788601.880000000819564,12788601.880000000819564
FS( 230 ),13042762.000000000000000,13042762.000000000000000
FS( 231 ),13175211.639999998733401,13175211.639999998733401
FS( 232 ),13087508.500000000000000,13087508.500000000000000
FS( 233 ),12935370.399999998509884,12935370.399999998509884
FS( 234 ),13087508.500000000000000,13087508.500000000000000
FS( 235 ),13121515.839999999850988,13121515.839999999850988
FS( 236 ),13438321.059999998658895,13438321.059999998658895
FS( 237 ),13509915.460000000894070,13509915.460000000894070
FS( 238 ),13398944.139999998733401,13398944.139999998733401
FS( 239 ),13368516.519999999552965,13368516.519999999552965
FS( 240 ),13354197.639999998733401,13354197.639999998733401
FS( 241 ),13261124.919999999925494,13261124.919999999925494
FS( 242 ),13395364.419999999925494,13395364.419999999925494
FS( 243 ),13613727.339999999850988,13613727.339999999850988
FS( 244 ),13665633.279999999329448,13665633.279999999329448
FS( 245 ),13384625.259999999776483,13384625.259999999776483
FS( 246 ),13386415.120000001043081,13386415.120000001043081
FS( 247 ),13364936.800000000745058,13364936.800000000745058
FS( 248 ),13502756.019999999552965,13502756.019999999552965
FS( 249 ),13663843.419999999925494,13663843.419999999925494
FS( 250 ),13823140.960000000894070,13823140.960000000894070
FS( 251 ),13944851.439999999478459,13944851.439999999478459
FS( 252 ),14200801.419999999925494,14200801.419999999925494
