代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11918833.910000000149012
真實報酬,1918833.910000000149012

夏普值報酬,0.183183391000000
夏普值風險,0.070113401136093
夏普值,2.612673013029754

二次趨勢線,36.434779359631932 x^2 + 214.339706167222118 x + 10000000.000000000000000
二次平均預期報酬,9468.773663513733482
風險,237858.957045799499610
二次平均趨勢值,0.039808354417742
一次趨勢線,7141.475183115936488 x + 10000000.000000000000000
一次預期報酬,7141.475183115936488
一次風險,353886.832856722234283
一次趨勢值,0.020180109911033
找到最佳解世代,2155
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),UNH[23](5),
FS( 89 ),5257221.799999999813735,4991239.849999999627471,10248461.649999998509884
FS( 90 ),5295155.520000000484288,4841065.849999999627471,10136221.370000001043081
FS( 91 ),5288400.199999999254942,4856917.549999999813735,10145317.750000000000000
FS( 92 ),5349717.719999999739230,4842317.299999999813735,10192035.019999999552965
FS( 93 ),5339844.560000000521541,4975388.149999999441206,10315232.710000000894070
FS( 94 ),5364787.279999999329448,5110544.750000000000000,10475332.029999999329448
FS( 95 ),5372062.239999999292195,5172282.949999999254942,10544345.189999997615814
FS( 96 ),5342962.399999999441206,5092190.149999999441206,10435152.549999998882413
FS( 97 ),5386612.160000000149012,5012931.649999999441206,10399543.809999998658895
FS( 98 ),5446890.399999999441206,5005005.799999999813735,10451896.199999999254942
FS( 99 ),5429742.279999999329448,5036292.049999999813735,10466034.329999998211861
FS( 100 ),5395965.679999999701977,5023360.399999999441206,10419326.079999998211861
FS( 101 ),5328412.480000000447035,4926998.750000000000000,10255411.230000000447035
FS( 102 ),5761272.600000000558794,4747624.250000000000000,10508896.850000001490116
FS( 103 ),5850650.679999999701977,4835642.899999999441206,10686293.579999998211861
FS( 104 ),5829345.440000000409782,4861089.049999999813735,10690434.490000000223517
FS( 105 ),5801284.879999999888241,4979559.649999999441206,10780844.529999999329448
FS( 106 ),5868838.080000000074506,4996662.799999999813735,10865500.879999998956919
FS( 107 ),5852209.600000000558794,4993742.749999999068677,10845952.349999999627471
FS( 108 ),5832982.919999999925494,4913232.799999999813735,10746215.719999998807907
FS( 109 ),5825707.959999999962747,4951193.449999999254942,10776901.410000000149012
FS( 110 ),5824149.040000000037253,4908226.999999999068677,10732376.039999999105930
FS( 111 ),5840777.520000000484288,4782247.699999999254942,10623025.219999998807907
FS( 112 ),5864161.319999999366701,4848574.549999999813735,10712735.869999999180436
FS( 113 ),5888064.759999999776483,4789339.250000000000000,10677404.009999999776483
FS( 114 ),5868318.440000000409782,4766396.000000000000000,10634714.440000001341105
FS( 115 ),5883388.000000000000000,4834391.449999999254942,10717779.449999999254942
FS( 116 ),5916125.319999999366701,4778076.200000000186265,10694201.519999999552965
FS( 117 ),5825707.959999999962747,4706326.399999999441206,10532034.359999999403954
FS( 118 ),5714505.000000000000000,4647508.249999999068677,10362013.250000000000000
FS( 119 ),5771145.759999999776483,4748041.399999999441206,10519187.160000000149012
FS( 120 ),5764910.080000000074506,4771818.949999999254942,10536729.029999999329448
FS( 121 ),5847532.839999999850988,4891123.849999999627471,10738656.689999999478459
FS( 122 ),5887545.120000000111759,4614970.549999999813735,10502515.669999999925494
FS( 123 ),5919243.160000000149012,4712583.649999999441206,10631826.809999998658895
FS( 124 ),5948343.000000000000000,4678794.499999999068677,10627137.500000000000000
FS( 125 ),5938469.839999999850988,4721760.949999999254942,10660230.789999999105930
FS( 126 ),5944705.520000000484288,4772653.249999999068677,10717358.769999999552965
FS( 127 ),5935871.640000000596046,4769733.200000000186265,10705604.839999999850988
FS( 128 ),5932234.160000000149012,4701737.749999999068677,10633971.910000000149012
FS( 129 ),5947303.719999999739230,4849826.000000000000000,10797129.719999998807907
FS( 130 ),5909370.000000000000000,4907392.699999999254942,10816762.699999999254942
FS( 131 ),5892221.879999999888241,4797265.099999999627471,10689486.980000000447035
FS( 132 ),6038240.719999999739230,4911564.199999999254942,10949804.919999998062849
FS( 133 ),6049672.799999999813735,4835225.749999999068677,10884898.549999998882413
FS( 134 ),6055388.839999999850988,4833974.299999999813735,10889363.140000000596046
FS( 135 ),6057987.040000000037253,4799350.849999999627471,10857337.890000000596046
FS( 136 ),6090204.719999999739230,4847740.249999999068677,10937944.969999998807907
FS( 137 ),6032005.040000000037253,4838145.799999999813735,10870150.839999999850988
FS( 138 ),6041358.560000000521541,4832722.849999999627471,10874081.410000000149012
FS( 139 ),6076174.440000000409782,4906141.250000000000000,10982315.690000001341105
FS( 140 ),6123461.679999999701977,4957033.549999999813735,11080495.230000000447035
FS( 141 ),6105793.919999999925494,4973302.399999999441206,11079096.320000000298023
FS( 142 ),6062144.160000000149012,4831471.399999999441206,10893615.559999998658895
FS( 143 ),6115667.080000000074506,4897798.249999999068677,11013465.329999998211861
FS( 144 ),6117226.000000000000000,4899049.699999999254942,11016275.699999999254942
FS( 145 ),6173347.120000000111759,4951193.449999999254942,11124540.570000000298023
FS( 146 ),6161395.399999999441206,4936593.200000000186265,11097988.599999999627471
FS( 147 ),6170748.919999999925494,4936176.049999999813735,11106924.969999998807907
FS( 148 ),6239341.399999999441206,4998331.399999999441206,11237672.799999998882413
FS( 149 ),6206084.440000000409782,4960787.899999999441206,11166872.339999999850988
FS( 150 ),6139050.879999999888241,4907392.699999999254942,11046443.579999998211861
FS( 151 ),6109951.040000000037253,4858168.999999999068677,10968120.039999999105930
FS( 152 ),6194132.719999999739230,4867346.299999999813735,11061479.019999999552965
FS( 153 ),6152561.520000000484288,4817705.449999999254942,10970266.969999998807907
FS( 154 ),6010180.160000000149012,4675874.450000000186265,10686054.609999999403954
FS( 155 ),6000826.640000000596046,4595364.499999999068677,10596191.140000000596046
FS( 156 ),6063703.080000000074506,4571169.799999999813735,10634872.879999998956919
FS( 157 ),6102676.080000000074506,4682966.000000000000000,10785642.080000000074506
FS( 158 ),5982119.600000000558794,4556569.549999999813735,10538689.150000000372529
FS( 159 ),6060065.600000000558794,4620393.500000000000000,10680459.100000001490116
FS( 160 ),5985237.440000000409782,4558238.149999999441206,10543475.589999999850988
FS( 161 ),6105793.919999999925494,4696314.799999999813735,10802108.719999998807907
FS( 162 ),6016415.839999999850988,4788504.950000000186265,10804920.789999999105930
FS( 163 ),6123461.679999999701977,4734692.599999999627471,10858154.279999999329448
FS( 164 ),6152561.520000000484288,4769316.049999999813735,10921877.570000000298023
FS( 165 ),6194132.719999999739230,4729686.799999999813735,10923819.519999999552965
FS( 166 ),6258048.440000000409782,4753881.499999999068677,11011929.939999999478459
FS( 167 ),6280912.600000000558794,4685886.049999999813735,10966798.650000000372529
FS( 168 ),6359378.239999999292195,4646256.799999999813735,11005635.039999999105930
FS( 169 ),6432127.839999999850988,4803939.499999999068677,11236067.339999999850988
FS( 170 ),6475257.959999999962747,4834391.449999999254942,11309649.410000000149012
FS( 171 ),6440961.719999999739230,4750544.299999999813735,11191506.019999999552965
FS( 172 ),6312091.000000000000000,4703406.349999999627471,11015497.349999999627471
FS( 173 ),6270000.160000000149012,4763893.099999999627471,11033893.259999999776483
FS( 174 ),5996669.520000000484288,4660439.899999999441206,10657109.419999999925494
FS( 175 ),6030446.120000000111759,4589524.399999999441206,10619970.519999999552965
FS( 176 ),6080331.560000000521541,4637079.499999999068677,10717411.059999998658895
FS( 177 ),6107872.480000000447035,4702989.199999999254942,10810861.679999999701977
FS( 178 ),6065781.640000000596046,4614553.399999999441206,10680335.039999999105930
FS( 179 ),6128138.440000000409782,4664611.399999999441206,10792749.839999999850988
FS( 180 ),6193093.440000000409782,4803522.349999999627471,10996615.789999999105930
FS( 181 ),6165032.879999999888241,4934924.599999999627471,11099957.480000000447035
FS( 182 ),6088645.799999999813735,4899466.849999999627471,10988112.649999998509884
FS( 183 ),6055388.839999999850988,4909061.299999999813735,10964450.140000000596046
FS( 184 ),6114627.799999999813735,5058818.149999999441206,11173445.949999999254942
FS( 185 ),6074615.520000000484288,5053812.349999999627471,11128427.870000001043081
FS( 186 ),6082929.759999999776483,5014183.099999999627471,11097112.859999999403954
FS( 187 ),6151002.600000000558794,5055898.099999999627471,11206900.699999999254942
FS( 188 ),6082929.759999999776483,5061321.049999999813735,11144250.809999998658895
FS( 189 ),6089685.080000000074506,4968296.599999999627471,11057981.679999999701977
FS( 190 ),6175945.319999999366701,5075504.149999999441206,11251449.469999998807907
FS( 191 ),6156718.640000000596046,5058818.149999999441206,11215536.789999999105930
FS( 192 ),6063703.080000000074506,5081761.399999999441206,11145464.480000000447035
FS( 193 ),6089165.440000000409782,5080927.099999999627471,11170092.539999999105930
FS( 194 ),6087606.520000000484288,5079258.500000000000000,11166865.019999999552965
FS( 195 ),6153600.799999999813735,5075086.999999999068677,11228687.799999998882413
FS( 196 ),6216996.879999999888241,5051726.599999999627471,11268723.480000000447035
FS( 197 ),6234664.640000000596046,5093024.450000000186265,11327689.089999999850988
FS( 198 ),6316248.120000000111759,5218586.599999999627471,11534834.719999998807907
FS( 199 ),6386399.520000000484288,5223592.399999999441206,11609991.919999999925494
FS( 200 ),6413940.440000000409782,5208157.849999999627471,11622098.289999999105930
FS( 201 ),6418617.199999999254942,5210243.599999999627471,11628860.799999998882413
FS( 202 ),6399910.160000000149012,5194809.049999999813735,11594719.210000000894070
FS( 203 ),6447717.040000000037253,5286164.899999999441206,11733881.939999999478459
FS( 204 ),6433686.759999999776483,5286999.199999999254942,11720685.959999999031425
FS( 205 ),6434206.399999999441206,5340394.400000000372529,11774600.800000000745058
FS( 206 ),6453433.080000000074506,5414229.949999999254942,11867663.029999999329448
FS( 207 ),6406665.480000000447035,5364171.950000000186265,11770837.429999999701977
FS( 208 ),6400429.799999999813735,5377937.899999999441206,11778367.699999999254942
FS( 209 ),6442001.000000000000000,5415898.549999999813735,11857899.550000000745058
FS( 210 ),6538654.040000000037253,5409641.299999999813735,11948295.339999999850988
FS( 211 ),6530859.440000000409782,5377103.599999999627471,11907963.039999999105930
FS( 212 ),6600491.199999999254942,5419652.899999999441206,12020144.099999997764826
FS( 213 ),6629071.399999999441206,5401715.450000000186265,12030786.849999999627471
FS( 214 ),6619198.239999999292195,5299513.700000000186265,11918711.939999999478459
FS( 215 ),6626473.199999999254942,5340811.549999999813735,11967284.750000000000000
FS( 216 ),6658690.879999998956919,5292422.149999999441206,11951113.029999997466803
FS( 217 ),6649337.359999999403954,5242781.299999999813735,11892118.660000000149012
FS( 218 ),6628551.759999999776483,5269896.049999999813735,11898447.809999998658895
FS( 219 ),6631149.959999999962747,5289502.099999999627471,11920652.059999998658895
FS( 220 ),6593735.879999999888241,5329548.500000000000000,11923284.379999998956919
FS( 221 ),6625953.560000000521541,5338725.799999999813735,11964679.359999999403954
FS( 222 ),6639983.839999999850988,5311611.049999999813735,11951594.890000000596046
FS( 223 ),6695585.319999999366701,5331634.250000000000000,12027219.570000000298023
FS( 224 ),6696104.960000000894070,5443847.599999999627471,12139952.560000000521541
FS( 225 ),6679996.120000000111759,5586930.049999999813735,12266926.169999999925494
FS( 226 ),6536575.480000000447035,5546466.500000000000000,12083041.980000000447035
FS( 227 ),6521505.919999999925494,5595273.049999999813735,12116778.969999998807907
FS( 228 ),6623355.359999999403954,5580672.799999999813735,12204028.160000000149012
FS( 229 ),6636346.359999999403954,5599861.700000000186265,12236208.059999998658895
FS( 230 ),6667005.120000000111759,5539792.100000000558794,12206797.220000000670552
FS( 231 ),6647258.799999999813735,5509340.149999999441206,12156598.949999999254942
FS( 232 ),6572950.279999999329448,5493071.299999999813735,12066021.579999998211861
FS( 233 ),6661808.719999999739230,5510591.599999999627471,12172400.320000000298023
FS( 234 ),6672201.520000000484288,5525609.000000000000000,12197810.519999999552965
FS( 235 ),6720528.040000000968575,5507671.549999999813735,12228199.589999999850988
FS( 236 ),6717929.839999999850988,5519351.750000000000000,12237281.589999999850988
FS( 237 ),6785483.040000000968575,5508088.699999999254942,12293571.740000000223517
FS( 238 ),6798474.040000000968575,5534369.149999999441206,12332843.190000001341105
FS( 239 ),6838486.319999999366701,5571912.649999999441206,12410398.969999998807907
FS( 240 ),6710654.879999998956919,5451773.449999999254942,12162428.329999998211861
FS( 241 ),6761579.600000000558794,5412144.200000000186265,12173723.800000000745058
FS( 242 ),6694546.040000000968575,5381275.099999999627471,12075821.140000000596046
FS( 243 ),6736636.879999998956919,5449687.699999999254942,12186324.579999998211861
FS( 244 ),6635307.080000000074506,5404635.500000000000000,12039942.580000000074506
FS( 245 ),6558400.359999999403954,5444264.749999999068677,12002665.109999999403954
FS( 246 ),6510593.480000000447035,5422990.099999999627471,11933583.580000000074506
FS( 247 ),6368731.759999999776483,5462202.199999999254942,11830933.959999999031425
FS( 248 ),6381722.759999999776483,5440510.399999999441206,11822233.160000000149012
FS( 249 ),6440961.719999999739230,5531031.950000000186265,11971993.669999999925494
FS( 250 ),6405106.560000000521541,5565655.399999999441206,11970761.960000000894070
FS( 251 ),6432647.480000000447035,5547300.799999998882413,11979948.279999999329448
FS( 252 ),6404586.919999999925494,5589850.099999999627471,11994437.019999999552965
FS( 253 ),6342749.759999999776483,5576084.149999999441206,11918833.910000000149012
