代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15564841.720000000670552
真實報酬,5564841.720000000670552

夏普值報酬,0.547784172000000
夏普值風險,0.134936195815343
夏普值,4.059579186222440

二次趨勢線,66.280031485696512 x^2 + 5317.413042548041631 x + 10000000.000000000000000
二次平均預期報酬,22086.261008429257345
風險,145761.249129037867533
二次平均趨勢值,0.151523543742939
一次趨勢線,17869.144787306675425 x + 10000000.000000000000000
一次預期報酬,17869.144787306675425
一次風險,494869.350042653153650
一次趨勢值,0.036108812933690
找到最佳解世代,1856
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](7),BA[2](3),CAT[3](1),INTC[11](17),MCD[15](6),UNH[23](4),
FS( 167 ),1957172.559999999823049,2584475.200000000186265,2194458.759999999776483,1726450.469999999739230,2144108.980000000447035,2008679.770000000018626,12615349.739999998360872
FS( 168 ),1964120.399999999674037,2583865.359999999869615,2185346.799999999813735,1737859.719999999739230,2133081.639999999664724,2006119.020000000018626,12610396.939999997615814
FS( 169 ),1965857.360000000102445,2601957.279999999795109,2185522.030000000260770,1781671.239999999757856,2136893.559999999590218,2022405.389999999897555,12694310.859999999403954
FS( 170 ),1985181.040000000037253,2596570.359999999869615,2199365.200000000186265,1797187.819999999832362,2135532.160000000149012,2034594.559999999823049,12748435.140000000596046
FS( 171 ),1976062.000000000000000,2599619.560000000055879,2220918.490000000223517,1795362.339999999850988,2140297.059999999590218,2053544.109999999869615,12785807.559999998658895
FS( 172 ),1979318.799999999813735,2631432.879999999888241,2214960.669999999925494,1804033.369999999878928,2161943.320000000298023,2027117.169999999925494,12818810.209999999031425
FS( 173 ),1987786.479999999748543,2628282.039999999571592,2224247.860000000335276,1808597.069999999832362,2172834.519999999552965,2028756.050000000046566,12850508.019999999552965
FS( 174 ),1990826.159999999916181,2626350.879999999888241,2223371.709999999962747,1819093.579999999841675,2179913.799999999813735,2010728.370000000111759,12850288.500000000000000
FS( 175 ),1995168.559999999823049,2652167.439999999944121,2246326.839999999850988,1809509.809999999823049,2186176.240000000223517,1994134.709999999962747,12883487.600000001490116
FS( 176 ),1996688.399999999674037,2657351.080000000074506,2253511.269999999552965,1793536.859999999636784,2221164.219999999739230,2000075.649999999906868,12922331.479999998584390
FS( 177 ),1989089.199999999953434,2662128.160000000149012,2277868.240000000223517,1788516.789999999571592,2231510.859999999403954,1976107.029999999795109,12925224.279999999329448
FS( 178 ),2016229.199999999953434,2650236.279999999795109,2290484.799999999813735,1810422.549999999813735,2251387.299999999813735,1972009.830000000074506,12990773.959999999031425
FS( 179 ),1996688.399999999674037,2640173.919999999925494,2303802.280000000260770,1814529.879999999655411,2246486.259999999776483,1978975.069999999832362,12980659.809999998658895
FS( 180 ),1990826.159999999916181,2628688.600000000093132,2287505.889999999664724,1815898.989999999757856,2251795.719999999739230,2088472.739999999757856,13063192.099999999627471
FS( 181 ),1999293.839999999850988,2643121.479999999981374,2300648.139999999664724,1836892.009999999776483,2256832.900000000372529,2102198.359999999403954,13138990.729999998584390
FS( 182 ),1995385.679999999934807,2632957.479999999981374,2305204.120000000111759,1829590.089999999850988,2266771.120000000111759,2081917.219999999972060,13111829.710000002756715
FS( 183 ),1999510.959999999962747,2690993.919999999925494,2301874.750000000000000,1845106.669999999692664,2264048.320000000298023,2125347.540000000037253,13226886.160000000149012
FS( 184 ),2005807.439999999711290,2666295.399999999906868,2307482.110000000335276,1863361.469999999739230,2223750.879999999888241,2120430.899999999441206,13187132.199999999254942
FS( 185 ),2037941.199999999953434,2703698.919999999925494,2422432.990000000223517,1868837.909999999916181,2231102.439999999478459,2132107.919999999925494,13396125.379999998956919
FS( 186 ),2030776.239999999990687,2626655.800000000279397,2397900.790000000037253,1861079.619999999878928,2227018.240000000223517,2126064.549999999813735,13269499.239999998360872
FS( 187 ),2077674.159999999916181,2635295.199999999720603,2399653.089999999850988,1887092.709999999729916,2232872.259999999776483,2142350.919999999925494,13374942.339999997988343
FS( 188 ),2079845.360000000102445,2606734.359999999869615,2414898.099999999627471,2026285.559999999823049,2251659.580000000074506,2177689.269999999552965,13557116.229999998584390
FS( 189 ),2064212.719999999739230,2635091.919999999925494,2391767.740000000223517,2024916.449999999720603,2263095.339999999850988,2144809.240000000223517,13523897.410000000149012
FS( 190 ),2073983.119999999878928,2622183.640000000130385,2379676.870000000111759,2076029.889999999897555,2272352.859999999403954,2153310.929999999701977,13577541.309999998658895
FS( 191 ),2079845.360000000102445,2627468.919999999925494,2388263.139999999664724,2131707.029999999795109,2265001.299999999813735,2146243.259999999776483,13638533.009999999776483
FS( 192 ),2083970.639999999897555,2669446.239999999757856,2391417.280000000260770,2149505.459999999962747,2288553.519999999552965,2162324.769999999552965,13745221.910000000149012
FS( 193 ),2093741.040000000037253,2660501.919999999925494,2394220.959999999962747,2114821.339999999850988,2296041.219999999739230,2180454.879999999888241,13739785.359999999403954
FS( 194 ),2090701.360000000102445,2684082.399999999906868,2413145.799999999813735,2131250.659999999683350,2315373.099999999627471,2172772.629999999888241,13807329.949999999254942
FS( 195 ),2070726.320000000065193,2705020.239999999757856,2432421.099999999627471,2134901.619999999646097,2324902.900000000372529,2178713.570000000298023,13846689.750000000000000
FS( 196 ),2065515.439999999711290,2699328.399999999906868,2405786.139999999664724,2131250.659999999683350,2315781.519999999552965,2158944.580000000074506,13776610.739999998360872
FS( 197 ),2035552.879999999888241,2670157.719999999739230,2371616.290000000037253,2112995.859999999869615,2273578.120000000111759,2167036.549999999813735,13630941.420000001788139
FS( 198 ),2030559.119999999878928,2651354.320000000298023,2391592.509999999776483,2080137.219999999739230,2254382.379999999888241,2162017.479999999515712,13570047.030000001192093
FS( 199 ),2038809.679999999934807,2667311.800000000279397,2392468.660000000149012,2087895.509999999776483,2278615.299999999813735,2178303.849999999627471,13643408.799999998882413
FS( 200 ),2035770.000000000000000,2660603.560000000055879,2410166.889999999664724,2092915.579999999841675,2288689.660000000149012,2168573.000000000000000,13656722.689999999478459
FS( 201 ),2024914.000000000000000,2671783.959999999962747,2349887.769999999552965,2074660.779999999795109,2277934.599999999627471,2149623.450000000186265,13548808.559999998658895
FS( 202 ),2031427.599999999860302,2680321.719999999739230,2389489.750000000000000,2083331.809999999823049,2288417.379999999888241,2162632.059999999590218,13635624.319999996572733
FS( 203 ),2034250.159999999916181,2665685.560000000055879,2385459.459999999962747,2036782.069999999832362,2269766.200000000186265,2150033.169999999925494,13541980.619999999180436
FS( 204 ),2039895.280000000027940,2689774.239999999757856,2399127.400000000372529,2036325.699999999720603,2272625.139999999664724,2153618.219999999739230,13591369.979999996721745
FS( 205 ),2049882.799999999813735,2713761.279999999795109,2411218.269999999552965,2050929.539999999571592,2291276.320000000298023,2177689.269999999552965,13694761.479999998584390
FS( 206 ),2037072.719999999739230,2695059.519999999552965,2418402.700000000186265,2037694.809999999823049,2301486.820000000298023,2163553.929999999701977,13653274.500000000000000
FS( 207 ),2029690.639999999897555,2702479.239999999757856,2407538.439999999478459,2042258.509999999776483,2302303.660000000149012,2176767.399999999441206,13661041.889999996870756
FS( 208 ),2029473.519999999785796,2699430.039999999571592,2404033.839999999850988,2030392.889999999897555,2300261.559999999590218,2175640.669999999925494,13639236.519999997690320
FS( 209 ),2068772.239999999990687,2723925.279999999795109,2435575.240000000223517,2041345.769999999552965,2332662.879999999888241,2213949.490000000223517,13816234.900000000372529
FS( 210 ),2097432.079999999608845,2737240.120000000111759,2419278.849999999627471,2005748.909999999916181,2320274.139999999664724,2282987.309999999590218,13862965.409999996423721
FS( 211 ),2121532.399999999906868,2813470.120000000111759,2473424.919999999925494,2046365.839999999850988,2341239.700000000186265,2337172.780000000260770,14133209.760000001639128
FS( 212 ),2124789.199999999720603,2758381.239999999757856,2479908.429999999701977,2039063.919999999692664,2353492.299999999813735,2322935.009999999776483,14078574.099999999627471
FS( 213 ),2140638.959999999962747,2825362.000000000000000,2479557.969999999739230,2030392.889999999897555,2323269.219999999739230,2268032.530000000260770,14067257.570000000298023
FS( 214 ),2143244.399999999906868,2800663.479999999981374,2455726.689999999478459,1982474.039999999571592,2355125.980000000447035,2254409.339999999850988,13991647.929999999701977
FS( 215 ),2132388.399999999906868,2828411.199999999720603,2459231.290000000037253,1982930.409999999916181,2361796.839999999850988,2252872.889999999664724,14017635.029999997466803
FS( 216 ),2140421.839999999850988,2866018.000000000000000,2503914.939999999478459,1966044.719999999739230,2354036.859999999403954,2255023.919999999925494,14085464.279999999329448
FS( 217 ),2139770.479999999981374,2905962.519999999552965,2520912.250000000000000,1978366.709999999729916,2357304.219999999739230,2293537.599999999627471,14195857.779999999329448
FS( 218 ),2149540.879999999888241,2878113.160000000149012,2519335.179999999701977,1992514.179999999701977,2358665.620000000111759,2281860.580000000074506,14180033.599999999627471
FS( 219 ),2157574.319999999832362,2947025.080000000074506,2513202.129999999888241,1977453.969999999739230,2344779.339999999850988,2278992.540000000037253,14219031.379999998956919
FS( 220 ),2123052.239999999757856,2966336.679999999701977,2603445.580000000074506,1977910.339999999850988,2362749.820000000298023,2298044.519999999552965,14331543.179999999701977
FS( 221 ),2109373.680000000167638,2987071.239999999757856,2563317.910000000149012,1974259.379999999655411,2357168.080000000074506,2266291.219999999739230,14257485.509999997913837
FS( 222 ),2139119.119999999646097,2987681.080000000074506,2570502.339999999850988,2033587.479999999981374,2369692.959999999962747,2272129.729999999515712,14372716.710000000894070
FS( 223 ),2164305.040000000037253,3010041.879999999888241,2624473.179999999701977,2111170.379999999888241,2371598.919999999925494,2280836.280000000260770,14562429.679999999701977
FS( 224 ),2152797.680000000167638,3021323.919999999925494,2644449.400000000372529,2146767.239999999757856,2360571.580000000074506,2274383.189999999478459,14600297.009999999776483
FS( 225 ),2138902.000000000000000,3027930.519999999552965,2672661.429999999701977,2170498.479999999981374,2343962.500000000000000,2277865.809999999590218,14631824.739999998360872
FS( 226 ),2138684.879999999888241,2998759.839999999850988,2709810.189999999478459,2133988.879999999888241,2339606.019999999552965,2270798.139999999664724,14591651.949999999254942
FS( 227 ),2143895.759999999776483,2999471.320000000298023,2729260.719999999739230,2131250.659999999683350,2333752.000000000000000,2253487.469999999739230,14591121.929999999701977
FS( 228 ),2140204.719999999739230,3002113.959999999962747,2741351.589999999850988,2102955.719999999739230,2331982.179999999701977,2249390.269999999552965,14568002.439999997615814
FS( 229 ),2152363.439999999944121,3004756.600000000093132,2760276.429999999701977,2104324.829999999608845,2350769.500000000000000,2257789.530000000260770,14630284.329999998211861
FS( 230 ),2164739.279999999795109,3012176.320000000298023,2776047.129999999888241,2109344.899999999906868,2356623.519999999552965,2281860.580000000074506,14700795.729999998584390
FS( 231 ),2156271.600000000093132,2997540.160000000149012,2761327.810000000521541,2106606.679999999701977,2343281.799999999813735,2258199.250000000000000,14623231.300000000745058
FS( 232 ),2148238.159999999683350,3017156.679999999701977,2751865.389999999664724,2138096.209999999962747,2358257.200000000186265,2265369.349999999627471,14678986.990000000223517
FS( 233 ),2161482.479999999981374,3026914.120000000111759,2756070.910000000149012,2065533.379999999655411,2348318.980000000447035,2289133.109999999403954,14647456.979999998584390
FS( 234 ),2189708.079999999608845,3015428.800000000279397,2793920.589999999850988,2027654.669999999692664,2364791.919999999925494,2299068.820000000298023,14690576.879999998956919
FS( 235 ),2194701.839999999850988,3139124.679999999701977,2838078.549999999813735,2041802.139999999897555,2369556.820000000298023,2342908.859999999403954,14926176.889999998733401
FS( 236 ),2174509.680000000167638,3152439.519999999552965,2909397.160000000149012,2041802.139999999897555,2367923.139999999664724,2302244.149999999441206,14948319.789999999105930
FS( 237 ),2182543.119999999646097,3236597.439999999944121,2916406.360000000335276,1990688.699999999720603,2362613.679999999701977,2313716.309999999590218,15002569.609999999403954
FS( 238 ),2197741.520000000018626,3255197.560000000055879,2906593.480000000447035,1939575.259999999776483,2362205.259999999776483,2296508.070000000298023,14957825.150000000372529
FS( 239 ),2187102.640000000130385,3335086.600000000093132,2964945.069999999366701,1981104.929999999701977,2360571.580000000074506,2308697.240000000223517,15137512.059999998658895
FS( 240 ),2192313.520000000018626,3417313.359999999869615,2984220.370000000111759,1973346.639999999897555,2363022.099999999627471,2341986.990000000223517,15272206.980000000447035
FS( 241 ),2178634.959999999962747,3406641.160000000149012,2966872.599999999627471,1968782.939999999711290,2364519.639999999664724,2385622.169999999925494,15271077.469999996945262
FS( 242 ),2187754.000000000000000,3567740.560000000055879,2952678.969999999739230,2025829.189999999711290,2382217.839999999850988,2442265.959999999962747,15558490.519999999552965
FS( 243 ),2168213.199999999720603,3457461.160000000149012,2958461.560000000521541,2029936.519999999552965,2376636.099999999627471,2490715.349999999627471,15481427.889999998733401
FS( 244 ),2128480.239999999757856,3432762.640000000130385,2986147.900000000372529,2045453.099999999860302,2397737.799999999813735,2492661.519999999552965,15483247.199999999254942
FS( 245 ),2134776.719999999739230,3435506.919999999925494,2994558.939999999478459,2087895.509999999776483,2398963.059999999590218,2494812.549999999813735,15546517.699999999254942
FS( 246 ),2127394.640000000130385,3411011.679999999701977,2968975.360000000335276,2102042.979999999981374,2407131.459999999962747,2511713.500000000000000,15528273.620000001043081
FS( 247 ),2156054.479999999981374,3401864.080000000074506,2949875.290000000037253,2076942.629999999655411,2397737.799999999813735,2508026.019999999552965,15490504.300000000745058
FS( 248 ),2164522.159999999683350,3487444.959999999962747,2967923.980000000447035,2067358.859999999636784,2391475.359999999403954,2511406.209999999962747,15590135.529999997466803
FS( 249 ),2163219.439999999944121,3488563.000000000000000,2927445.849999999627471,2285503.719999999739230,2428233.160000000149012,2545105.679999999701977,15838074.849999997764826
FS( 250 ),2158442.799999999813735,3464169.399999999906868,2848942.810000000521541,2280940.019999999552965,2420200.900000000372529,2534248.099999999627471,15706948.029999999329448
FS( 251 ),2143244.399999999906868,3432559.359999999869615,2869619.950000000186265,2226631.989999999757856,2348182.839999999850988,2424033.419999999925494,15444275.960000000894070
FS( 252 ),2158225.680000000167638,3601891.600000000093132,2852447.410000000149012,2196967.939999999944121,2329940.080000000074506,2425365.009999999776483,15564841.720000000670552
