代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14797106.320000000298023
真實報酬,4797106.320000000298023

夏普值報酬,0.471010632000000
夏普值風險,0.111191112017784
夏普值,4.236045700529260

二次趨勢線,9.642768417028414 x^2 + 16199.530072352445131 x + 10000000.000000000000000
二次平均預期報酬,18629.507713443585089
風險,282126.501988947682548
二次平均趨勢值,0.066032462679360
一次趨勢線,18018.390076071744261 x + 10000000.000000000000000
一次預期報酬,18018.390076071744261
一次風險,290266.440737131109927
一次趨勢值,0.062075347154546
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
FS( 130 ),12449970.580000001937151,12449970.580000001937151
FS( 131 ),12480543.100000001490116,12480543.100000001490116
FS( 132 ),12673705.840000001713634,12673705.840000001713634
FS( 133 ),12716785.300000000745058,12716785.300000000745058
FS( 134 ),12686212.780000001192093,12686212.780000001192093
FS( 135 ),12695940.400000000372529,12695940.400000000372529
FS( 136 ),12841854.699999999254942,12841854.699999999254942
FS( 137 ),12882154.840000001713634,12882154.840000001713634
FS( 138 ),12989158.660000000149012,12989158.660000000149012
FS( 139 ),12991937.980000000447035,12991937.980000000447035
FS( 140 ),13039186.419999999925494,13039186.419999999925494
FS( 141 ),13037796.759999999776483,13037796.759999999776483
FS( 142 ),12964144.780000001192093,12964144.780000001192093
FS( 143 ),12798775.240000000223517,12798775.240000000223517
FS( 144 ),12702888.699999999254942,12702888.699999999254942
FS( 145 ),12720954.280000001192093,12720954.280000001192093
FS( 146 ),12776540.679999999701977,12776540.679999999701977
FS( 147 ),12884934.160000000149012,12884934.160000000149012
FS( 148 ),12925234.300000000745058,12925234.300000000745058
FS( 149 ),12898830.759999999776483,12898830.759999999776483
FS( 150 ),13133683.300000000745058,13133683.300000000745058
FS( 151 ),12968313.759999999776483,12968313.759999999776483
FS( 152 ),12966924.100000001490116,12966924.100000001490116
FS( 153 ),13000275.939999999478459,13000275.939999999478459
FS( 154 ),12847413.340000001713634,12847413.340000001713634
FS( 155 ),12928013.620000001043081,12928013.620000001043081
