代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12897928.080000001937151
真實報酬,2897928.080000001937151

夏普值報酬,0.281092808000000
夏普值風險,0.072751907548473
夏普值,3.863717357688737

二次趨勢線,-52.436373018529288 x^2 + 29915.909007361671684 x + 10000000.000000000000000
二次平均預期報酬,23361.362380045506143
風險,107476.353815088790725
二次平均趨勢值,0.217362810988530
一次趨勢線,25019.741647197832208 x + 10000000.000000000000000
一次預期報酬,25019.741647197832208
一次風險,140857.826841361908009
一次趨勢值,0.177624078180446
找到最佳解世代,3058
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](1),V[25](2),
FS( 24 ),5375306.000000000000000,5361489.760000000707805,10736795.760000001639128
FS( 25 ),5348468.000000000000000,5322369.120000001043081,10670837.120000001043081
FS( 26 ),5400014.000000000000000,5272716.000000000000000,10672730.000000000000000
FS( 27 ),5358692.000000000000000,5280615.360000000335276,10639307.359999999403954
FS( 28 ),5342930.000000000000000,5296414.080000001005828,10639344.080000001937151
FS( 29 ),5421314.000000000000000,5341177.120000001043081,10762491.120000001043081
FS( 30 ),5454542.000000000000000,5397601.120000001043081,10852143.120000001043081
FS( 31 ),5407256.000000000000000,5385187.839999999850988,10792443.839999999850988
FS( 32 ),5484362.000000000000000,5451015.839999999850988,10935377.839999999850988
FS( 33 ),5499698.000000000000000,5433336.320000000298023,10933034.320000000298023
FS( 34 ),5526962.000000000000000,5444244.959999999962747,10971206.960000000894070
FS( 35 ),5530370.000000000000000,5416785.280000000260770,10947155.280000001192093
FS( 36 ),5581490.000000000000000,5487127.200000000186265,11068617.199999999254942
FS( 37 ),5644112.000000000000000,5494274.240000000223517,11138386.240000000223517
FS( 38 ),5677340.000000000000000,5531137.919999999925494,11208477.919999999925494
FS( 39 ),5649650.000000000000000,5537908.799999999813735,11187558.800000000745058
FS( 40 ),5662004.000000000000000,5571763.200000000186265,11233767.199999999254942
FS( 41 ),5667116.000000000000000,5622544.799999999813735,11289660.800000000745058
FS( 42 ),5629628.000000000000000,5565744.640000000596046,11195372.640000000596046
FS( 43 ),5652632.000000000000000,5565368.479999999515712,11218000.480000000447035
FS( 44 ),5614718.000000000931323,5560102.240000000223517,11174820.240000002086163
FS( 45 ),5601512.000000000000000,5523238.560000000521541,11124750.560000000521541
FS( 46 ),5581490.000000000000000,5542798.879999999888241,11124288.879999998956919
FS( 47 ),5617700.000000000000000,5667684.000000000000000,11285384.000000000000000
FS( 48 ),5653910.000000000000000,5707556.959999999962747,11361466.960000000894070
FS( 49 ),5665838.000000000000000,5735392.799999999813735,11401230.800000000745058
FS( 50 ),5668394.000000000000000,5800468.479999999515712,11468862.480000000447035
FS( 51 ),5716106.000000000000000,5847864.640000000596046,11563970.640000000596046
FS( 52 ),5748482.000000000000000,5829056.640000000596046,11577538.640000000596046
FS( 53 ),5662856.000000000000000,5815138.720000000670552,11477994.720000000670552
FS( 54 ),5594696.000000000931323,5783541.280000000260770,11378237.280000001192093
FS( 55 ),5724200.000000000000000,5860654.080000001005828,11584854.080000001937151
FS( 56 ),5746778.000000000000000,5757962.400000000372529,11504740.400000000372529
FS( 57 ),5748907.999999999068677,5756457.760000000707805,11505365.759999999776483
FS( 58 ),5750186.000000000000000,5841846.080000001005828,11592032.080000001937151
FS( 59 ),5808548.000000000000000,5801220.799999999813735,11609768.800000000745058
FS( 60 ),5831978.000000000000000,5818148.000000000000000,11650126.000000000000000
FS( 61 ),5843054.000000000000000,5875324.320000000298023,11718378.320000000298023
FS( 62 ),5879690.000000000000000,5915573.439999999478459,11795263.439999999478459
FS( 63 ),5828144.000000000000000,5935133.760000000707805,11763277.760000001639128
FS( 64 ),5819198.000000000000000,5960712.640000000596046,11779910.640000000596046
FS( 65 ),5815790.000000000000000,5929867.519999999552965,11745657.519999999552965
FS( 66 ),5810678.000000000000000,5930243.680000000633299,11740921.679999999701977
FS( 67 ),5788526.000000000000000,5934005.280000000260770,11722531.280000001192093
FS( 68 ),5759132.000000000000000,5924225.120000001043081,11683357.120000001043081
FS( 69 ),5770634.000000000000000,5964474.240000000223517,11735108.240000000223517
FS( 70 ),5805566.000000000000000,5938143.040000000968575,11743709.040000000968575
FS( 71 ),5866910.000000000000000,6005099.519999999552965,11872009.519999999552965
FS( 72 ),5827292.000000000000000,6035192.320000000298023,11862484.320000000298023
FS( 73 ),5893322.000000000000000,6027292.959999999962747,11920614.960000000894070
FS( 74 ),5788100.000000000000000,6035192.320000000298023,11823292.320000000298023
FS( 75 ),5918456.000000000000000,6024659.839999999850988,11943115.839999999850988
FS( 76 ),5819624.000000000931323,6033687.680000000633299,11853311.680000001564622
FS( 77 ),5879264.000000000000000,6081083.839999999850988,11960347.839999999850988
FS( 78 ),5929106.000000000000000,6074689.120000001043081,12003795.120000001043081
FS( 79 ),5929532.000000000000000,6057009.600000000558794,11986541.600000001490116
FS( 80 ),5974262.000000000000000,6128856.160000000149012,12103118.160000000149012
FS( 81 ),6026234.000000000000000,6174747.680000000633299,12200981.679999999701977
FS( 82 ),6123788.000000000000000,6185280.160000000149012,12309068.160000000149012
FS( 83 ),6095246.000000000931323,6123589.919999999925494,12218835.920000001788139
FS( 84 ),6079057.999999999068677,6060771.200000000186265,12139829.199999999254942
FS( 85 ),6106748.000000000000000,6095377.919999999925494,12202125.919999999925494
FS( 86 ),6110156.000000000000000,6104405.760000000707805,12214561.760000001639128
FS( 87 ),6036884.000000000000000,6026540.640000000596046,12063424.640000000596046
FS( 88 ),6029216.000000000000000,6047229.439999999478459,12076445.439999999478459
FS( 89 ),6041996.000000000931323,6011494.240000000223517,12053490.240000002086163
FS( 90 ),6132734.000000000000000,6045348.640000000596046,12178082.640000000596046
FS( 91 ),6109304.000000000000000,5918206.560000000521541,12027510.560000000521541
FS( 92 ),6207284.000000000000000,6026540.640000000596046,12233824.640000000596046
FS( 93 ),6241790.000000000000000,6123589.919999999925494,12365379.919999999925494
FS( 94 ),6279704.000000000000000,6201831.200000000186265,12481535.199999999254942
FS( 95 ),6283112.000000000000000,6172490.720000000670552,12455602.720000000670552
FS( 96 ),6312079.999999999068677,6149168.799999999813735,12461248.799999998882413
FS( 97 ),6282260.000000000000000,6163839.040000000968575,12446099.040000000968575
FS( 98 ),6303134.000000000000000,6178133.120000001043081,12481267.120000001043081
FS( 99 ),6259682.000000000000000,6075441.439999999478459,12335123.439999999478459
FS( 100 ),6302282.000000000000000,6117947.519999999552965,12420229.519999999552965
FS( 101 ),6231566.000000000000000,6158196.640000000596046,12389762.640000000596046
FS( 102 ),6180020.000000000000000,6121332.959999999962747,12301352.960000000894070
FS( 103 ),6208136.000000000000000,6122461.439999999478459,12330597.439999999478459
FS( 104 ),6201320.000000000000000,6068670.560000000521541,12269990.560000000521541
FS( 105 ),6253292.000000000000000,5965978.879999999888241,12219270.879999998956919
FS( 106 ),6285668.000000000931323,6106286.560000000521541,12391954.560000002384186
FS( 107 ),6383648.000000000000000,6221391.519999999552965,12605039.519999999552965
FS( 108 ),6347438.000000000000000,6278944.000000000000000,12626382.000000000000000
FS( 109 ),6370016.000000000000000,6396682.080000001005828,12766698.080000001937151
FS( 110 ),6361070.000000000000000,6425646.400000000372529,12786716.400000000372529
FS( 111 ),6355532.000000000000000,6406462.240000000223517,12761994.240000000223517
FS( 112 ),6378536.000000000000000,6454610.720000000670552,12833146.720000000670552
FS( 113 ),6364904.000000000000000,6370350.879999999888241,12735254.879999998956919
FS( 114 ),6394724.000000000931323,6382011.839999999850988,12776735.839999999850988
FS( 115 ),6386629.999999999068677,6378250.240000000223517,12764880.239999998360872
FS( 116 ),6404096.000000000931323,6367717.760000000707805,12771813.760000001639128
FS( 117 ),6458198.000000000000000,6420756.320000000298023,12878954.320000000298023
FS( 118 ),6483332.000000000000000,6535485.120000001043081,13018817.120000001043081
FS( 119 ),6453086.000000000000000,6524200.320000000298023,12977286.320000000298023
FS( 120 ),6476090.000000000000000,6539622.879999999888241,13015712.879999998956919
FS( 121 ),6523376.000000000000000,6442949.760000000707805,12966325.760000001639128
FS( 122 ),6334657.999999999068677,6434674.240000000223517,12769332.239999998360872
FS( 123 ),6355957.999999999068677,6441068.959999999962747,12797026.959999999031425
FS( 124 ),6369590.000000000000000,6528338.080000001005828,12897928.080000001937151
