代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11753352.480000000447035
真實報酬,1753352.480000000447035

夏普值報酬,0.166635248000000
夏普值風險,0.105899295872443
夏普值,1.573525552055734

二次趨勢線,187.347156421223787 x^2 + 442.170029739975689 x + 10000000.000000000000000
二次平均預期報酬,23860.564582392962620
風險,598936.320396666647866
二次平均趨勢值,0.039838232830145
一次趨勢線,17935.428611239807651 x + 10000000.000000000000000
一次預期報酬,17935.428611239807651
一次風險,681575.737871479708701
一次趨勢值,0.026314652377814
找到最佳解世代,1649
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
FS( 25 ),9070984.880000000819564,9070984.880000000819564
FS( 26 ),9169120.280000001192093,9169120.280000001192093
FS( 27 ),9116781.400000000372529,9116781.400000000372529
FS( 28 ),9283611.580000000074506,9283611.580000000074506
FS( 29 ),9365391.080000000074506,9365391.080000000074506
FS( 30 ),9506051.820000000298023,9506051.820000000298023
FS( 31 ),9466797.660000000149012,9466797.660000000149012
FS( 32 ),9483153.560000000521541,9483153.560000000521541
FS( 33 ),9424272.320000000298023,9424272.320000000298023
FS( 34 ),9365391.080000000074506,9365391.080000000074506
FS( 35 ),9208374.439999999478459,9208374.439999999478459
FS( 36 ),9378475.800000000745058,9378475.800000000745058
FS( 37 ),9440628.220000000670552,9440628.220000000670552
FS( 38 ),9561661.880000000819564,9561661.880000000819564
FS( 39 ),9767746.220000000670552,9767746.220000000670552
FS( 40 ),9761203.859999999403954,9761203.859999999403954
FS( 41 ),9780830.939999999478459,9780830.939999999478459
FS( 42 ),9846254.540000000968575,9846254.540000000968575
FS( 43 ),10232253.780000001192093,10232253.780000001192093
FS( 44 ),10238796.140000000596046,10238796.140000000596046
FS( 45 ),10421982.220000000670552,10421982.220000000670552
FS( 46 ),10507032.899999998509884,10507032.899999998509884
FS( 47 ),10536473.520000001415610,10536473.520000001415610
FS( 48 ),10588812.399999998509884,10588812.399999998509884
FS( 49 ),10461236.380000000819564,10461236.380000000819564
FS( 50 ),10487405.820000000298023,10487405.820000000298023
FS( 51 ),10474321.100000001490116,10474321.100000001490116
FS( 52 ),10497219.360000001266599,10497219.360000001266599
FS( 53 ),10385999.240000000223517,10385999.240000000223517
FS( 54 ),10503761.720000000670552,10503761.720000000670552
FS( 55 ),10670591.899999998509884,10670591.899999998509884
FS( 56 ),10719659.600000001490116,10719659.600000001490116
FS( 57 ),10592083.580000001937151,10592083.580000001937151
FS( 58 ),10791625.560000000521541,10791625.560000000521541
FS( 59 ),10860320.340000001713634,10860320.340000001713634
FS( 60 ),11020608.160000000149012,11020608.160000000149012
FS( 61 ),10981354.000000000000000,10981354.000000000000000
FS( 62 ),11027150.520000001415610,11027150.520000001415610
FS( 63 ),11144913.000000000000000,11144913.000000000000000
FS( 64 ),11193980.699999999254942,11193980.699999999254942
FS( 65 ),11243048.399999998509884,11243048.399999998509884
FS( 66 ),11213607.780000001192093,11213607.780000001192093
FS( 67 ),11298658.459999999031425,11298658.459999999031425
FS( 68 ),11321556.720000000670552,11321556.720000000670552
FS( 69 ),11328099.080000001937151,11328099.080000001937151
FS( 70 ),11481844.540000000968575,11481844.540000000968575
FS( 71 ),11632318.820000000298023,11632318.820000000298023
FS( 72 ),11560352.860000001266599,11560352.860000001266599
FS( 73 ),11547268.139999998733401,11547268.139999998733401
FS( 74 ),11429505.660000000149012,11429505.660000000149012
FS( 75 ),12113182.280000001192093,12113182.280000001192093
FS( 76 ),12453385.000000000000000,12453385.000000000000000
FS( 77 ),12656198.160000000149012,12656198.160000000149012
FS( 78 ),12594045.740000000223517,12594045.740000000223517
FS( 79 ),12244029.480000000447035,12244029.480000000447035
FS( 80 ),12224402.399999998509884,12224402.399999998509884
FS( 81 ),12554791.580000001937151,12554791.580000001937151
FS( 82 ),12201504.139999998733401,12201504.139999998733401
FS( 83 ),12446842.639999998733401,12446842.639999998733401
FS( 84 ),12087012.840000001713634,12087012.840000001713634
FS( 85 ),11962708.000000000000000,11962708.000000000000000
FS( 86 ),11508013.980000000447035,11508013.980000000447035
FS( 87 ),11020608.160000000149012,11020608.160000000149012
FS( 88 ),11867843.780000001192093,11867843.780000001192093
FS( 89 ),11988877.439999999478459,11988877.439999999478459
FS( 90 ),12247300.660000000149012,12247300.660000000149012
FS( 91 ),12073928.119999999180436,12073928.119999999180436
FS( 92 ),11861301.419999999925494,11861301.419999999925494
FS( 93 ),11880928.500000000000000,11880928.500000000000000
FS( 94 ),11792606.639999998733401,11792606.639999998733401
FS( 95 ),11606149.379999998956919,11606149.379999998956919
FS( 96 ),11112201.199999999254942,11112201.199999999254942
FS( 97 ),11324827.899999998509884,11324827.899999998509884
FS( 98 ),11530912.240000000223517,11530912.240000000223517
FS( 99 ),11458946.280000001192093,11458946.280000001192093
FS( 100 ),11406607.399999998509884,11406607.399999998509884
FS( 101 ),11838403.160000000149012,11838403.160000000149012
FS( 102 ),12005233.340000001713634,12005233.340000001713634
FS( 103 ),12188419.419999999925494,12188419.419999999925494
FS( 104 ),12335622.520000001415610,12335622.520000001415610
FS( 105 ),12296368.360000001266599,12296368.360000001266599
FS( 106 ),11962708.000000000000000,11962708.000000000000000
FS( 107 ),11727183.040000000968575,11727183.040000000968575
FS( 108 ),11651945.899999998509884,11651945.899999998509884
FS( 109 ),11364082.060000000521541,11364082.060000000521541
FS( 110 ),11707555.959999999031425,11707555.959999999031425
FS( 111 ),11848216.699999999254942,11848216.699999999254942
FS( 112 ),11884199.679999999701977,11884199.679999999701977
FS( 113 ),12136080.540000000968575,12136080.540000000968575
FS( 114 ),12489367.980000000447035,12489367.980000000447035
FS( 115 ),12705265.860000001266599,12705265.860000001266599
FS( 116 ),12806672.439999999478459,12806672.439999999478459
FS( 117 ),12626757.540000000968575,12626757.540000000968575
FS( 118 ),12796858.899999998509884,12796858.899999998509884
FS( 119 ),12662740.520000001415610,12662740.520000001415610
FS( 120 ),12571147.480000000447035,12571147.480000000447035
FS( 121 ),12463198.540000000968575,12463198.540000000968575
FS( 122 ),12538435.679999999701977,12538435.679999999701977
FS( 123 ),11972521.540000000968575,11972521.540000000968575
FS( 124 ),11753352.480000000447035,11753352.480000000447035
