代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11993102.660000000149012
真實報酬,1993102.660000000149012

夏普值報酬,0.190610266000000
夏普值風險,0.059475226095121
夏普值,3.204868287430322

二次趨勢線,-40.267394797706217 x^2 + 22021.229058700904716 x + 10000000.000000000000000
二次平均預期報酬,16867.002524594507122
風險,125856.651368178238044
二次平均趨勢值,0.134017569522426
一次趨勢線,18170.718647927285929 x + 10000000.000000000000000
一次預期報酬,18170.718647927285929
一次風險,145658.874551302113105
一次趨勢值,0.124748448756738
找到最佳解世代,1749
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](2),PG[21](14),TRV[22](13),
FS( 54 ),2974927.600000000093132,2880912.400000000372529,2476351.079999999608845,2820827.919999999925494,11153019.000000000000000
FS( 55 ),2978158.400000000372529,2878988.600000000558794,2482885.649999999906868,2826160.240000000223517,11166192.890000000596046
FS( 56 ),2967819.839999999850988,2894379.000000000465661,2496888.299999999348074,2832085.040000000037253,11191172.179999999701977
FS( 57 ),2937127.239999999757856,2904959.900000000372529,2487242.029999999795109,2802164.800000000279397,11131493.970000000670552
FS( 58 ),2934542.600000000093132,2907845.600000000558794,2474484.059999999590218,2812829.440000000409782,11129701.700000001117587
FS( 59 ),2916773.200000000186265,2933816.900000000372529,2458614.390000000130385,2804534.720000000204891,11113739.210000000894070
FS( 60 ),2919357.839999999850988,2970369.100000000093132,2468260.659999999683350,2810163.280000000260770,11168150.879999998956919
FS( 61 ),2936804.160000000149012,2960750.100000000558794,2446478.759999999776483,2796832.479999999981374,11140865.500000000000000
FS( 62 ),2971696.800000000279397,2975178.600000000558794,2458925.559999999590218,2782316.720000000204891,11188117.680000001564622
FS( 63 ),3002389.400000000372529,2972292.900000000372529,2445545.250000000000000,2786760.319999999832362,11206987.870000001043081
FS( 64 ),3021451.119999999646097,2979988.100000000558794,2467015.979999999981374,2820531.680000000167638,11288986.880000000819564
FS( 65 ),3020158.800000000279397,2979988.100000000558794,2475728.739999999757856,2803053.520000000484288,11278929.160000000149012
FS( 66 ),3037928.200000000186265,2995378.500000000465661,2488797.879999999888241,2809570.800000000279397,11331675.380000002682209
FS( 67 ),3100605.719999999739230,2984797.600000000558794,2495332.449999999720603,2800979.839999999850988,11381715.609999999403954
FS( 68 ),3080574.759999999776483,2961712.000000000465661,2506845.739999999757856,2788834.000000000000000,11337966.500000000000000
FS( 69 ),3081867.080000000074506,2971331.000000000465661,2541385.609999999869615,2805423.440000000409782,11400007.129999998956919
FS( 70 ),3070559.280000000260770,3006921.300000000745058,2539518.589999999850988,2793573.839999999850988,11410573.010000001639128
FS( 71 ),3076374.719999999739230,3005959.400000000372529,2525515.939999999478459,2804830.960000000428408,11412681.019999999552965
FS( 72 ),3116113.560000000055879,3029045.000000000000000,2530494.659999999683350,2830900.080000000074506,11506553.300000000745058
FS( 73 ),3079605.519999999552965,3050206.800000000279397,2528627.640000000130385,2842453.440000000409782,11500893.400000002235174
FS( 74 ),3062159.200000000186265,3333005.400000000372529,2518670.199999999720603,2832677.520000000484288,11746512.320000000298023
FS( 75 ),3007558.680000000167638,3241624.900000000838190,2501867.020000000018626,2805423.440000000409782,11556474.040000002831221
FS( 76 ),3050851.400000000372529,3241624.900000000838190,2506534.569999999832362,2824382.800000000279397,11623393.670000001788139
FS( 77 ),3035020.479999999981374,3276253.300000000745058,2498132.979999999981374,2822012.880000000353903,11631419.640000002458692
FS( 78 ),3060220.719999999739230,3346472.000000000465661,2492531.919999999459833,2714477.759999999776483,11613702.400000000372529
FS( 79 ),3140021.479999999981374,3318576.900000000372529,2489109.049999999348074,2718921.360000000335276,11666628.789999999105930
FS( 80 ),3134852.200000000186265,3294529.400000000372529,2497510.640000000130385,2751507.759999999776483,11678400.000000000000000
FS( 81 ),3155529.319999999832362,3294529.400000000372529,2475728.739999999757856,2728401.040000000037253,11654188.500000000000000
FS( 82 ),3199145.119999999646097,3292605.600000000093132,2466393.640000000130385,2721883.759999999776483,11680028.119999999180436
FS( 83 ),3178468.000000000000000,3288758.000000000000000,2447412.270000000018626,2699369.520000000484288,11614007.789999999105930
FS( 84 ),3171037.160000000149012,3304148.400000000372529,2432164.939999999478459,2694037.200000000186265,11601387.699999999254942
FS( 85 ),3088651.759999999776483,3259901.000000000465661,2406026.659999999683350,2653156.080000000074506,11407735.500000000000000
FS( 86 ),3105775.000000000000000,3245472.500000000465661,2478529.270000000018626,2654637.280000000260770,11484414.050000000745058
FS( 87 ),3088328.680000000167638,3275291.399999999906868,2465148.959999999497086,2663228.240000000223517,11491997.279999999329448
FS( 88 ),3073143.919999999925494,3156977.700000000186265,2471061.189999999478459,2640121.520000000484288,11341304.329999998211861
FS( 89 ),3067974.639999999664724,3159863.400000000372529,2523337.750000000000000,2657303.440000000409782,11408479.230000000447035
FS( 90 ),3052466.800000000279397,3143511.100000000558794,2493776.599999999627471,2663228.240000000223517,11352982.740000000223517
FS( 91 ),3060866.879999999888241,3135815.900000000372529,2518981.369999999646097,2680410.160000000149012,11396074.310000000521541
FS( 92 ),3101251.879999999888241,3176215.700000000651926,2535473.379999999888241,2685742.479999999981374,11498683.440000001341105
FS( 93 ),3100605.719999999739230,3186796.600000000558794,2533606.359999999869615,2698480.800000000279397,11519489.480000000447035
FS( 94 ),3141636.879999999888241,3280100.900000000372529,2535473.379999999888241,2703813.120000000111759,11661024.280000001192093
FS( 95 ),3150036.959999999962747,3264710.500000000000000,2550098.369999999646097,2731955.919999999925494,11696801.750000000000000
FS( 96 ),3165544.800000000279397,3286834.200000000651926,2544808.479999999981374,2729289.759999999776483,11726477.240000000223517
FS( 97 ),3203668.239999999757856,3309919.799999999813735,2565345.699999999720603,2754766.399999999906868,11833700.139999998733401
FS( 98 ),3247930.200000000186265,3303186.500000000931323,2573124.949999999720603,2752396.479999999981374,11876638.130000000819564
FS( 99 ),3249222.519999999552965,3318576.900000000372529,2576858.989999999757856,2758321.280000000260770,11902979.690000001341105
FS( 100 ),3249545.600000000093132,3381100.400000000372529,2591483.979999999981374,2782909.200000000186265,12005039.179999999701977
FS( 101 ),3273453.519999999552965,3360900.500000000000000,2594906.849999999627471,2777280.640000000130385,12006541.509999999776483
FS( 102 ),3280561.280000000260770,3348395.800000000745058,2599574.399999999906868,2793277.600000000093132,12021809.080000000074506
FS( 103 ),3259561.080000000074506,3347433.899999999906868,2594595.679999999701977,2790611.440000000409782,11992202.100000001490116
FS( 104 ),3299623.000000000000000,3346472.000000000465661,2592417.489999999757856,2807200.880000000353903,12045713.370000001043081
FS( 105 ),3303499.959999999962747,3333005.400000000372529,2583704.729999999981374,2794758.800000000279397,12014968.890000000596046
FS( 106 ),3311576.959999999962747,3358976.700000000651926,2586194.089999999850988,2805719.680000000167638,12062467.429999999701977
FS( 107 ),3337423.359999999869615,3325310.200000000186265,2582148.879999999888241,2800091.120000000111759,12044973.560000002384186
FS( 108 ),3196560.479999999981374,3325310.200000000186265,2579659.520000000018626,2798609.919999999925494,11900140.119999999180436
FS( 109 ),3170067.919999999925494,3358014.799999999813735,2604553.119999999646097,2792388.880000000353903,11925024.720000000670552
FS( 110 ),3197529.719999999739230,3366671.900000000372529,2606731.309999999590218,2790907.680000000167638,11961840.609999999403954
FS( 111 ),3177821.839999999850988,3398414.600000000093132,2592728.659999999683350,2763061.120000000111759,11932026.219999998807907
FS( 112 ),3165867.879999999888241,3358014.799999999813735,2582460.049999999348074,2750619.040000000037253,11856961.769999999552965
FS( 113 ),3263114.959999999962747,3368595.700000000651926,2602686.099999999627471,2760098.720000000204891,11994495.480000000447035
FS( 114 ),3277007.400000000372529,3368595.700000000651926,2598018.549999999348074,2752692.720000000204891,11996314.370000001043081
FS( 115 ),3284438.239999999757856,3330119.700000000186265,2590861.640000000130385,2737880.720000000204891,11943300.300000000745058
FS( 116 ),3283469.000000000000000,3322424.500000000465661,2609843.009999999776483,2771355.839999999850988,11987092.349999999627471
FS( 117 ),3258591.839999999850988,3359938.600000000558794,2616377.579999999608845,2774022.000000000000000,12008930.019999999552965
FS( 118 ),3281853.600000000093132,3364748.100000000093132,2618866.939999999478459,2774318.240000000223517,12039786.880000000819564
FS( 119 ),3288638.280000000260770,3383024.200000000651926,2619800.449999999720603,2807793.360000000335276,12099256.289999999105930
FS( 120 ),3261822.639999999664724,3349357.700000000186265,2628513.209999999497086,2802757.280000000260770,12042450.829999998211861
FS( 121 ),3265053.439999999944121,3338776.800000000279397,2639092.989999999757856,2802461.040000000037253,12045384.269999999552965
FS( 122 ),3316100.080000000074506,3310881.700000000651926,2627579.699999999720603,2771355.839999999850988,12025917.320000000298023
FS( 123 ),3287345.959999999962747,3342624.400000000372529,2652473.299999999348074,2808089.600000000093132,12090533.259999999776483
FS( 124 ),3161990.919999999925494,3283948.500000000465661,2624156.829999999608845,2775799.440000000409782,11845895.690000001341105
FS( 125 ),3255037.959999999962747,3295491.300000000279397,2631936.079999999608845,2796536.240000000223517,11979001.580000000074506
FS( 126 ),3234360.839999999850988,3357052.900000000372529,2627579.699999999720603,2777873.120000000111759,11996866.559999998658895
FS( 127 ),3255037.959999999962747,3349357.700000000186265,2605797.799999999348074,2782909.200000000186265,11993102.660000000149012
