代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12421755.410000000149012
真實報酬,2421755.410000000149012

夏普值報酬,0.233475541000000
夏普值風險,0.064696295005948
夏普值,3.608793068884913

二次趨勢線,-23.956720760306442 x^2 + 22824.697952486854774 x + 10000000.000000000000000
二次平均預期報酬,19782.194415927933733
風險,95403.500202478331630
二次平均趨勢值,0.207352920741309
一次趨勢線,20551.839579326300736 x + 10000000.000000000000000
一次預期報酬,20551.839579326300736
一次風險,104622.906574966109474
一次趨勢值,0.196437283689879
找到最佳解世代,1903
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,6
BA[2](3),CAT[3](4),MCD[15](5),MMM[16](13),UNH[23](1),V[25](2),
FS( 19 ),1743836.120000000111759,1847105.380000000121072,1799370.879999999888241,1711317.179999999934807,1760169.849999999860302,1701356.859999999869615,10563160.269999999552965
FS( 20 ),1720817.159999999683350,1842409.260000000009313,1815058.859999999869615,1702404.419999999925494,1757251.000000000000000,1702102.899999999906868,10540047.599999999627471
FS( 21 ),1730722.859999999869615,1833558.880000000121072,1816087.579999999608845,1717433.779999999795109,1752721.749999999767169,1725976.179999999934807,10576505.029999999329448
FS( 22 ),1730251.159999999683350,1834100.740000000223517,1833961.589999999850988,1727045.579999999841675,1736617.749999999767169,1724111.079999999841675,10586091.900000000372529
FS( 23 ),1727232.279999999795109,1795267.439999999944121,1844634.559999999590218,1743473.019999999785796,1751513.949999999953434,1727468.260000000009313,10589593.509999997913837
FS( 24 ),1745534.239999999757856,1799782.939999999944121,1851192.649999999906868,1742511.839999999850988,1752520.449999999953434,1717583.229999999981374,10609129.349999999627471
FS( 25 ),1755062.580000000074506,1794906.200000000186265,1854793.169999999925494,1735958.339999999850988,1755741.250000000000000,1714412.559999999823049,10610878.099999999627471
FS( 26 ),1763458.839999999850988,1793461.240000000223517,1856336.250000000000000,1729929.119999999878928,1743663.250000000000000,1715904.639999999897555,10602757.339999999850988
FS( 27 ),1728270.020000000018626,1812787.580000000074506,1858393.689999999944121,1718394.959999999729916,1745172.999999999767169,1720567.389999999897555,10583590.640000000596046
FS( 28 ),1735439.859999999869615,1824166.639999999897555,1854407.399999999906868,1719356.139999999897555,1744468.449999999953434,1717769.739999999757856,10595612.230000000447035
FS( 29 ),1728930.399999999906868,1819109.279999999795109,1869195.250000000000000,1717783.299999999813735,1729270.299999999813735,1729519.869999999878928,10593812.399999998509884
FS( 30 ),1720817.159999999683350,1849995.300000000046566,1881025.529999999795109,1727045.579999999841675,1726452.099999999860302,1738845.369999999878928,10644185.039999999105930
FS( 31 ),1723741.699999999720603,1848550.340000000083819,1894013.119999999646097,1729492.219999999972060,1692130.449999999953434,1737353.290000000037253,10625285.120000001043081
FS( 32 ),1686760.419999999925494,1808813.939999999944121,1882697.199999999720603,1702666.559999999823049,1699578.550000000046566,1711428.399999999906868,10491949.070000000298023
FS( 33 ),1673741.500000000000000,1810258.899999999906868,1890412.599999999627471,1706161.760000000009313,1725646.899999999906868,1710495.849999999860302,10516721.509999999776483
FS( 34 ),1705439.739999999757856,1850175.920000000158325,1905071.859999999869615,1711055.040000000037253,1737121.000000000000000,1724857.119999999878928,10633724.679999997839332
FS( 35 ),1732892.679999999701977,1847647.240000000223517,1905586.219999999739230,1734735.019999999785796,1758358.149999999906868,1740337.449999999953434,10719560.759999997913837
FS( 36 ),1731194.560000000055879,1871850.319999999832362,1900828.389999999664724,1727919.379999999888241,1763591.949999999953434,1750595.500000000000000,10745984.099999999627471
FS( 37 ),1747798.399999999906868,1877630.160000000149012,1922431.509999999776483,1725822.260000000009313,1767316.000000000000000,1768313.949999999953434,10809316.279999999329448
FS( 38 ),1764968.279999999795109,1896956.500000000000000,1926032.029999999795109,1743735.159999999916181,1792075.899999999906868,1772603.679999999934807,10896375.549999998882413
FS( 39 ),1760439.959999999962747,1908516.179999999934807,1927060.750000000000000,1753609.099999999860302,1786540.149999999906868,1765702.809999999823049,10901872.949999999254942
FS( 40 ),1763175.819999999832362,1905084.399999999906868,1927960.879999999888241,1769075.359999999869615,1777381.000000000000000,1766635.359999999869615,10909316.819999998435378
FS( 41 ),1770251.319999999832362,1904361.920000000158325,1940305.519999999552965,1786813.500000000000000,1763189.349999999860302,1776147.369999999878928,10941072.979999998584390
FS( 42 ),1767326.779999999795109,1908335.560000000055879,1959594.019999999552965,1785764.939999999944121,1807475.350000000093132,1779318.040000000037253,11007818.689999997615814
FS( 43 ),1794779.719999999739230,1913754.160000000149012,1976953.669999999925494,1806299.239999999757856,1805562.999999999767169,1793306.290000000037253,11090660.079999998211861
FS( 44 ),1782704.199999999720603,1900207.660000000149012,1964737.619999999646097,1802105.000000000000000,1805361.699999999953434,1800766.689999999944121,11055886.869999999180436
FS( 45 ),1761949.399999999906868,1888467.359999999869615,1944677.579999999608845,1795027.219999999972060,1819955.949999999953434,1786591.929999999934807,10996673.439999999478459
FS( 46 ),1774685.299999999813735,1869682.880000000121072,1953807.469999999739230,1791532.019999999785796,1844011.300000000046566,1792187.229999999981374,11025910.199999999254942
FS( 47 ),1791949.520000000018626,1896775.880000000121072,1947249.379999999888241,1799658.359999999869615,1828712.500000000000000,1792187.229999999981374,11056536.870000001043081
FS( 48 ),1792892.919999999925494,1913212.300000000046566,1947892.329999999608845,1808308.979999999981374,1826397.550000000046566,1763651.199999999953434,11052359.279999999329448
FS( 49 ),1792609.899999999906868,1915921.599999999860302,1909186.739999999757856,1812328.459999999729916,1804153.899999999906868,1743881.139999999897555,10978085.740000000223517
FS( 50 ),1802892.959999999962747,1910141.760000000009313,1926546.389999999664724,1827357.820000000065193,1822270.899999999906868,1773349.719999999972060,11062563.550000000745058
FS( 51 ),1815062.819999999832362,1891357.279999999795109,1937605.129999999888241,1835222.019999999785796,1835456.050000000046566,1777825.959999999729916,11092533.259999997913837
FS( 52 ),1844025.199999999720603,1921882.060000000055879,1943906.039999999571592,1846406.659999999916181,1815527.349999999860302,1756377.309999999823049,11128128.619999999180436
FS( 53 ),1853364.859999999869615,1943556.459999999962747,1954450.419999999925494,1863445.760000000009313,1828108.599999999860302,1756377.309999999823049,11199307.410000000149012
FS( 54 ),1878270.620000000111759,1941569.639999999897555,1969238.269999999552965,1864494.320000000065193,1842098.949999999953434,1767940.929999999934807,11263616.729999998584390
FS( 55 ),1871195.120000000111759,1933441.740000000223517,1981197.139999999664724,1864494.320000000065193,1844615.199999999953434,1760294.019999999785796,11255241.539999999105930
FS( 56 ),1879119.679999999701977,1868960.399999999906868,1976825.079999999608845,1860125.320000000065193,1861222.449999999720603,1763278.179999999934807,11209535.109999999403954
FS( 57 ),1881666.859999999869615,1875643.340000000083819,1990584.209999999962747,1854533.000000000000000,1877125.149999999906868,1752274.089999999850988,11231830.650000000372529
FS( 58 ),1907987.719999999739230,1880520.080000000074506,1988526.769999999552965,1860474.839999999850988,1864543.899999999906868,1782675.219999999972060,11284732.529999999329448
FS( 59 ),1886761.219999999739230,1883048.760000000009313,1979782.649999999906868,1857940.820000000065193,1863235.449999999953434,1775960.859999999869615,11246733.759999997913837
FS( 60 ),1876478.159999999683350,1877268.920000000158325,1976696.489999999757856,1833212.279999999795109,1858001.649999999906868,1769992.540000000037253,11191654.039999999105930
FS( 61 ),1883364.979999999981374,1922785.160000000149012,1984154.709999999962747,1840552.199999999953434,1869073.149999999906868,1794798.369999999878928,11294732.569999998435378
FS( 62 ),1862987.540000000037253,1908154.939999999944121,1969109.679999999701977,1816347.939999999944121,1864745.199999999953434,1761040.059999999823049,11182389.359999999403954
FS( 63 ),1865723.399999999906868,1941027.779999999795109,1969495.449999999720603,1819318.859999999869615,1866254.949999999720603,1749103.419999999925494,11210927.859999997541308
FS( 64 ),1873647.959999999962747,1932177.399999999906868,1961008.509999999776483,1833649.179999999934807,1878634.899999999906868,1741083.489999999757856,11220205.439999999478459
FS( 65 ),1904025.439999999944121,1941569.639999999897555,1968338.139999999664724,1833037.519999999785796,1894738.899999999906868,1753393.149999999906868,11295106.789999999105930
FS( 66 ),1900912.219999999739230,1923868.880000000121072,1968595.319999999832362,1817833.399999999906868,1881553.750000000000000,1739218.389999999897555,11231985.960000000894070
FS( 67 ),1909308.479999999981374,1931274.300000000046566,2009486.939999999944121,1831552.059999999823049,1891820.050000000046566,1751714.559999999823049,11325160.390000000596046
FS( 68 ),1924308.540000000037253,1947891.340000000083819,1999842.689999999944121,1839416.260000000009313,1881654.399999999906868,1773536.229999999981374,11366653.460000000894070
FS( 69 ),1946101.080000000074506,1955116.139999999897555,1991998.699999999720603,1832163.719999999972060,1871589.399999999906868,1779504.549999999813735,11376477.589999999850988
FS( 70 ),1947704.859999999869615,1968120.779999999795109,2013473.229999999981374,1846494.040000000037253,1879037.500000000000000,1793865.820000000065193,11448700.230000000447035
FS( 71 ),1945723.719999999739230,1959270.399999999906868,1993670.369999999646097,1844659.059999999823049,1866858.849999999860302,1789389.579999999841675,11399575.979999998584390
FS( 72 ),1967233.239999999757856,1964689.000000000000000,1996756.529999999795109,1850600.899999999906868,1881151.149999999906868,1807854.070000000065193,11468288.890000000596046
FS( 73 ),1971855.899999999906868,1965953.340000000083819,1996499.349999999627471,1849814.479999999981374,1875615.399999999906868,1805988.969999999972060,11465731.440000001341105
FS( 74 ),1964686.060000000055879,1933983.599999999860302,1979782.649999999906868,1846581.419999999925494,1880647.899999999906868,1819977.219999999972060,11425662.850000001490116
FS( 75 ),1989591.819999999832362,1948071.959999999962747,1978882.519999999552965,1853484.439999999944121,1904200.000000000000000,1832473.389999999897555,11506708.129999998956919
FS( 76 ),1983931.419999999925494,1938499.099999999860302,1982997.399999999906868,1856542.739999999757856,1927450.149999999906868,1829862.250000000000000,11519287.060000000521541
FS( 77 ),2001478.659999999683350,1925313.840000000083819,1979268.289999999571592,1845270.719999999972060,1930268.349999999860302,1857652.239999999757856,11539256.099999999627471
FS( 78 ),2001856.020000000018626,1954032.420000000158325,1952650.159999999683350,1835134.639999999897555,1921310.499999999767169,1872013.510000000009313,11537001.249999998137355
FS( 79 ),2004497.540000000037253,2068906.740000000223517,2045492.139999999664724,1742424.459999999729916,1916378.649999999906868,1864926.129999999888241,11642629.660000000149012
FS( 80 ),2202517.199999999720603,2050483.500000000000000,2012573.099999999627471,1739278.779999999795109,1919901.399999999906868,1880965.989999999757856,11805723.969999998807907
FS( 81 ),2273743.899999999906868,2065836.200000000186265,2018231.059999999590218,1748191.540000000037253,1901583.099999999860302,1857092.709999999729916,11864682.509999997913837
FS( 82 ),2276291.080000000074506,2060959.459999999962747,2004086.159999999683350,1745308.000000000000000,1923927.399999999906868,1849259.290000000037253,11859835.390000000596046
FS( 83 ),2287517.540000000037253,2058250.160000000149012,1994956.269999999552965,1757978.099999999860302,1930570.299999999813735,1856906.199999999953434,11886182.569999998435378
FS( 84 ),2259026.859999999869615,2042897.459999999962747,1980811.369999999646097,1775541.479999999981374,1934797.599999999860302,1881339.010000000009313,11874417.779999999329448
FS( 85 ),2244970.199999999720603,2042716.840000000083819,2013601.819999999832362,1795027.219999999972060,1942547.649999999906868,1888985.919999999925494,11927853.649999998509884
FS( 86 ),2247800.399999999906868,2051205.979999999981374,1989555.489999999757856,1814338.199999999953434,1960362.699999999953434,1876116.729999999981374,11939383.500000000000000
FS( 87 ),2242706.040000000037253,2065474.959999999962747,1977982.389999999664724,1814600.339999999850988,1961469.849999999860302,1881712.029999999795109,11943949.609999999403954
FS( 88 ),2266479.719999999739230,2071977.279999999795109,1992770.239999999757856,1812765.359999999869615,1960463.349999999860302,1892902.629999999888241,11997362.579999998211861
FS( 89 ),2259592.899999999906868,2066558.679999999934807,1992127.289999999571592,1803939.979999999981374,1961671.149999999906868,1888985.919999999925494,11972879.919999999925494
FS( 90 ),2210630.439999999944121,2065294.340000000083819,1992127.289999999571592,1804376.879999999888241,1960966.600000000093132,1883204.109999999869615,11916603.660000000149012
FS( 91 ),2197139.819999999832362,2043800.560000000055879,2013987.589999999850988,1802192.379999999888241,1938219.699999999953434,1855600.629999999888241,11850944.679999999701977
FS( 92 ),2216007.819999999832362,2038381.959999999962747,2022731.709999999962747,1800007.879999999888241,1942748.949999999953434,1866791.229999999981374,11886673.549999998882413
FS( 93 ),2237423.000000000000000,2053915.279999999795109,2022217.349999999627471,1812153.699999999953434,1949693.800000000046566,1899990.010000000009313,11975397.139999998733401
FS( 94 ),2256479.679999999701977,2052831.560000000055879,2026846.589999999850988,1810493.479999999981374,1957645.149999999906868,1914164.769999999785796,12018465.230000000447035
FS( 95 ),2241573.959999999962747,2061320.700000000186265,2043306.109999999869615,1816959.599999999860302,1950297.699999999953434,1927033.959999999729916,12040496.029999997466803
FS( 96 ),2222705.959999999962747,2043619.939999999944121,2030318.519999999552965,1794502.939999999944121,1939528.149999999906868,1905398.799999999813735,11936078.309999998658895
FS( 97 ),2224404.080000000074506,2057708.300000000046566,2028646.849999999627471,1778599.779999999795109,1920605.949999999953434,1911926.649999999906868,11921895.609999999403954
FS( 98 ),2223555.020000000018626,2051928.459999999962747,2036362.250000000000000,1787512.540000000037253,1932784.599999999860302,1925168.859999999869615,11957315.730000000447035
FS( 99 ),2261951.399999999906868,2092026.099999999860302,2052821.769999999552965,1795464.119999999878928,1960563.999999999767169,1941022.209999999729916,12103853.599999997764826
FS( 100 ),2246290.959999999962747,2072699.760000000009313,2042148.799999999813735,1771085.099999999860302,1955028.250000000000000,1924422.820000000065193,12011679.689999999478459
FS( 101 ),2252423.060000000055879,2073241.620000000111759,2037005.199999999720603,1766279.199999999953434,1960161.399999999906868,1925168.859999999869615,12014283.339999997988343
FS( 102 ),2225536.159999999683350,2083536.959999999962747,2042277.389999999664724,1766366.579999999841675,1956236.050000000046566,1927593.489999999757856,12001550.629999998956919
FS( 103 ),2237706.020000000018626,2078479.599999999860302,2053207.539999999571592,1769250.119999999878928,1963583.500000000000000,1935613.419999999925494,12037844.200000001117587
FS( 104 ),2268932.560000000055879,2095457.880000000121072,2049478.429999999701977,1773269.599999999860302,1980090.099999999860302,1935426.909999999916181,12102659.480000000447035
FS( 105 ),2268649.540000000037253,2123273.360000000335276,2051407.279999999795109,1779997.859999999869615,1971534.849999999860302,1934680.869999999878928,12129547.759999997913837
FS( 106 ),2261102.339999999850988,2122189.639999999664724,2057065.239999999757856,1785502.799999999813735,2001931.149999999906868,1930764.159999999916181,12158559.329999998211861
FS( 107 ),2267423.120000000111759,2136458.620000000111759,2055007.799999999813735,1778861.919999999925494,2010486.399999999906868,1937851.540000000037253,12186093.399999998509884
FS( 108 ),2236007.899999999906868,2136819.860000000335276,2045877.909999999683350,1756317.879999999888241,2006057.799999999813735,1921252.149999999906868,12102337.500000000000000
FS( 109 ),2213554.979999999981374,2112978.020000000484288,2034561.989999999757856,1765667.540000000037253,1996697.349999999860302,1924422.820000000065193,12047886.700000001117587
FS( 110 ),2229498.439999999944121,2127247.000000000000000,2056165.109999999869615,1786726.119999999878928,1994583.699999999720603,1950161.199999999953434,12144385.569999998435378
FS( 111 ),2252800.419999999925494,2128150.099999999627471,2053721.899999999906868,1797473.859999999869615,1990356.399999999906868,1947736.570000000065193,12170243.250000000000000
FS( 112 ),2269875.959999999962747,2147115.200000000186265,2077125.279999999795109,1831289.919999999925494,2008775.350000000093132,1979816.290000000037253,12314002.000000000000000
FS( 113 ),2269781.620000000111759,2184503.540000000037253,2010258.479999999981374,1831988.959999999729916,1987538.199999999953434,1980935.349999999860302,12265010.150000000372529
FS( 114 ),2282517.520000000018626,2160842.320000000298023,2018874.009999999776483,1830678.260000000009313,1996194.100000000093132,1973847.969999999972060,12262958.179999999701977
FS( 115 ),2313649.719999999739230,2176195.020000000484288,2018874.009999999776483,1847629.979999999981374,1990155.099999999860302,1978510.719999999972060,12325018.550000000745058
FS( 116 ),2349215.899999999906868,2192270.200000000186265,2017845.289999999571592,1864406.939999999944121,1994684.349999999860302,1963962.939999999944121,12382389.619999997317791
FS( 117 ),2387706.620000000111759,2236702.719999999739230,2014759.129999999888241,1867989.519999999785796,1994785.000000000000000,1955196.969999999972060,12457143.960000000894070
FS( 118 ),2381857.540000000037253,2253139.139999999664724,2024403.379999999888241,1866241.919999999925494,1959154.899999999906868,1966014.549999999813735,12450815.429999999701977
FS( 119 ),2410159.540000000037253,2255125.959999999962747,2055907.929999999701977,1839591.019999999785796,1970226.399999999906868,1966014.549999999813735,12497029.399999998509884
FS( 120 ),2415631.260000000242144,2254042.240000000223517,2044977.779999999795109,1838979.359999999869615,1964791.300000000046566,1964149.449999999953434,12482575.389999998733401
FS( 121 ),2419499.199999999720603,2247539.919999999925494,2043434.699999999720603,1841775.519999999785796,1942849.599999999860302,1968812.199999999953434,12463915.139999996870756
FS( 122 ),2399404.779999999795109,2245553.099999999627471,2009358.349999999627471,1841513.379999999888241,1929966.399999999906868,1921438.659999999916181,12347238.669999999925494
FS( 123 ),2393555.699999999720603,2248984.879999999888241,1971938.659999999683350,1844134.779999999795109,1939528.149999999906868,1919946.579999999841675,12318092.750000000000000
FS( 124 ),2408461.419999999925494,2249165.500000000000000,1980939.959999999962747,1830590.879999999888241,1957544.500000000000000,1937665.029999999795109,12364371.289999999105930
FS( 125 ),2398933.080000000074506,2261989.520000000484288,2025174.919999999925494,1831202.540000000037253,1973749.149999999906868,1950534.219999999972060,12441587.430000001564622
FS( 126 ),2398367.040000000037253,2252597.280000000260770,2014759.129999999888241,1834260.839999999850988,1971232.899999999906868,1950534.219999999972060,12421755.410000000149012
