代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382282.980000000447035
真實報酬,1382282.980000000447035

夏普值報酬,0.129528298000000
夏普值風險,0.046687394244148
夏普值,2.774374113120154

預期報酬,27450.849593323964655
風險,139729.022542193270056
趨勢值,0.196457751538588
找到最佳解世代,1368
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),PFE[20](3),UNH[23](1),WBA[27](8),
20150205,2858118.459999999962747,2647671.040000000037253,2691162.899999999441206,2453740.720000000204891,10650693.119999999180436
20150206,2846578.660000000149012,2662117.120000000111759,2660992.299999999813735,2498359.600000000093132,10668047.679999999701977
20150209,2838500.800000000279397,2654091.520000000018626,2633541.999999999534339,2506561.600000000093132,10632695.919999999925494
20150210,2847347.979999999981374,2740768.000000000000000,2694872.399999999906868,2516075.919999999925494,10799064.300000000745058
20150211,2845040.020000000018626,2748793.600000000093132,2716634.799999999813735,2609250.640000000130385,10919719.060000000521541
20150212,2848309.630000000353903,2798552.319999999832362,2716387.500000000000000,2623358.079999999608845,10986607.529999999329448
20150213,2879851.750000000000000,2780093.439999999944121,2706495.499999999534339,2583004.240000000223517,10949444.929999999701977
20150217,2883506.020000000018626,2775278.080000000074506,2714409.100000000093132,2559054.399999999906868,10932247.599999999627471
20150218,2907547.270000000018626,2767252.479999999981374,2714656.399999999906868,2552164.720000000204891,10941620.870000001043081
20150219,2957168.410000000149012,2761634.559999999590218,2721086.199999999720603,2529527.199999999720603,10969416.369999999180436
20150220,3044870.890000000130385,2773672.960000000428408,2785136.899999999906868,2530511.439999999944121,11134192.189999999478459
20150223,2976209.080000000540167,2760029.439999999944121,2878616.299999999813735,2578411.120000000111759,11193265.940000001341105
20150224,2969285.200000000186265,2756016.640000000596046,2854628.200000000186265,2637465.520000000018626,11217395.560000000521541
20150225,2942935.989999999757856,2781698.559999999590218,2820500.799999999813735,2624998.479999999981374,11170133.829999998211861
20150226,2918317.750000000000000,2776080.640000000596046,2810856.099999999627471,2678803.600000000093132,11184058.089999999850988
20150227,2901392.709999999962747,2754411.520000000018626,2810114.199999999720603,2725719.040000000037253,11191637.469999998807907
20150302,2958130.060000000521541,2790526.720000000204891,2829156.299999999813735,2743435.359999999869615,11321248.440000001341105
20150303,2992172.470000000204891,2773672.960000000428408,2791072.099999999627471,2729984.079999999608845,11286901.610000001266599
20150304,2968708.209999999962747,2780093.439999999944121,2814812.899999999441206,2723750.559999999590218,11287365.109999999403954
20150305,2971016.169999999925494,2766449.919999999925494,2838801.000000000000000,2729656.000000000000000,11305923.089999999850988
20150306,2945051.620000000111759,2726321.919999999925494,2791566.699999999720603,2701769.199999999720603,11164709.439999999478459
20150309,2976401.410000000149012,2731137.280000000260770,2841521.299999999813735,2739498.399999999906868,11288558.390000000596046
20150310,2931588.520000000018626,2711073.280000000260770,2781180.099999999627471,2713908.159999999683350,11137750.060000000521541
20150311,2907547.270000000018626,2699034.880000000353903,2787609.899999999906868,2707018.479999999981374,11101210.530000001192093
20150312,2924279.979999999981374,2728729.600000000093132,2841026.699999999720603,2764104.399999999906868,11258140.679999999701977
20150313,2915240.470000000204891,2728729.600000000093132,2850176.799999999813735,2746716.159999999683350,11240863.030000001192093
20150316,2955629.770000000018626,2764042.239999999757856,2931043.899999999906868,2846780.559999999590218,11497496.469999998807907
20150317,2971785.489999999757856,2742373.120000000111759,2908292.299999999813735,2830048.479999999981374,11452499.390000000596046
20150318,2995249.750000000000000,2759226.880000000353903,2966655.099999999627471,2860231.840000000316650,11581363.570000000298023
20150319,2964092.290000000502914,2740768.000000000000000,2986439.100000000093132,2866137.279999999795109,11557436.669999999925494
20150320,2971593.160000000149012,2748793.600000000093132,2946376.500000000000000,2894680.240000000223517,11561443.500000000000000
20150323,2939089.390000000130385,2812998.399999999906868,2943903.500000000000000,2884509.759999999776483,11580501.049999998882413
20150324,2916779.110000000335276,2770462.720000000204891,2921151.899999999906868,2887134.399999999906868,11495528.130000000819564
20150325,2851002.250000000000000,2752806.399999999906868,2882078.500000000000000,2817581.439999999944121,11303468.589999999850988
20150326,2849848.270000000018626,2741570.559999999590218,2874906.799999999813735,2770337.919999999925494,11236663.549999998882413
20150327,2862926.709999999962747,2771265.280000000260770,2918431.600000000093132,2798224.720000000204891,11350848.310000000521541
20150330,2936973.759999999776483,2808985.600000000093132,2992374.299999999813735,2821190.319999999832362,11559523.980000000447035
20150331,2886583.300000000279397,2792131.839999999850988,2925356.000000000000000,2778211.840000000316650,11382282.980000000447035
