代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11085539.830000000074506
真實報酬,1085539.830000000074506

夏普值報酬,0.099853983000000
夏普值風險,0.031417957067429
夏普值,3.178245574201250

預期報酬,18018.121424353204930
風險,46655.202131459853263
趨勢值,0.386197478548775
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CAT[3](7),CSCO[4](4),INTC[11](13),KO[14](8),MCD[15](11),TRV[22](1),VZ[26](15),
20140509,1363617.969999999972060,1321574.510000000009313,1283451.800000000046566,1273730.699999999953434,1321455.930000000167638,1312479.900000000139698,1341065.600000000093132,1273912.070000000065193,10491288.480000000447035
20140512,1380571.009999999776483,1335914.570000000065193,1292929.810000000055879,1277120.800000000046566,1319839.280000000260770,1311587.330000000074506,1351934.720000000204891,1265503.429999999934807,10535400.950000001117587
20140513,1382690.139999999664724,1347864.620000000111759,1274531.320000000065193,1280995.199999999953434,1329215.850000000093132,1320130.500000000000000,1364713.280000000027940,1257357.560000000055879,10557498.470000000670552
20140514,1383016.159999999916181,1340065.640000000130385,1271743.669999999925494,1275183.599999999860302,1322102.590000000316650,1313755.000000000000000,1360894.400000000372529,1261561.880000000121072,10528322.940000001341105
20140515,1371279.439999999944121,1320693.979999999981374,1348125.280000000027940,1259686.000000000000000,1310139.380000000353903,1306996.969999999972060,1356781.760000000242144,1260248.030000000027940,10533950.839999999850988
20140516,1391492.679999999934807,1333776.140000000130385,1358718.350000000093132,1250484.300000000046566,1322102.590000000316650,1315157.609999999869615,1359866.240000000223517,1289415.500000000000000,10621013.410000000149012
20140519,1407956.689999999944121,1325725.580000000074506,1357603.290000000037253,1261138.899999999906868,1316282.650000000139698,1301769.060000000055879,1362656.960000000195578,1291517.660000000149012,10624650.790000000968575
20140520,1408282.709999999729916,1277548.010000000009313,1344780.100000000093132,1261138.899999999906868,1312079.360000000102445,1294628.500000000000000,1361188.160000000149012,1278379.160000000149012,10538024.900000000372529
20140521,1412031.939999999944121,1294152.290000000037253,1364851.179999999934807,1268887.699999999953434,1321455.930000000167638,1307762.030000000027940,1363978.880000000121072,1292043.200000000186265,10625163.150000002235174
20140522,1414151.069999999832362,1296668.090000000083819,1359275.879999999888241,1266466.199999999953434,1312079.360000000102445,1306359.419999999925494,1366182.080000000307336,1299400.760000000242144,10620582.860000001266599
20140523,1430126.049999999813735,1308618.140000000130385,1367081.300000000046566,1273246.399999999906868,1312079.360000000102445,1300621.469999999972060,1363978.880000000121072,1307021.090000000083819,10662772.690000001341105
20140527,1457022.699999999720603,1304215.489999999990687,1377674.370000000111759,1293587.000000000000000,1318222.630000000353903,1305211.830000000074506,1373232.320000000065193,1303867.850000000093132,10733034.189999999478459
20140528,1453110.459999999729916,1294529.659999999916181,1383807.199999999953434,1301820.099999999860302,1312079.360000000102445,1291695.770000000018626,1372791.680000000167638,1307021.090000000083819,10716855.319999998435378
20140529,1479681.089999999850988,1303209.169999999925494,1376001.780000000027940,1305694.500000000000000,1314666.000000000000000,1292205.810000000055879,1382192.000000000000000,1306495.550000000046566,10760145.900000000372529
20140530,1474138.750000000000000,1285975.940000000176951,1372656.600000000093132,1323129.300000000046566,1322749.250000000000000,1293353.400000000139698,1372644.800000000279397,1312802.030000000027940,10757450.070000000298023
20140602,1464032.129999999888241,1305221.810000000055879,1381577.080000000074506,1320223.500000000000000,1321132.600000000093132,1301004.000000000000000,1376463.680000000167638,1315166.959999999962747,10784821.759999997913837
20140603,1484734.399999999906868,1314404.479999999981374,1376001.780000000027940,1339595.500000000000000,1321779.260000000242144,1293608.419999999925494,1372057.280000000027940,1295196.440000000176951,10797377.559999998658895
20140604,1501687.439999999944121,1312140.260000000009313,1365966.239999999990687,1336689.699999999953434,1318869.290000000270084,1306231.909999999916181,1390564.160000000149012,1291517.660000000149012,10823666.660000000149012
20140605,1507555.799999999813735,1345474.609999999869615,1377116.839999999850988,1339595.500000000000000,1322102.590000000316650,1306359.419999999925494,1394970.560000000055879,1294933.670000000158325,10888108.990000000223517
20140606,1503317.539999999804422,1360820.989999999990687,1384364.729999999981374,1364294.800000000046566,1325335.890000000363216,1300111.429999999934807,1386010.880000000121072,1298612.450000000186265,10922868.710000000894070
20140609,1527443.019999999785796,1367991.020000000018626,1382692.140000000130385,1351703.000000000000000,1322749.250000000000000,1292715.849999999860302,1390417.280000000027940,1302554.000000000000000,10938265.559999998658895
20140610,1536408.569999999832362,1375035.260000000009313,1393842.739999999990687,1367684.899999999906868,1327922.530000000260770,1286340.349999999860302,1396880.000000000000000,1301240.150000000139698,10985354.500000001862645
20140611,1530051.179999999934807,1367236.280000000027940,1396072.859999999869615,1352671.599999999860302,1321132.600000000093132,1280474.889999999897555,1393942.400000000372529,1297298.600000000093132,10938880.409999998286366
20140612,1504458.609999999869615,1341575.120000000111759,1374886.719999999972060,1354124.500000000000000,1306906.080000000307336,1272059.229999999981374,1395411.200000000186265,1288627.190000000176951,10838048.650000000372529
20140613,1487994.599999999860302,1343084.599999999860302,1377116.839999999850988,1446625.800000000046566,1305289.430000000167638,1281367.459999999962747,1401433.280000000027940,1292305.970000000204891,10935217.980000000447035
20140616,1502991.519999999785796,1343587.760000000009313,1367638.830000000074506,1453406.000000000000000,1314666.000000000000000,1289145.569999999832362,1402167.680000000167638,1295721.980000000214204,10969325.339999999850988
20140617,1501035.399999999906868,1341826.699999999953434,1365966.239999999990687,1450500.199999999953434,1323072.580000000307336,1291313.239999999990687,1398642.560000000055879,1293094.280000000027940,10965451.199999999254942
20140618,1502665.500000000000000,1352015.690000000176951,1373214.129999999888241,1449531.599999999860302,1343765.700000000186265,1292333.319999999832362,1401286.400000000372529,1298612.450000000186265,11013424.789999999105930
20140619,1497449.179999999934807,1349122.520000000018626,1377674.370000000111759,1457280.399999999906868,1351202.290000000270084,1299473.879999999888241,1404224.000000000000000,1299926.300000000046566,11036352.940000001341105
20140620,1481963.229999999748543,1375915.790000000037253,1384364.729999999981374,1462607.699999999953434,1347968.990000000223517,1299601.389999999897555,1389389.120000000344589,1297824.140000000130385,11039635.090000001713634
20140623,1480659.149999999906868,1368368.390000000130385,1377116.839999999850988,1464060.599999999860302,1349262.310000000055879,1299473.879999999888241,1394676.800000000279397,1306758.320000000065193,11040376.289999999105930
20140624,1471693.599999999860302,1356166.760000000009313,1367638.830000000074506,1477136.699999999953434,1353142.270000000251457,1293863.439999999944121,1390564.160000000149012,1294933.670000000158325,11005139.429999999701977
20140625,1472997.679999999934807,1364091.530000000027940,1378231.899999999906868,1495540.099999999860302,1356698.900000000139698,1295648.580000000074506,1393354.880000000121072,1298349.679999999934807,11054913.250000000000000
20140626,1481800.219999999972060,1365097.849999999860302,1374329.189999999944121,1490697.100000000093132,1358962.210000000195578,1294373.479999999981374,1386745.280000000027940,1293094.280000000027940,11045099.609999997541308
20140627,1499405.299999999813735,1368368.390000000130385,1377116.839999999850988,1497961.599999999860302,1364135.490000000223517,1293735.929999999934807,1379548.160000000149012,1295984.750000000000000,11076256.459999999031425
20140630,1514891.250000000000000,1366984.699999999953434,1385479.790000000037253,1496508.699999999953434,1369632.100000000093132,1284555.209999999962747,1381751.360000000102445,1285736.720000000204891,11085539.830000000074506
