代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11078718.259999999776483
真實報酬,1078718.259999999776483

夏普值報酬,0.099171826000000
夏普值風險,0.036353346031708
夏普值,2.727997194907439

二次趨勢線,75.592683224584420 x^2 + 15318.010664468387404 x + 10000000.000000000000000
二次平均預期報酬,20155.942390841784800
風險,71526.062310455701663
二次平均趨勢值,0.281798574390350
一次趨勢線,18917.888996297333506 x + 10000000.000000000000000
一次預期報酬,18917.888996297333506
一次風險,79283.941375410184264
一次趨勢值,0.238609340909541
找到最佳解世代,2117
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),JNJ[12](5),KO[14](7),MCD[15](1),UNH[23](4),
FS( 31 ),2068492.049999999813735,2049400.120000000111759,2067907.520000000251457,2272802.399999999441206,2030557.340000000083819,10489159.429999999701977
FS( 32 ),2024113.729999999981374,2031757.220000000204891,2071680.160000000149012,2259223.999999999534339,2039495.060000000055879,10426270.169999999925494
FS( 33 ),2008490.750000000000000,2036568.920000000158325,2065549.620000000111759,2268481.999999999534339,2070777.079999999841675,10449868.369999999180436
FS( 34 ),2046529.309999999823049,2037050.090000000083819,2070265.420000000158325,2286072.199999999720603,2084546.000000000000000,10524463.019999999552965
FS( 35 ),2079473.419999999692664,2041220.230000000214204,2083469.660000000149012,2286689.399999999906868,2110030.580000000074506,10600883.290000000968575
FS( 36 ),2077435.639999999897555,2045390.370000000111759,2093372.840000000316650,2280980.299999999813735,2116311.140000000130385,10613490.289999999105930
FS( 37 ),2097360.599999999627471,2045229.980000000214204,2123553.960000000428408,2306902.699999999720603,2120780.000000000000000,10693827.240000000223517
FS( 38 ),2117964.819999999366701,2045550.760000000009313,2141474.000000000000000,2311223.099999999627471,2150491.879999999888241,10766704.559999998658895
FS( 39 ),2112530.740000000223517,2035766.970000000204891,2140530.840000000316650,2312457.500000000000000,2143848.979999999981374,10745135.030000001192093
FS( 40 ),2115813.830000000074506,2038814.380000000121072,2142417.160000000149012,2313537.599999999627471,2132858.000000000000000,10743440.969999998807907
FS( 41 ),2124304.580000000074506,2057098.840000000083819,2144303.479999999981374,2328350.399999999441206,2115828.020000000018626,10769885.320000000298023
FS( 42 ),2120795.069999999366701,2065599.510000000009313,2159394.040000000037253,2351495.399999999441206,2168971.220000000204891,10866255.240000000223517
FS( 43 ),2153739.179999999701977,2086450.210000000195578,2164109.840000000316650,2372325.899999999906868,2166676.399999999906868,10943301.530000001192093
FS( 44 ),2139248.299999999813735,2090941.130000000353903,2168825.640000000130385,2357667.399999999441206,2166434.839999999850988,10923117.309999998658895
FS( 45 ),2114342.099999999627471,2098479.459999999962747,2168354.060000000055879,2333596.599999999627471,2183947.939999999944121,10898720.159999998286366
FS( 46 ),2129625.450000000186265,2097196.339999999850988,2146189.800000000279397,2344551.899999999906868,2212814.359999999869615,10930377.849999999627471
FS( 47 ),2150342.879999999888241,2093988.540000000270084,2128269.760000000242144,2336682.599999999627471,2194455.799999999813735,10903739.579999998211861
FS( 48 ),2151474.979999999515712,2109706.759999999776483,2137229.780000000260770,2337454.099999999627471,2191677.859999999869615,10927543.479999998584390
FS( 49 ),2151135.349999999627471,2114358.070000000298023,2137701.360000000335276,2291009.799999999813735,2164985.479999999981374,10859190.060000000521541
FS( 50 ),2163475.240000000223517,2117565.870000000111759,2123553.960000000428408,2311840.299999999813735,2186725.879999999888241,10903161.250000000000000
FS( 51 ),2178079.330000000074506,2129595.120000000111759,2136286.620000000111759,2325110.099999999627471,2202548.060000000055879,10971619.230000000447035
FS( 52 ),2212834.799999999813735,2133925.650000000372529,2133928.720000000204891,2332670.799999999348074,2178633.620000000111759,10991993.589999999850988
FS( 53 ),2224042.589999999850988,2154936.740000000223517,2136758.200000000186265,2345323.399999999906868,2193731.120000000111759,11054792.050000000745058
FS( 54 ),2253930.030000000260770,2150445.820000000298023,2140059.260000000242144,2363067.899999999441206,2210519.540000000037253,11118022.550000000745058
FS( 55 ),2245439.280000000260770,2152851.669999999925494,2150905.600000000093132,2377417.799999999813735,2213539.040000000037253,11140153.390000000596046
FS( 56 ),2254948.919999999925494,2163918.580000000074506,2132513.979999999981374,2372171.599999999627471,2233467.739999999757856,11157020.820000000298023
FS( 57 ),2258005.589999999850988,2182203.040000000037253,2125440.280000000260770,2388681.699999999720603,2252550.979999999981374,11206881.589999999850988
FS( 58 ),2289591.179999999701977,2188297.860000000335276,2133928.720000000204891,2386212.899999999441206,2237453.479999999981374,11235484.140000000596046
FS( 59 ),2264118.929999999701977,2186854.350000000558794,2142417.160000000149012,2375720.500000000000000,2235883.339999999850988,11204994.280000001192093
FS( 60 ),2251779.040000000037253,2165522.479999999515712,2124497.120000000111759,2372017.299999999813735,2229602.779999999795109,11143418.719999998807907
FS( 61 ),2260043.370000000111759,2146436.070000000298023,2137229.780000000260770,2380966.699999999720603,2242888.580000000074506,11167564.500000000000000
FS( 62 ),2235590.009999999776483,2127510.049999999813735,2114122.360000000335276,2362913.599999999627471,2237695.040000000037253,11077831.059999998658895
FS( 63 ),2238873.099999999627471,2121896.400000000372529,2115065.520000000484288,2363376.499999999534339,2239506.739999999757856,11078718.259999999776483
