代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11954293.254500000000
真實報酬,1954293.254499999800

夏普值報酬,0.186729325450
夏普值風險,0.053649124684
夏普值,3.480566114561

預期報酬,17427.694282191540
風險,144236.653901550920
起點值,0.120827083898
找到最佳解世代,4157
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,5
1303(4),2002(8),2891(37),2912(39),3045(40),
Stock#,1303(4),2002(8),2891(37),2912(39),3045(40),
張數,38,88,206,19,38,
FS( 93 ),2526796.517499999600,2224099.810000000100,2570821.983000000500,2198181.124499999900,2189701.395999999700,11709600.830999998000
FS( 94 ),2521121.740000000200,2224099.810000000100,2560567.560500000100,2299192.163999999900,2155274.412499999600,11760255.687000001000
FS( 95 ),2467400.513000000300,2220595.385999999900,2617992.326500000400,2392447.674250000200,2143546.538999999400,11841982.438750001000
FS( 96 ),2487073.075000000200,2230232.552000000100,2574923.751999999900,2322458.751750000300,2157922.641999999500,11772610.772750000000
FS( 97 ),2512798.733000000000,2246002.460000000000,2689773.284000000500,2446736.378999999700,2160949.189999999500,12056260.045999998000
FS( 98 ),2518473.510499999900,2258267.943999999700,2700027.706499999900,2392447.674250000200,2157922.641999999500,12027139.477249997000
FS( 99 ),2509772.185000000100,2242498.036000000300,2736943.627500000400,2485514.025250000400,2146573.086999999800,12121300.960750001000
FS( 100 ),2461725.735500000000,2242498.036000000300,2736943.627500000400,2516725.301500000500,2140898.309499999500,12098791.010000002000
FS( 101 ),2430325.299999999800,2236365.293999999800,2710282.129000000200,2431225.320499999900,2120847.429000000000,11929045.472499998000
FS( 102 ),2430325.299999999800,2224099.810000000100,2757452.472500000100,2400203.203499999800,2140898.309499999500,11952979.095499998000
FS( 103 ),2399303.182999999700,2217090.962000000300,2741045.396500000300,2400203.203499999800,2120847.429000000000,11878490.174000001000
FS( 104 ),2373955.843500000000,2220595.385999999900,2784113.970999999900,2485514.025250000400,2143546.538999999400,12007725.764749998000
FS( 105 ),2425028.841000000000,2220595.385999999900,2763605.126000000200,2454491.908250000300,2135223.531999999700,11998944.793250000000
FS( 106 ),2410652.737999999900,2224099.810000000100,2767706.895000000000,2470002.966750000600,2132196.983999999700,12004659.393749999000
FS( 107 ),2402329.730999999700,2226728.128000000000,2652857.363000000400,2578769.535500000200,2166623.967499999300,12027308.725000000000
FS( 108 ),2373955.843500000000,2226728.128000000000,2607737.904000000100,2493269.554500000100,2155274.412499999600,11856965.842499999000
FS( 109 ),2370929.295500000000,2220595.385999999900,2570821.983000000500,2454491.908250000300,2157922.641999999500,11774761.214749999000
