代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11577920.163249999000
真實報酬,1577920.163249999300

夏普值報酬,0.149092016325
夏普值風險,0.040764839888
夏普值,3.657367887011

預期報酬,12628.825675817041
風險,67444.304528170847
起點值,0.187248215608
找到最佳解世代,2940
找到最佳解實驗#,1
找到最佳解次數,23

投資組合檔數,14
1216(2),2311(14),2324(16),2325(17),2474(27),2887(37),2891(39),2892(40),2912(41),3008(42),3045(43),3481(44),4904(45),5880(47),
FS( 8 ),724095.053500000150,749212.518999999970,704200.170000000160,716821.050000000160,678577.230749999870,719207.612499999930,722273.515499999980,724451.400000000020,710321.859000000050,714285.000000000000,723458.993500000100,754190.490750000000,724430.124999999770,722537.023500000130,10088072.043000001000
FS( 9 ),731601.689000000010,750088.625000000000,713757.690000000060,716074.368750000140,682907.981999999960,719207.612499999930,720182.807999999960,724451.400000000020,704527.612499999930,714285.000000000000,730079.567250000080,763001.329500000110,729208.885000000010,722537.023500000130,10121921.593000002000
FS( 10 ),725259.876250000200,745927.121500000010,723315.209999999960,710996.936250000140,691599.351749999800,713383.498749999910,710147.412000000130,720419.321250000040,698733.365999999920,714285.000000000000,726804.125500000080,751253.544500000080,733888.087499999910,717698.529000000100,10083721.380249999000
FS( 11 ),729013.194000000130,749212.518999999970,723315.209999999960,712490.298750000070,703187.844749999810,713383.498749999910,712238.119500000030,722211.356249999950,716116.105500000060,714285.000000000000,730079.567250000080,754190.490750000000,731100.477499999920,715010.476500000110,10125844.158500001000
FS( 12 ),719047.488250000170,748117.386500000020,721324.060000000060,710996.936250000140,698857.093499999840,716619.117500000050,710147.412000000130,720419.321250000040,703064.117250000010,714285.000000000000,726804.125500000080,774161.725250000020,732992.069999999830,715010.476500000110,10111856.329750001000
FS( 13 ),726554.123750000030,736508.982000000190,719332.910000000030,710996.936250000140,730725.449249999950,710147.880000000000,704293.431000000100,715939.233750000010,700166.993999999950,714285.000000000000,716838.419750000000,771224.779000000100,732992.069999999830,715010.476500000110,10105026.685250003000
FS( 14 ),722800.806000000100,721834.206499999970,717341.760000000010,709503.573750000100,759696.681749999870,710147.880000000000,704293.431000000100,715939.233750000010,694402.614749999950,714285.000000000000,713562.978000000000,768287.832750000060,730104.902500000080,717698.529000000100,10099909.429749999000
FS( 15 ),725259.876250000200,729062.081000000010,719332.910000000030,713236.980000000100,764057.300249999850,716619.117500000050,710147.412000000130,722211.356249999950,705961.240500000070,714285.000000000000,716838.419750000000,768287.832750000060,735779.679999999930,722537.023500000130,10163626.229750000000
FS( 16 ),712835.100250000130,741765.618000000020,717341.760000000010,710996.936250000140,795925.655999999840,710147.880000000000,714328.827000000050,722211.356249999950,711755.487000000200,714285.000000000000,710217.846000000140,774161.725250000020,735779.679999999930,722537.023500000130,10194299.895500001000
FS( 17 ),700410.324250000060,789075.342000000060,708182.469999999970,704575.477500000150,782873.667749999910,710147.880000000000,716419.534499999950,722211.356249999950,703064.117250000010,714285.000000000000,693701.256750000060,832900.650250000060,711188.977499999920,717698.529000000100,10206744.583000001000
FS( 18 ),704034.217249999990,809225.780000000030,708182.469999999970,709503.573750000100,798822.779249999910,713383.498749999910,716419.534499999950,724451.400000000020,705961.240500000070,714285.000000000000,696976.698500000060,818215.919000000110,713080.569999999830,719848.971000000140,10252401.652500002000
FS( 19 ),716588.418000000060,810101.886000000060,711766.540000000040,713834.325000000070,798822.779249999910,716619.117500000050,722273.515499999980,732515.557500000000,700166.993999999950,714285.000000000000,713562.978000000000,815278.972750000190,716863.755000000000,730063.570500000260,10312753.409000000000
FS( 20 ),722800.806000000100,799588.613999999940,713757.690000000060,715327.687500000120,811844.900249999830,728267.345000000090,728127.496500000010,738787.679999999930,704527.612499999930,714285.000000000000,710217.846000000140,794720.349000000050,714972.162499999740,737590.117500000170,10334825.306750000000
FS( 21 ),717882.665500000120,821710.290500000120,711766.540000000040,713834.325000000070,814742.023499999780,725031.726250000070,722273.515499999980,736995.645000000140,700166.993999999950,714285.000000000000,706942.404249999910,765350.886500000140,716863.755000000000,739740.559500000210,10307596.330500001000
FS( 22 ),720341.735750000230,833318.694999999950,708182.469999999970,717418.395000000140,806050.653749999820,722443.231250000070,734399.619000000060,738787.679999999930,698733.365999999920,714285.000000000000,713562.978000000000,782972.564000000010,717859.329999999960,739740.559500000210,10348106.277249999000
FS( 23 ),724095.053500000150,830252.324000000020,713757.690000000060,723989.190000000060,827794.011749999950,731502.963750000110,740253.599999999980,742819.758750000040,694402.614749999950,714285.000000000000,713562.978000000000,763001.329500000110,714076.145000000020,742428.612000000080,10376231.271000000000
FS( 24 ),730307.441500000190,828062.059000000010,721324.060000000060,729663.967500000140,833588.258249999840,728267.345000000090,748198.288500000020,745059.802500000220,691505.491500000120,714285.000000000000,713562.978000000000,724821.028249999970,712184.552500000110,742428.612000000080,10363268.884500001000
FS( 25 ),721506.558500000040,826966.926499999940,721324.060000000060,729663.967500000140,821999.765249999940,728267.345000000090,746107.581000000120,745059.802500000220,685711.245000000110,714285.000000000000,723458.993500000100,721884.082000000050,717859.329999999960,745116.664500000070,10349221.321250001000
FS( 26 ),731601.689000000010,840765.596000000020,728890.429999999820,729066.622500000060,836485.381500000020,731502.963750000110,746107.581000000120,749091.881249999980,690041.996249999970,714285.000000000000,720183.551750000100,733631.867000000090,714076.145000000020,752105.601000000140,10417846.306000000000
FS( 27 ),737814.077000000050,828062.059000000010,736456.800000000050,727573.260000000010,830691.134999999660,739915.572499999890,750288.996000000040,751331.925000000050,694402.614749999950,714285.000000000000,723458.993500000100,736568.813250000120,717859.329999999960,752105.601000000140,10440824.176999999000
FS( 28 ),732766.511750000060,823900.555500000020,730483.349999999860,724735.871250000080,813308.395499999870,731502.963750000110,750288.996000000040,749091.881249999980,690041.996249999970,714285.000000000000,723458.993500000100,727757.974500000010,722538.532499999970,749955.159000000100,10384126.180749999000
FS( 29 ),726554.123750000030,818643.919500000190,724908.130000000000,723989.190000000060,807514.148999999860,731502.963750000110,750288.996000000040,749091.881249999980,690041.996249999970,714285.000000000000,730079.567250000080,724821.028249999970,728213.310000000170,752105.601000000140,10372049.856000001000
FS( 30 ),725259.876250000200,819739.052000000030,724908.130000000000,722495.827500000130,795925.655999999840,728267.345000000090,746107.581000000120,749091.881249999980,695836.242750000090,714285.000000000000,726804.125500000080,716010.189499999980,731100.477499999920,747267.106500000110,10343108.490750000000
FS( 31 ),725259.876250000200,830252.324000000020,732474.499999999880,721749.146250000110,806050.653749999820,734091.458749999990,740253.599999999980,749091.881249999980,691505.491500000120,714285.000000000000,733424.699250000180,727757.974500000010,726321.717499999910,747267.106500000110,10379795.429500001000
FS( 32 ),729013.194000000130,837699.224999999980,734465.650000000020,721749.146250000110,806050.653749999820,734091.458749999990,740253.599999999980,749091.881249999980,687144.873000000140,714285.000000000000,726804.125500000080,733631.867000000090,727317.292499999980,749955.159000000100,10391563.126000000000
FS( 33 ),725259.876250000200,829157.191499999840,730483.349999999860,721749.146250000110,800256.407249999810,731502.963750000110,740253.599999999980,742819.758750000040,687144.873000000140,714285.000000000000,733424.699250000180,724821.028249999970,731996.495000000000,742428.612000000080,10355593.001250001000
FS( 34 ),726554.123750000030,826090.820500000030,732474.499999999880,721151.801250000140,801719.902499999850,731502.963750000110,736072.185000000060,751331.925000000050,688608.368250000170,714285.000000000000,733424.699250000180,733631.867000000090,731996.495000000000,739740.559500000210,10368595.210749999000
FS( 35 ),750238.853000000120,811197.018500000010,724908.130000000000,722495.827500000130,790131.409499999720,722443.231250000070,738162.892500000190,751331.925000000050,682814.121750000050,714285.000000000000,733424.699250000180,716010.189499999980,732992.069999999830,739740.559500000210,10330185.927250000000
FS( 36 ),750238.853000000120,821710.290500000120,734465.650000000020,719658.438750000200,806050.653749999820,728267.345000000090,744016.873499999990,753571.968749999880,687144.873000000140,714285.000000000000,733424.699250000180,724821.028249999970,731996.495000000000,745116.664500000070,10394778.833249999000
FS( 37 ),747779.782750000010,818643.919500000190,743624.940000000060,720405.120000000110,806050.653749999820,725031.726250000070,742344.307500000110,753571.968749999880,684247.749749999960,714285.000000000000,736700.141000000060,718947.135750000020,731996.495000000000,745116.664500000070,10388755.604499999000
FS( 38 ),752827.348000000000,826090.820500000030,743624.940000000060,721151.801250000140,810411.272249999810,728267.345000000090,744016.873499999990,753571.968749999880,684247.749749999960,714285.000000000000,733424.699250000180,718947.135750000020,741554.014999999900,745116.664500000070,10417547.633500000000
FS( 39 ),753992.170750000050,830252.324000000020,742032.020000000140,720405.120000000110,816205.518749999810,728267.345000000090,744016.873499999990,753571.968749999880,687144.873000000140,714285.000000000000,740045.272999999930,730694.920749999930,742450.032499999970,747267.106500000110,10450640.546499999000
FS( 40 ),752827.348000000000,830252.324000000020,740040.870000000000,719658.438750000200,811844.900249999830,728267.345000000090,746107.581000000120,753571.968749999880,687144.873000000140,714285.000000000000,736700.141000000060,730694.920749999930,741554.014999999900,745116.664500000070,10438076.390000001000
FS( 41 ),740273.147250000150,818643.919500000190,721324.060000000060,717418.395000000140,800256.407249999810,725031.726250000070,746107.581000000120,757604.047499999870,684247.749749999960,714285.000000000000,736700.141000000060,718947.135750000020,733888.087499999910,745116.664500000070,10359854.062249999000
FS( 42 ),729013.194000000130,816453.654500000060,728890.429999999820,716821.050000000160,801719.902499999850,728267.345000000090,750288.996000000040,755364.003750000150,681380.493750000020,714285.000000000000,740045.272999999930,710136.297000000020,736775.255000000000,742428.612000000080,10351879.506500002000
FS( 43 ),729013.194000000130,834413.827500000010,738049.719999999970,719658.438750000200,800256.407249999810,731502.963750000110,754052.269500000050,761636.126249999970,705961.240500000070,714285.000000000000,743320.714750000040,701325.458249999910,736775.255000000000,747267.106500000110,10417527.722000001000
FS( 44 ),749074.030250000070,837699.224999999980,745616.090000000200,723242.508750000150,849537.369749999840,734091.458749999990,748198.288500000020,769700.283750000180,721880.484749999950,714285.000000000000,743320.714750000040,713073.243250000060,740558.439999999940,747267.106500000110,10537554.243999999000
FS( 45 ),749074.030250000070,834413.827500000010,742032.020000000140,722495.827500000130,829227.639749999970,734091.458749999990,758233.684499999970,769700.283750000180,723343.979999999980,714285.000000000000,746665.846750000030,713073.243250000060,732992.069999999830,749955.159000000100,10519594.071000000000
FS( 46 ),756451.241000000150,838794.357499999930,751191.310000000060,725482.552500000110,840845.999999999880,734091.458749999990,759906.250499999970,774180.371250000080,740696.852250000000,714285.000000000000,743320.714750000040,721884.082000000050,740558.439999999940,752105.601000000140,10593804.231500000000
FS( 47 ),770299.689250000050,848212.497000000090,766324.050000000050,725482.552500000110,874147.983749999900,739915.572499999890,766178.373000000020,767908.248749999800,736366.101000000020,714285.000000000000,746665.846750000030,721884.082000000050,741554.014999999900,752105.601000000140,10671339.612500001000
FS( 48 ),761498.806250000140,850402.761999999990,762341.749999999880,725482.552500000110,901685.588250000030,743151.191249999920,764087.665499999890,765668.204999999840,745057.470749999860,714285.000000000000,756561.862250000010,721884.082000000050,738666.847500000150,749955.159000000100,10700738.942250000000
FS( 49 ),763957.876500000010,850402.761999999990,756766.529999999800,724735.871250000080,910376.957999999750,746386.809999999940,764087.665499999890,767908.248749999800,758079.591750000140,714285.000000000000,759906.994250000110,724821.028249999970,746233.217499999910,752105.601000000140,10740064.154749997000
FS( 50 ),759039.736000000030,853469.133000000030,764332.900000000020,725482.552500000110,903119.216249999710,743151.191249999920,758233.684499999970,763876.170000000040,746491.098750000000,714285.000000000000,756561.862250000010,716010.189499999980,741554.014999999900,752105.601000000140,10697722.350000000000
FS( 51 ),763957.876500000010,848212.497000000090,756766.529999999800,725482.552500000110,895891.341749999910,743151.191249999920,761996.957999999980,767908.248749999800,745057.470749999860,714285.000000000000,756561.862250000010,716010.189499999980,743445.607499999810,752105.601000000140,10690842.926750001000
FS( 52 ),765252.124000000070,857630.636500000020,756766.529999999800,733397.373750000140,884302.848749999890,743151.191249999920,761996.957999999980,763876.170000000040,750851.717249999990,714285.000000000000,759906.994250000110,704262.404500000060,743445.607499999810,752105.601000000140,10691241.156749999000
FS( 53 ),752827.348000000000,857630.636500000020,764332.900000000020,736234.762500000070,881405.725499999830,739915.572499999890,756142.977000000070,765668.204999999840,747954.594000000040,714285.000000000000,769872.700000000070,704262.404500000060,743445.607499999810,752105.601000000140,10686094.034000000000
FS( 54 ),757745.488500000210,863106.299000000120,764332.900000000020,738325.470000000200,868353.737249999770,739915.572499999890,748198.288500000020,765668.204999999840,753718.973250000040,714285.000000000000,756561.862250000010,710136.297000000020,748124.810000000170,759632.148000000160,10688115.051250001000
FS( 55 ),759039.736000000030,858725.768999999970,760748.829999999960,742656.221250000060,897324.969749999810,746386.809999999940,751961.562000000030,769700.283750000180,755182.468499999960,714285.000000000000,756561.862250000010,757127.437000000030,741554.014999999900,767158.695000000180,10778423.659500001000
FS( 56 ),756451.241000000150,858725.768999999970,747607.240000000220,740565.513750000160,895891.341749999910,758035.037499999980,751961.562000000030,769700.283750000180,756616.096499999990,714285.000000000000,756561.862250000010,733631.867000000090,742450.032499999970,765008.253000000140,10747501.100000001000
FS( 57 ),755286.418250000100,838794.357499999930,753182.459999999960,736981.443750000210,926296.202249999970,761270.656250000000,751961.562000000030,765668.204999999840,759513.219750000050,714285.000000000000,756561.862250000010,736568.813250000120,736775.255000000000,762320.200500000150,10755475.655750001000
FS( 58 ),771464.512000000100,850402.761999999990,764332.900000000020,740565.513750000160,923399.078999999790,754799.418750000070,756142.977000000070,774180.371250000080,787020.957000000050,714285.000000000000,766527.568000000200,742442.705749999960,743445.607499999810,769846.747500000170,10858866.119500002000
FS( 59 ),765252.124000000070,844050.993499999980,764332.900000000020,735488.081250000160,943708.808999999890,754799.418750000070,751961.562000000030,774180.371250000080,778329.587249999980,714285.000000000000,769872.700000000070,739505.759500000040,745337.199999999950,771997.189500000090,10853111.696000000000
FS( 60 ),746485.535250000190,837699.224999999980,755173.609999999990,736234.762500000070,929193.325499999920,754799.418750000070,746107.581000000120,774180.371250000080,782690.205750000200,714285.000000000000,773148.141749999950,765350.886500000140,748124.810000000170,774685.242000000090,10838168.115250003000
FS( 61 ),744026.465000000080,842955.861000000030,777474.490000000220,737728.125000000120,924862.574249999950,752210.923749999840,746107.581000000120,774180.371250000080,778329.587249999980,714285.000000000000,766527.568000000200,812342.026500000040,748124.810000000170,774685.242000000090,10893850.625000002000
FS( 62 ),735355.006750000180,837699.224999999980,783049.709999999960,736981.443750000210,923399.078999999790,746386.809999999940,748198.288500000020,775972.406249999880,788454.584999999960,714285.000000000000,773148.141749999950,785909.510250000170,751907.995000000000,779523.736500000230,10880280.937750001000
FS( 63 ),745320.712500000140,829157.191499999840,768315.200000000070,733994.718750000120,920501.955749999960,748975.305000000050,750288.996000000040,775972.406249999880,782690.205750000200,714285.000000000000,766527.568000000200,835837.596500000100,750016.402500000080,774685.242000000090,10896578.500500001000
FS( 64 ),744026.465000000080,822805.423000000070,773890.420000000160,734741.400000000140,923399.078999999790,754799.418750000070,750288.996000000040,778212.449999999950,775432.464000000040,714285.000000000000,769872.700000000070,832900.650250000060,749120.385000000010,779523.736500000230,10903308.587500002000
FS( 65 ),741567.394750000210,819739.052000000030,762341.749999999880,733994.718750000120,897324.969749999810,748975.305000000050,740253.599999999980,765668.204999999840,773998.836000000010,714285.000000000000,766527.568000000200,832900.650250000060,748124.810000000170,767158.695000000180,10812870.554500002000
FS( 66 ),747779.782750000010,815358.522000000110,760748.829999999960,735488.081250000160,898788.464999999850,739915.572499999890,740253.599999999980,761636.126249999970,773998.836000000010,714285.000000000000,773148.141749999950,861682.723500000080,752903.569999999830,767158.695000000180,10843155.946000000000
FS( 67 ),742732.217500000030,810101.886000000060,768315.200000000070,736234.762500000070,901685.588250000030,743151.191249999920,748198.288500000020,761636.126249999970,772535.340750000090,714285.000000000000,769872.700000000070,867556.616000000040,750016.402500000080,769846.747500000170,10856178.067000002000
FS( 68 ),731601.689000000010,804845.250000000000,769908.120000000000,736234.762500000070,882839.353499999850,737327.077500000010,736072.185000000060,751331.925000000050,771101.712749999950,714285.000000000000,749941.288500000020,853459.274000000090,740558.439999999940,762320.200500000150,10741836.278250000000
FS( 69 ),732766.511750000060,808130.647499999850,773890.420000000160,732650.692500000000,895891.341749999910,734091.458749999990,734399.619000000060,751331.925000000050,785587.329000000140,714285.000000000000,746665.846750000030,827026.757749999990,740558.439999999940,757481.706000000120,10734767.695750000000
FS( 70 ),740273.147250000150,819739.052000000030,771899.270000000140,729663.967500000140,897324.969749999810,737327.077500000010,738162.892500000190,757604.047499999870,782690.205750000200,714285.000000000000,753286.420500000010,821152.865250000030,739662.422499999990,767158.695000000180,10770240.033000002000
FS( 71 ),742732.217500000030,821710.290500000120,777474.490000000220,733397.373750000140,901685.588250000030,746386.809999999940,738162.892500000190,763876.170000000040,781226.710500000160,714285.000000000000,749941.288500000020,800594.241500000120,735779.679999999930,769846.747500000170,10777109.500500001000
FS( 72 ),750238.853000000120,833318.694999999950,777474.490000000220,736234.762500000070,937914.562499999880,754799.418750000070,748198.288500000020,771940.327500000010,795712.326750000120,714285.000000000000,759906.994250000110,858745.777250000040,732992.069999999830,771997.189500000090,10943768.755500000000
FS( 73 ),747779.782750000010,828062.059000000010,775483.340000000200,736981.443750000210,956730.929999999930,752210.923749999840,754052.269500000050,775972.406249999880,813065.199000000140,714285.000000000000,759906.994250000110,850522.327750000050,730104.902500000080,779523.736500000230,10974691.315000001000
FS( 74 ),747779.782750000010,820615.157999999940,769908.120000000000,729663.967500000140,950936.683499999930,752210.923749999840,754052.269500000050,765668.204999999840,789918.080250000000,714285.000000000000,753286.420500000010,829963.704000000140,731100.477499999920,774685.242000000090,10884084.034250000000
FS( 75 ),740273.147250000150,821710.290500000120,768315.200000000070,728319.941249999920,955297.301999999790,748975.305000000050,756142.977000000070,761636.126249999970,795712.326750000120,714285.000000000000,756561.862250000010,827026.757749999990,734883.662499999740,774685.242000000090,10883835.140500000000
FS( 76 ),745320.712500000140,813387.283500000020,779465.640000000010,733397.373750000140,950936.683499999930,758035.037499999980,758233.684499999970,786276.607500000040,794248.831499999970,714285.000000000000,756561.862250000010,841711.489000000060,741554.014999999900,779523.736500000230,10952947.957000000000
FS( 77 ),744026.465000000080,809006.753499999880,781456.790000000040,729663.967500000140,958194.425249999970,761270.656250000000,761996.957999999980,786276.607500000040,794248.831499999970,714285.000000000000,766527.568000000200,832900.650250000060,749120.385000000010,782211.789000000110,10971196.846750002000
FS( 78 ),737814.077000000050,812292.151000000190,781456.790000000040,732650.692500000000,965422.299749999770,761270.656250000000,761996.957999999980,790756.695000000070,792815.203499999950,714285.000000000000,776493.273750000050,855808.831000000010,755691.179999999930,787050.283500000140,11025814.091250001000
FS( 79 ),746485.535250000190,803750.117500000050,773890.420000000160,723989.190000000060,958194.425249999970,758035.037499999980,758233.684499999970,786276.607500000040,789918.080250000000,714285.000000000000,763182.436000000100,835837.596500000100,756686.755000000000,784899.841500000100,10953674.726750001000
FS( 80 ),747779.782750000010,801778.878999999840,773890.420000000160,726826.578750000100,987165.657749999780,758035.037499999980,761996.957999999980,788516.651250000000,787020.957000000050,714285.000000000000,773148.141749999950,806468.134000000080,754795.162499999740,787050.283500000140,10968767.643750001000
FS( 81 ),745320.712500000140,801778.878999999840,775483.340000000200,716821.050000000160,1033519.629749999700,754799.418750000070,761996.957999999980,786276.607500000040,800043.078000000100,714285.000000000000,763182.436000000100,768287.832750000060,751011.977499999920,789738.336000000130,10962555.255750000000
FS( 82 ),755286.418250000100,801778.878999999840,779465.640000000010,715327.687500000120,1010342.643749999800,761270.656250000000,764087.665499999890,786276.607500000040,817425.817500000000,714285.000000000000,763182.436000000100,782972.564000000010,760469.939999999940,787050.283500000140,10999232.238750000000
FS( 83 ),762793.053749999960,822805.423000000070,762341.749999999880,725482.552500000110,992959.904249999910,767094.770000000020,767850.939000000130,788516.651250000000,836242.185000000060,714285.000000000000,773148.141749999950,760064.383249999960,751011.977499999920,787050.283500000140,11011657.014750002000
FS( 84 ),756451.241000000150,811197.018500000010,766324.050000000050,716821.050000000160,981371.411249999890,770330.388750000040,774123.061500000190,788516.651250000000,831881.566499999960,714285.000000000000,776493.273750000050,757127.437000000030,751907.995000000000,787050.283500000140,10983890.428000001000
FS( 85 ),756451.241000000150,808130.647499999850,779465.640000000010,723989.190000000060,1014673.394999999800,781978.616249999960,782067.750000000000,794788.773749999930,827550.815249999990,714285.000000000000,773148.141749999950,763001.329500000110,755691.179999999930,789738.336000000130,11064970.056000002000
FS( 86 ),763957.876500000010,801778.878999999840,779465.640000000010,727573.260000000010,1004548.397249999800,785214.234999999870,790012.438500000050,788516.651250000000,839109.440999999990,714285.000000000000,773148.141749999950,771224.779000000100,752903.569999999830,789738.336000000130,11081486.645250000000
FS( 87 ),762793.053749999960,826090.820500000030,781456.790000000040,736981.443750000210,1021931.136749999900,802686.576250000040,787921.731000000150,792548.729999999980,827550.815249999990,714285.000000000000,769872.700000000070,763001.329500000110,751011.977499999920,792426.388500000120,11130568.492750000000
FS( 88 ),762793.053749999960,820615.157999999940,787032.010000000010,738325.470000000200,988599.285749999690,785214.234999999870,782067.750000000000,790756.695000000070,814528.694249999940,714285.000000000000,773148.141749999950,757127.437000000030,755691.179999999930,789738.336000000130,11059932.446500000000
FS( 89 ),761498.806250000140,818643.919500000190,790616.079999999960,737728.125000000120,981371.411249999890,785214.234999999870,772032.354000000050,790756.695000000070,813065.199000000140,714285.000000000000,769872.700000000070,788846.456500000090,752903.569999999830,789738.336000000130,11066582.887499999000
FS( 90 ),752827.348000000000,814482.415999999850,781456.790000000040,745642.946250000150,977010.792749999790,787802.729999999980,777886.335000000080,796580.808750000080,815962.322249999970,714285.000000000000,773148.141749999950,771224.779000000100,751011.977499999920,789738.336000000130,11049070.723249998000
FS( 91 ),756451.241000000150,824995.688000000200,790616.079999999960,751317.723750000000,995857.027499999850,785214.234999999870,766178.373000000020,792548.729999999980,840572.936250000030,714285.000000000000,769872.700000000070,791783.402750000120,749120.385000000010,789738.336000000130,11118561.858250000000
FS( 92 ),761498.806250000140,831347.456499999970,781456.790000000040,749973.697500000010,1001651.273999999700,791038.348750000000,766178.373000000020,792548.729999999980,850697.934000000010,714285.000000000000,763182.436000000100,800594.241500000120,752903.569999999830,787050.283500000140,11144416.941000002000
FS( 93 ),787772.030500000110,835508.959999999850,781456.790000000040,752811.086250000050,992959.904249999910,796862.462500000140,779977.042500000100,794788.773749999930,834778.689750000020,714285.000000000000,763182.436000000100,803531.187750000040,751907.995000000000,792426.388500000120,11182258.746749999000
FS( 94 ),801491.054000000000,838794.357499999930,779465.640000000010,749973.697500000010,995857.027499999850,796862.462500000140,779977.042500000100,796580.808750000080,828984.443250000240,714285.000000000000,766527.568000000200,794720.349000000050,751011.977499999920,792426.388500000120,11186967.816499999000
FS( 95 ),795149.241249999960,833318.694999999950,764332.900000000020,755648.475000000210,978474.287999999830,808510.689999999940,767850.939000000130,796580.808750000080,814528.694249999940,714285.000000000000,759906.994250000110,797657.295249999970,755691.179999999930,784899.841500000100,11126845.042250000000
FS( 96 ),788936.853250000160,836604.092500000030,779465.640000000010,752811.086250000050,984268.534499999720,808510.689999999940,767850.939000000130,796580.808750000080,826087.320000000070,714285.000000000000,766527.568000000200,800594.241500000120,762361.532499999970,789738.336000000130,11174632.642250001000
FS( 97 ),793984.418500000150,838794.357499999930,781456.790000000040,752811.086250000050,990062.780999999840,811746.308749999970,774123.061500000190,796580.808750000080,831881.566499999960,714285.000000000000,766527.568000000200,806468.134000000080,755691.179999999930,789738.336000000130,11204161.396749999000
FS( 98 ),790231.100750000220,835508.959999999850,777474.490000000220,748480.335000000080,1007445.520499999800,808510.689999999940,777886.335000000080,796580.808750000080,826087.320000000070,714285.000000000000,766527.568000000200,809405.080250000120,751907.995000000000,789738.336000000130,11200079.539250001000
FS( 99 ),787772.030500000110,850402.761999999990,779465.640000000010,749973.697500000010,1039313.876249999700,824041.659999999920,776213.769000000090,798820.852500000040,831881.566499999960,714285.000000000000,769872.700000000070,835837.596500000100,757582.772499999960,794576.830500000160,11310050.753750000000
FS( 100 ),787772.030500000110,852374.000500000200,779465.640000000010,749973.697500000010,1082770.724999999900,824041.659999999920,776213.769000000090,798820.852500000040,823190.196750000000,714285.000000000000,766527.568000000200,841711.489000000060,760469.939999999940,797264.883000000260,11354891.451750001000
FS( 101 ),798902.559000000120,833318.694999999950,779465.640000000010,748480.335000000080,1059593.738999999800,826630.154999999910,774123.061500000190,798820.852500000040,842006.564250000050,714285.000000000000,766527.568000000200,844648.435250000100,755691.179999999930,794576.830500000160,11337080.614999998000
