代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11519158.469749998000
真實報酬,1519158.469749998300

夏普值報酬,0.143215846975
夏普值風險,0.048165652094
夏普值,2.973402014661

預期報酬,14134.551631532253
風險,92927.581312276583
起點值,0.152102867975
找到最佳解世代,3290
找到最佳解實驗#,2
找到最佳解次數,18

投資組合檔數,11
1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
Stock#,1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
張數,34,15,10,18,4,2,20,53,105,3,62,
FS( 7 ),902116.727499999920,898372.229999999980,903123.094999999860,926577.526499999920,1003742.416000000000,971125.862000000080,902144.114999999990,903856.356000000030,902762.096249999830,920365.865250000030,912472.441000000110,10146668.730500000000
FS( 8 ),895685.312999999970,892548.116249999960,909793.447499999890,912599.653500000010,990322.065000000060,978851.524000000090,901148.539999999800,901745.736999999960,903807.449999999950,913137.990750000000,909386.158500000020,10109035.995500002000
FS( 9 ),882483.988500000090,888217.364999999990,903123.094999999860,917796.555000000170,982636.226000000140,974988.693000000090,904931.724999999980,901745.736999999960,901716.742500000050,901549.497749999980,912472.441000000110,10071672.065749999000
FS( 10 ),882483.988500000090,899716.256249999980,907901.854999999860,912599.653500000010,976901.714000000040,966307.278999999980,909710.485000000100,901745.736999999960,903807.449999999950,904446.621000000040,909386.158500000020,10075017.197750000000
FS( 11 ),866236.204499999990,902702.981249999950,913576.632500000070,907402.751999999980,988410.561000000100,984645.770500000100,909710.485000000100,894358.570499999910,902762.096249999830,901549.497749999980,906917.132499999950,10078282.683750000000
FS( 12 ),864543.726999999960,891054.753750000030,910689.464999999970,909015.583500000070,992233.569000000020,974988.693000000090,910706.059999999940,901745.736999999960,899626.035000000030,901549.497749999980,906917.132499999950,10063080.253500000000
FS( 13 ),847957.447499999780,889710.727500000040,906010.262499999950,907402.751999999980,999919.408000000050,986577.185999999990,911701.634999999890,899107.463250000030,895444.619999999760,903012.993000000130,906917.132499999950,10053771.627250001000
FS( 14 ),843218.510499999970,888217.364999999990,916364.242499999700,942168.230999999910,1009516.751000000000,978851.524000000090,920263.579999999960,899107.463250000030,880809.667500000100,895785.118499999980,906917.132499999950,10081229.585750001000
FS( 15 ),857773.816999999920,889710.727500000040,919251.409999999920,938584.160999999960,1017202.590000000100,998165.679000000000,932608.710000000080,899107.463250000030,878718.959999999960,898682.241749999930,903830.850000000090,10133646.609500000000
FS( 16 ),867590.186499999950,898372.229999999980,916364.242499999700,947544.336000000010,1063277.801000000000,1000097.094500000000,931613.134999999890,896996.844250000080,873492.191250000030,889990.871999999970,909386.158500000020,10194735.091499999000
FS( 17 ),872667.618999999950,917039.261249999980,919251.409999999920,954712.475999999910,1069012.312999999800,994302.848000000000,928825.524999999910,894358.570499999910,888127.143749999810,889990.871999999970,906917.132499999950,10235215.170999998000
FS( 18 ),867590.186499999950,918532.623749999800,923930.612499999930,949336.371000000160,1047906.123000000000,990440.016999999990,931613.134999999890,894358.570499999910,884991.082499999900,895785.118499999980,906917.132499999950,10211410.972749999000
FS( 19 ),866236.204499999990,924207.401250000000,941054.502499999940,969048.755999999940,1063277.801000000000,1005911.252500000100,950728.174999999930,903856.356000000030,889172.497500000060,921829.360499999950,918027.749500000030,10353360.056250000000
FS( 20 ),866236.204499999990,927044.790000000040,941054.502499999940,988761.141000000060,1065189.304999999900,1005911.252500000100,950728.174999999930,908605.248750000030,890217.851249999950,911704.362750000090,921114.032000000120,10376576.865249999000
