代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12518265.079000000000
真實報酬,2518265.078999999900

夏普值報酬,0.243126507900
夏普值風險,0.067032179302
夏普值,3.627011838645

預期報酬,21129.908129323438
風險,152900.522317371940
起點值,0.138193825692
找到最佳解世代,4008
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
Stock#,2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
張數,7,91,6,126,29,35,
FS( 36 ),1869329.296500000200,1623418.955249999600,1554596.961999999800,1749822.660999999800,1751701.830000000100,2154219.211249999200,10703092.915999999000
FS( 37 ),1871977.526000000300,1634290.634249999900,1543725.282999999800,1738532.840499999900,1754300.280750000200,2133660.587499999400,10676491.151999999000
FS( 38 ),1871977.526000000300,1667811.644499999900,1549161.122499999800,1831360.253499999900,1761518.199500000100,2133660.587499999400,10815493.333499998000
FS( 39 ),1861314.917750000300,1648786.206249999800,1554596.961999999800,1818816.008500000000,1766715.101000000000,2121813.244999999600,10772046.440499999000
FS( 40 ),1863963.147250000200,1664187.751500000200,1554596.961999999800,1825088.131000000100,1776531.470500000100,2139584.258750000000,10823955.721000001000
FS( 41 ),1855948.768500000000,1683213.189749999900,1560092.536000000100,1778674.424500000000,1773933.019750000000,2136448.197499999800,10788314.136000000000
FS( 42 ),1834484.171500000200,1701332.654750000000,1560092.536000000100,1818816.008500000000,1786636.556750000500,2148295.540000000000,10849661.467500001000
FS( 43 ),1823751.873000000100,1678683.323499999900,1581895.628499999900,1789964.244999999900,1788946.290750000200,2177913.896250000200,10841159.257000001000
FS( 44 ),1901456.501749999800,1660563.858499999900,1579147.841499999900,1802508.490000000000,1828789.202249999900,2169202.615000000200,10941672.509000000000
FS( 45 ),1877343.675249999900,1690460.975750000000,1595515.094499999700,1924187.666500000100,1769024.835000000200,2195684.910000000100,11052221.157000000000
FS( 46 ),1834484.171500000200,1637914.527249999800,1560092.536000000100,1866484.139499999800,1739287.009750000000,2142371.868749999400,10780638.252749998000
FS( 47 ),1826469.792750000300,1641538.420250000200,1579147.841499999900,1895335.902999999900,1756610.014749999900,2118677.183749999900,10817783.155999999000
FS( 48 ),1831835.942000000300,1701332.654750000000,1617377.921499999900,2005725.259000000100,1816374.381999999800,2237150.608750000100,11209800.768000001000
FS( 49 ),1810371.345000000200,1708580.440749999800,1625561.547999999700,1964329.250500000100,1831387.652999999900,2266768.964999999900,11207003.202250000000
FS( 50 ),1767511.841250000100,1731229.771999999900,1614630.134499999900,1959311.552500000000,1918291.394750000200,2222515.656249999500,11213494.351250000000
FS( 51 ),1724582.647250000200,1716734.199999999700,1628309.334999999700,1941749.609500000000,1913383.210000000200,2254921.622499999600,11179684.624249998000
FS( 52 ),1719216.498000000100,1791024.006499999900,1614630.134499999900,1988163.315999999900,1900968.389749999900,2210668.313749999700,11224674.658499997000
FS( 53 ),1721934.417750000300,1757502.996249999900,1650112.427499999800,1941749.609500000000,1878448.483250000000,2234362.998749999800,11184114.932999998000
FS( 54 ),1668342.615500000100,1708580.440749999800,1639181.014000000000,1895335.902999999900,1896060.204999999800,2258057.683749999900,11065561.862000000000
FS( 55 ),1670990.845000000200,1708580.440749999800,1647364.640499999700,1930459.789000000300,1891152.020249999600,2290463.649999999000,11139015.385499999000
