代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12262131.902250001000
真實報酬,2262131.902250001200

夏普值報酬,0.217513190225
夏普值風險,0.054431254264
夏普值,3.996108360288

預期報酬,15933.440764859690
風險,166955.369924026130
起點值,0.095435329646
找到最佳解世代,3747
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,3
2301(13),2330(20),2357(24),
Stock#,2301(13),2330(20),2357(24),
張數,123,48,17,
FS( 80 ),3443693.827499999700,3777584.568000000000,3871619.359500000300,11092898.754999999000
FS( 81 ),3489002.445750000400,3950097.804000000000,3920531.959250000800,11359633.209000001000
FS( 82 ),3489002.445750000400,3941973.912000000000,3908176.873500000200,11339154.231250001000
FS( 83 ),3517167.262500000200,3982593.372000000400,3853340.602500000000,11353102.237000000000
FS( 84 ),3507370.804500000100,3966345.588000000000,3853340.602500000000,11327057.995000001000
FS( 85 ),3517167.262500000200,3991195.139999999700,3889898.116500000000,11398261.518999999000
FS( 86 ),3645745.773750000200,4081513.703999999900,3950996.554250000000,11678257.032000000000
FS( 87 ),3635949.315750000100,4048540.259999999800,3926624.878250000100,11611115.454000000000
FS( 88 ),3609009.056250000400,3995018.148000000000,3944903.635249999800,11548931.839500001000
FS( 89 ),3635949.315750000100,4007442.924000000600,3920531.959250000800,11563925.199000001000
FS( 90 ),3659215.903500000500,3995018.148000000000,3859433.521500000300,11513668.573000001000
FS( 91 ),3672686.033250000300,4056664.151999999800,3877712.278500000000,11607063.463750001000
FS( 92 ),3617580.957000000400,3991195.139999999700,3859433.521500000300,11468210.618500000000
FS( 93 ),3609009.056250000400,4064788.044000000200,3865526.440500001000,11539324.540750001000
FS( 94 ),3640847.544750000800,4069088.927999999400,3944903.635249999800,11654841.108000001000
FS( 95 ),3659215.903500000500,4101584.495999999800,4121598.286249999900,11882399.685750000000
FS( 96 ),3635949.315750000100,4069088.927999999400,4127691.205250000600,11832730.449000001000
FS( 97 ),3617580.957000000400,4011743.808000000200,4121598.286249999900,11750924.051250000000
FS( 98 ),3580844.239500000600,3999319.032000000100,4133784.124250000300,11713948.395750001000
FS( 99 ),3599212.598250000300,4023690.708000000100,4042390.339250000200,11665294.645500001000
FS( 100 ),3525739.163250000200,3970646.472000000500,4005832.825250000200,11502219.460500000000
FS( 101 ),3503697.132750000300,3921425.244000000400,3950996.554250000000,11376119.931000002000
FS( 102 ),3457163.957250000900,3958221.696000000000,3963182.392250000500,11378569.045500003000
FS( 103 ),3599212.598250000300,3937673.027999999500,3932717.797250000300,11469604.423500000000
FS( 104 ),3558802.209000000300,3991195.139999999700,3993646.987250000200,11543645.336250000000
FS( 105 ),3535535.621249999900,3970646.472000000500,3981461.149250000200,11487644.242500002000
FS( 106 ),3530637.392250000500,3953920.811999999900,3981461.149250000200,11466020.353500001000
FS( 107 ),3540433.850250000600,4011743.808000000200,4024111.582250000400,11576290.240500001000
FS( 108 ),3654317.674500000200,4118310.156000000000,4048483.258250000900,11821112.088750001000
FS( 109 ),3672686.033250000300,4175655.275999999100,4024111.582250000400,11872453.891500000000
FS( 110 ),3635949.315750000100,4196203.944000001100,3938810.716250000500,11770964.976000002000
FS( 111 ),3580844.239500000600,4155106.608000000000,3932717.797250000300,11668669.644750001000
FS( 112 ),3627377.414999999600,4122133.163999998900,4005832.825250000200,11755344.404249998000
FS( 113 ),3627377.414999999600,4134557.939999999500,3957089.473250000300,11719025.828249998000
FS( 114 ),3535535.621249999900,4175655.275999999100,4103319.529250000100,11814511.426499998000
FS( 115 ),3580844.239500000600,4175655.275999999100,4127691.205250000600,11884191.720750000000
FS( 116 ),3627377.414999999600,4216752.611999999700,4103319.529250000100,11947450.556249999000
FS( 117 ),3654317.674500000200,4155106.608000000000,4054576.177250000200,11864001.459750000000
FS( 118 ),3627377.414999999600,4101584.495999999800,3969275.311249999800,11698238.222250000000
FS( 119 ),3622479.186000000200,4105885.380000000400,3987554.068250000500,11715919.634250000000
FS( 120 ),3622479.186000000200,4196203.944000001100,4066762.015250000200,11885446.145250000000
FS( 121 ),3659215.903500000500,4155106.608000000000,4127691.205250000600,11942014.716750002000
FS( 122 ),3672686.033250000300,4175655.275999999100,4152062.881250000100,12000405.190499999000
FS( 123 ),3682482.491250000400,4175655.275999999100,4097226.610249999900,11955365.377499999000
FS( 124 ),3695952.621000000700,4130734.932000000500,4127691.205250000600,11954379.758250002000
FS( 125 ),3691054.392000000500,4093460.603999999800,4158155.800249999900,11942671.796250001000
FS( 126 ),3704524.521749999800,4105885.380000000400,4176434.557249999600,11986845.458999999000
FS( 127 ),3719219.208749999800,4175655.275999999100,4188620.395250000100,12083495.879999999000
FS( 128 ),3714320.979750000400,4196203.944000001100,4133784.124250000300,12044310.048000002000
FS( 129 ),3901678.239000000100,4196203.944000001100,4164248.719249999600,12262131.902250001000
