代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12158785.038750000000
真實報酬,2158785.038750000300

夏普值報酬,0.207178503875
夏普值風險,0.056294946097
夏普值,3.680232742717

預期報酬,16725.055226359425
風險,93038.812586652974
起點值,0.179764280749
找到最佳解世代,3706
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,11
1102(1),2308(14),2409(23),2412(24),2454(25),2882(31),2887(36),2912(40),3008(41),3045(42),4938(46),
FS( 7 ),912164.616249999960,919570.144500000050,883919.349999999980,915932.761750000060,945860.103000000000,899901.199999999950,897680.557999999840,957436.522499999960,909090.000000000000,918584.844000000040,908156.420999999860,10068306.521000000000
FS( 8 ),914474.350250000130,945614.386500000140,886906.075000000070,915932.761750000060,914738.428500000040,907865.800000000050,897680.557999999840,959676.566249999800,909090.000000000000,916553.871000000040,918102.215250000010,10086645.012500001000
FS( 9 ),907545.148249999850,1008096.673500000100,886906.075000000070,917684.973749999890,908008.341499999980,919812.699999999950,891547.815999999990,966297.140000000010,909090.000000000000,918584.844000000040,923478.320249999990,10157062.032250000000
FS( 10 ),894264.177749999800,979483.848000000110,894870.675000000050,908704.887249999910,921468.515499999980,906870.224999999980,884538.967999999990,972967.492500000050,909090.000000000000,916553.871000000040,929929.646249999990,10118752.306249999000
FS( 11 ),896862.628499999880,966461.727000000190,947636.150000000020,911442.718499999960,909700.819000000020,898905.625000000000,888043.392000000110,975157.757500000180,909090.000000000000,923363.603999999820,943101.103500000080,10169775.524999999000
FS( 12 ),902636.963499999950,966461.727000000190,934693.675000000160,915932.761750000060,909700.819000000020,906870.224999999980,891547.815999999990,975157.757500000180,909090.000000000000,939730.856999999960,954122.118750000020,10205954.720500000000
FS( 13 ),891954.443749999980,966461.727000000190,929715.800000000050,918670.592999999880,887837.992000000090,896914.474999999980,891547.815999999990,995119.036250000000,909090.000000000000,947496.342000000180,962723.886750000060,10197542.111749999000
FS( 14 ),895707.761499999910,950811.288000000060,903830.850000000090,915056.655749999920,893711.884499999930,885714.256249999860,878406.226000000020,1003979.653749999900,909090.000000000000,939730.856999999960,940950.661500000160,10117000.094249999000
FS( 15 ),886180.108750000010,935220.583500000180,907813.149999999910,915932.761750000060,892039.318500000050,887705.406250000120,875777.907999999940,992878.992500000050,909090.000000000000,925275.108000000120,940950.661500000160,10068873.998749999000
FS( 16 ),894264.177749999800,953439.606000000150,920755.625000000000,915056.655749999920,894568.079000000030,892932.174999999930,875777.907999999940,1012840.271250000000,909090.000000000000,935907.849000000050,951971.676750000100,10156614.023500001000
FS( 17 ),908700.015249999820,974286.946500000080,929715.800000000050,922284.530250000070,906335.775500000110,905874.650000000020,872273.484000000050,1054953.093750000200,909090.000000000000,936863.601000000020,962723.886750000060,10283111.783000000000
FS( 18 ),909854.882249999910,992505.969000000040,956596.325000000070,914071.036499999930,917267.189000000010,901892.350000000090,875777.907999999940,1041662.167499999900,909090.000000000000,934952.096999999950,973744.902000000120,10327424.826250000000
FS( 19 ),909854.882249999910,976855.530000000260,938675.975000000090,918670.592999999880,908008.341499999980,905874.650000000020,878406.226000000020,1037231.858750000000,909090.000000000000,953350.322999999970,958423.002749999990,10294451.382250000000
FS( 20 ),895707.761499999910,971658.628500000110,943653.850000000090,919546.699000000020,896240.645000000020,908861.374999999880,884538.967999999990,1019510.623750000000,909090.000000000000,957173.330999999890,967024.770750000140,10273016.652500000000
FS( 21 ),902636.963499999950,1013293.575000000300,956596.325000000070,922284.530250000070,903807.015000000010,907865.800000000050,884538.967999999990,1037231.858750000000,909090.000000000000,960996.339000000040,1003044.674250000000,10401396.048750000000
FS( 22 ),908700.015249999820,1002899.772000000100,978498.975000000090,922284.530250000070,927362.319500000100,902887.925000000050,884538.967999999990,1032801.549999999900,909090.000000000000,960996.339000000040,1009764.805500000000,10439835.199500000000
FS( 23 ),908700.015249999820,1026315.696000000100,996419.325000000070,922284.530250000070,933236.212000000060,899901.199999999950,881910.650000000020,1023940.932500000000,909090.000000000000,950363.598000000000,1021592.236500000100,10473764.395500001000
FS( 24 ),908700.015249999820,997702.870500000190,1049184.800000000000,919546.699000000020,918103.471999999950,903883.500000000000,884538.967999999990,1032801.549999999900,909090.000000000000,950363.598000000000,1026161.925749999900,10500087.398499999000
FS( 25 ),908700.015249999820,992505.969000000040,1053167.100000000100,920422.804999999930,923141.081500000090,906870.224999999980,881910.650000000020,1034991.814999999900,909090.000000000000,950363.598000000000,1006539.142500000200,10487712.401249999000
FS( 26 ),909854.882249999910,992505.969000000040,1031264.450000000100,917684.973749999890,921468.515499999980,908861.374999999880,897680.557999999840,1041662.167499999900,909090.000000000000,956217.578999999910,996593.348250000160,10482893.818249999000
FS( 27 ),909854.882249999910,997702.870500000190,1066109.575000000000,919546.699000000020,923997.275999999950,908861.374999999880,897680.557999999840,1059383.402500000100,909090.000000000000,960996.339000000040,1001969.453249999900,10555202.430500001000
FS( 28 ),927466.603999999820,997702.870500000190,1062127.275000000100,922284.530250000070,937437.538500000020,924790.574999999950,907317.723999999930,1068244.020000000000,909090.000000000000,966850.319999999950,1010840.026499999900,10634161.483749999000
FS( 29 ),943057.308500000160,992505.969000000040,1058144.975000000100,922284.530250000070,929871.168500000030,919812.699999999950,903813.300000000050,1046092.476250000200,909090.000000000000,976527.309000000010,1006539.142500000200,10607748.879000001000
FS( 30 ),918227.667999999950,971658.628500000110,1040224.625000000000,922284.530250000070,921468.515499999980,910852.525000000140,901184.982000000080,1050522.784999999900,909090.000000000000,970673.328000000210,987991.580250000120,10504189.167500000000
FS( 31 ),935839.389750000090,987309.067500000240,996419.325000000070,925022.361499999880,915574.711499999980,901892.350000000090,894176.134000000080,1072674.328750000100,909090.000000000000,981306.069000000020,1010840.026499999900,10530153.763500001000
FS( 32 ),934684.522749999890,976855.530000000260,1040224.625000000000,925022.361499999880,908008.341499999980,896914.474999999980,891547.815999999990,1068244.020000000000,909090.000000000000,980350.317000000160,1017291.352500000000,10548243.361249998000
FS( 33 ),938149.123750000030,987309.067500000240,1027282.150000000000,927650.679500000090,923997.275999999950,900896.774999999910,888043.392000000110,1081534.946250000000,909090.000000000000,978438.812999999850,1018366.573500000100,10580768.796499999000
FS( 34 ),939303.990750000000,995074.552499999990,1035246.750000000000,929512.404749999990,916430.906000000080,899901.199999999950,891547.815999999990,1070434.284999999900,909090.000000000000,980350.317000000160,1008689.584500000000,10575591.806500001000
FS( 35 ),941902.441499999840,995074.552499999990,1044206.925000000000,928636.298749999840,936601.255499999970,899901.199999999950,884538.967999999990,1077104.637500000000,909090.000000000000,972584.831999999940,1011915.247499999900,10601566.358250001000
FS( 36 ),941902.441499999840,1000271.454000000000,1080047.625000000000,928636.298749999840,938293.733000000010,910852.525000000140,884538.967999999990,1068244.020000000000,909090.000000000000,966850.319999999950,1016216.131500000000,10644953.516750000000
FS( 37 ),954894.695249999990,995074.552499999990,1058144.975000000100,929512.404749999990,942495.059499999970,907865.800000000050,881910.650000000020,1061573.667500000000,909090.000000000000,966850.319999999950,1019441.794500000000,10626863.919000002000
FS( 38 ),954894.695249999990,992505.969000000040,1066109.575000000000,929512.404749999990,950061.429500000090,900896.774999999910,875777.907999999940,1068244.020000000000,909090.000000000000,966850.319999999950,1039064.577750000200,10653017.674249999000
FS( 39 ),938149.123750000030,987309.067500000240,1022304.275000000000,922284.530250000070,936601.255499999970,884718.681250000020,881910.650000000020,1063813.711250000200,909090.000000000000,959084.834999999960,1012990.468500000200,10518266.598000001000
FS( 40 ),931219.921749999980,1018550.211000000200,1040224.625000000000,925022.361499999880,964357.886500000020,876754.081250000050,888043.392000000110,1059383.402500000100,909090.000000000000,973540.584000000030,1011915.247499999900,10598111.713000001000
FS( 41 ),943057.308500000160,1002899.772000000100,1040224.625000000000,925898.467500000030,960992.842999999990,881731.956250000050,891547.815999999990,1072674.328750000100,909090.000000000000,978438.812999999850,1019441.794500000000,10626007.724500000000
FS( 42 ),943057.308500000160,997702.870500000190,1013344.100000000100,926774.573499999940,941638.865000000110,871776.206250000050,878406.226000000020,1079294.902500000100,909090.000000000000,980350.317000000160,1011915.247499999900,10553360.616750000000
FS( 43 ),949986.510499999860,997702.870500000190,1040224.625000000000,928636.298749999840,997152.126999999980,871776.206250000050,888043.392000000110,1088155.520000000000,909090.000000000000,977483.060999999990,1019441.794500000000,10667702.405500002000
FS( 44 ),935839.389750000090,1015921.893000000200,1040224.625000000000,925022.361499999880,1010592.389500000000,865802.756249999980,891547.815999999990,1077104.637500000000,909090.000000000000,971629.080000000070,1018366.573500000100,10661151.521999998000
FS( 45 ),938149.123750000030,1021118.794500000100,1031264.450000000100,925022.361499999880,1003862.302500000100,906870.224999999980,903813.300000000050,1068244.020000000000,909090.000000000000,966850.319999999950,1063257.050250000100,10737551.947500000000
FS( 46 ),928621.471000000140,1002899.772000000100,1040224.625000000000,925022.361499999880,1019014.954000000000,895918.900000000020,903813.300000000050,1068244.020000000000,909090.000000000000,959084.834999999960,1082879.833499999900,10734824.071999999000
FS( 47 ),931219.921749999980,995074.552499999990,1027282.150000000000,925898.467500000030,1008919.823500000100,919812.699999999950,907317.723999999930,1079294.902500000100,909090.000000000000,979394.565000000180,1042559.045999999900,10725873.852750000000
FS( 48 ),934684.522749999890,971658.628500000110,1005379.500000000000,932250.236000000030,998824.692999999970,912843.675000000050,901184.982000000080,1079294.902500000100,909090.000000000000,971629.080000000070,1093632.043499999900,10710482.263250001000
FS( 49 ),931219.921749999980,963833.409000000100,969538.800000000050,925022.361499999880,977798.148999999980,907865.800000000050,903813.300000000050,1083725.211250000200,909090.000000000000,960040.586999999940,1104653.058750000100,10636610.598250000000
FS( 50 ),945367.042500000100,984680.749500000270,987459.150000000020,928636.298749999840,974433.105499999950,909856.950000000070,910822.148000000040,1074864.593750000200,909090.000000000000,962907.842999999880,1124275.841999999900,10712403.722999999000
FS( 51 ),953739.828249999900,1000271.454000000000,1005379.500000000000,932250.236000000030,995459.649500000060,918817.125000000120,907317.723999999930,1083725.211250000200,909090.000000000000,963983.064000000130,1135296.857249999900,10805340.649249999000
FS( 52 ),943057.308500000160,1015921.893000000200,996419.325000000070,930388.510750000130,988729.562500000000,915830.400000000020,923087.632000000100,1083725.211250000200,909090.000000000000,976527.309000000010,1150618.756499999900,10833405.908500003000
FS( 53 ),957204.429249999930,1021118.794500000100,987459.150000000020,933126.342000000180,992094.606000000030,924790.574999999950,926592.055999999980,1083725.211250000200,909090.000000000000,976527.309000000010,1148468.314500000100,10860206.787500001000
FS( 54 ),949986.510499999860,1021118.794500000100,996419.325000000070,934002.448000000090,975289.300000000050,923795.000000000000,926592.055999999980,1085965.255000000100,909090.000000000000,977483.060999999990,1194165.206999999700,10893916.957000000000
FS( 55 ),935839.389750000090,1018550.211000000200,1000401.625000000100,934878.554000000240,975289.300000000050,917821.549999999930,919583.207999999870,1085965.255000000100,909090.000000000000,985129.076999999930,1176692.865749999900,10859251.035499999000
FS( 56 ),926311.736999999960,1005528.090000000000,996419.325000000070,937616.385250000050,969395.496000000040,917821.549999999930,916954.890000000010,1103686.490000000000,909090.000000000000,994806.065999999990,1148468.314500000100,10826108.343750000000
FS( 57 ),921692.269000000090,1023747.112500000300,1009361.800000000200,943092.047750000140,997152.126999999980,919812.699999999950,919583.207999999870,1110356.842500000000,909090.000000000000,1005438.806999999900,1189864.323000000100,10949201.236750001000
FS( 58 ),920537.402000000000,1018550.211000000200,1027282.150000000000,947582.091000000010,986220.713499999950,922799.425000000050,926592.055999999980,1136938.695000000100,909090.000000000000,1004483.055000000100,1192014.765000000100,10992100.563500000000
FS( 59 ),924002.002999999910,1044594.453000000000,1013344.100000000100,950319.922250000060,979490.626500000010,923795.000000000000,926592.055999999980,1147989.577499999900,909090.000000000000,993850.314000000130,1185563.439000000000,10998641.491249997000
FS( 60 ),927466.603999999820,1031572.332000000100,1013344.100000000100,944844.259749999970,1003862.302500000100,925786.149999999910,929220.373999999950,1147989.577499999900,909090.000000000000,997792.790999999970,1192014.765000000100,11022993.255749999000
FS( 61 ),926311.736999999960,1047163.036500000000,1022304.275000000000,949443.816249999920,1002189.736500000000,937981.943749999980,938857.540000000040,1154659.929999999900,909090.000000000000,996837.039000000110,1229109.889500000000,11113958.943499999000
FS( 62 ),925156.870000000000,1057556.839500000200,1022304.275000000000,947582.091000000010,985364.519000000090,939973.093749999880,942361.963999999920,1154659.929999999900,909090.000000000000,993850.314000000130,1281526.913249999800,11159436.809499998000
FS( 63 ),927466.603999999820,1049791.354500000100,1018321.975000000100,943092.047750000140,966866.735500000070,937981.943749999980,954627.447999999970,1183432.047500000100,909090.000000000000,994806.065999999990,1279376.471249999900,11164862.693249999000
FS( 64 ),932374.788749999950,1075835.596500000200,1031264.450000000100,947582.091000000010,975289.300000000050,942959.818749999980,951999.130000000240,1134698.651249999900,909090.000000000000,998748.542999999830,1270505.898000000000,11170358.267250000000
FS( 65 ),922847.136000000060,1047163.036500000000,1062127.275000000100,938492.491249999960,972760.539500000070,933999.643750000050,942361.963999999920,1134698.651249999900,909090.000000000000,995761.817999999850,1248732.672749999900,11108045.228000000000
FS( 66 ),924002.002999999910,1034140.915500000000,1044206.925000000000,934002.448000000090,1000517.170500000000,939973.093749999880,948494.706000000010,1121407.725000000100,909090.000000000000,986204.297999999950,1242281.346749999800,11084330.631500002000
FS( 67 ),935839.389750000090,1034140.915500000000,1066109.575000000000,937616.385250000050,988729.562500000000,940968.668750000070,945866.388000000040,1128078.077500000100,909090.000000000000,985129.076999999930,1257603.245999999800,11129181.285250001000
FS( 68 ),934684.522749999890,1044594.453000000000,1066109.575000000000,943092.047750000140,1003862.302500000100,940968.668750000070,951999.130000000240,1139128.960000000000,909090.000000000000,989071.553999999890,1231260.331500000100,11153871.545249999000
FS( 69 ),947676.776499999920,1060185.157500000200,1058144.975000000100,948458.196999999930,1005554.780000000000,954906.718750000000,958131.871999999970,1141369.003749999900,909090.000000000000,995761.817999999850,1255452.803999999800,11234742.102499999000
FS( 70 ),932374.788749999950,1057556.839500000200,1080047.625000000000,947582.091000000010,998824.692999999970,953911.143750000050,967769.038000000060,1125838.033749999900,909090.000000000000,994806.065999999990,1268355.456000000000,11236165.774750000000
FS( 71 ),944212.175500000010,1044594.453000000000,1071087.450000000000,943968.153750000060,988729.562500000000,949928.843750000120,967769.038000000060,1103686.490000000000,909090.000000000000,993850.314000000130,1240130.904750000000,11157057.385249998000
FS( 72 ),941902.441499999840,1039337.817000000000,1062127.275000000100,944844.259749999970,988729.562500000000,946942.118750000020,977406.204000000030,1108116.798749999800,909090.000000000000,992894.561999999920,1213787.990250000000,11125189.029500002000
FS( 73 ),938149.123750000030,1026315.696000000100,1049184.800000000000,946705.985000000100,982855.670000000040,950924.418749999950,980910.628000000030,1114787.151249999900,909090.000000000000,994806.065999999990,1213787.990250000000,11107527.529000001000
FS( 74 ),943057.308500000160,1034140.915500000000,1031264.450000000100,944844.259749999970,1005554.780000000000,956897.868749999910,993176.111999999960,1108116.798749999800,909090.000000000000,994806.065999999990,1255452.803999999800,11176411.363249999000
FS( 75 ),948831.643500000010,1065382.059000000100,1031264.450000000100,947582.091000000010,1010592.389500000000,958889.018750000050,989671.688000000080,1130268.342500000000,909090.000000000000,1001615.799000000000,1246582.230749999900,11239779.712000001000
FS( 76 ),952584.961250000050,1081032.498000000400,1035246.750000000000,951196.028249999970,1019014.954000000000,959884.593750000000,987043.369999999880,1121407.725000000100,909090.000000000000,1010337.036000000100,1248732.672749999900,11275580.589000002000
FS( 77 ),949986.510499999860,1101879.838500000100,1031264.450000000100,946705.985000000100,1003862.302500000100,957893.443750000090,987043.369999999880,1134698.651249999900,909090.000000000000,1004483.055000000100,1250883.114749999900,11277800.721249999000
FS( 78 ),952584.961250000050,1101879.838500000100,1022304.275000000000,946705.985000000100,1007227.346000000000,957893.443750000090,980910.628000000030,1128078.077500000100,909090.000000000000,1003527.303000000200,1253033.556750000000,11263245.414750000000
FS( 79 ),959514.163249999750,1101879.838500000100,1031264.450000000100,946705.985000000100,997152.126999999980,966355.831250000050,977406.204000000030,1141369.003749999900,909090.000000000000,1005438.806999999900,1235561.215499999700,11271747.625249999000
FS( 80 ),962978.764250000010,1101879.838500000100,1031264.450000000100,943968.153750000060,997152.126999999980,964115.787500000090,983538.946000000000,1136938.695000000100,909090.000000000000,999704.294999999930,1224809.005499999700,11255450.062500002000
FS( 81 ),966732.081999999820,1122667.444500000000,1092990.100000000100,943092.047750000140,1013957.433000000000,972578.175000000050,987043.369999999880,1130268.342500000000,909090.000000000000,996837.039000000110,1209487.106250000000,11344753.140000001000
FS( 82 ),967886.949000000020,1122667.444500000000,1066109.575000000000,947582.091000000010,990422.040000000040,974569.324999999950,980910.628000000030,1136938.695000000100,909090.000000000000,993730.844999999970,1183412.997000000000,11273330.589500001000
FS( 83 ),971351.550000000050,1166930.709000000300,1123852.925000000000,944844.259749999970,997152.126999999980,983778.393750000050,980910.628000000030,1143559.268750000000,909090.000000000000,985487.484000000050,1257603.245999999800,11464570.591250001000
FS( 84 ),973661.283999999750,1166930.709000000300,1119870.625000000000,943968.153750000060,1002189.736500000000,980791.668749999950,987043.369999999880,1143559.268750000000,909090.000000000000,979394.565000000180,1231260.331500000100,11437769.712249998000
FS( 85 ),971351.550000000050,1148711.686500000100,1136795.400000000100,943092.047750000140,1019014.954000000000,975564.899999999910,987043.369999999880,1143559.268750000000,909090.000000000000,985487.484000000050,1235561.215499999700,11455281.876499997000
FS( 86 ),967886.949000000020,1150324.517999999900,1185578.575000000000,941230.322500000010,1047587.956500000100,973573.750000000000,980910.628000000030,1143559.268750000000,909090.000000000000,974257.398000000040,1253033.556750000000,11527042.922500001000
FS( 87 ),977414.601750000030,1163705.046000000100,1172636.100000000100,939478.110500000180,1057981.759499999900,975564.899999999910,980910.628000000030,1139128.960000000000,909090.000000000000,960996.339000000040,1257603.245999999800,11534519.690750001000
FS( 88 ),980879.202749999820,1144948.412999999900,1181596.275000000100,939478.110500000180,1066623.350499999900,970338.131250000090,983538.946000000000,1141369.003749999900,909090.000000000000,971151.203999999910,1283677.355250000000,11572699.992000002000
FS( 89 ),982034.069749999910,1155700.623000000100,1176618.400000000100,943968.153750000060,1051052.557499999900,989005.162500000090,987043.369999999880,1143559.268750000000,909090.000000000000,970195.451999999930,1314321.153750000100,11622598.211000001000
FS( 90 ),983188.936749999990,1139632.042500000400,1145755.575000000000,943968.153750000060,1045855.656000000100,990000.737500000050,1006317.702000000000,1141369.003749999900,909090.000000000000,973182.177000000030,1283677.355250000000,11562047.339499999000
FS( 91 ),986942.254499999920,1147636.465500000200,1172636.100000000100,943092.047750000140,1038946.365500000000,1018125.731250000000,1022087.610000000000,1147989.577499999900,909090.000000000000,969120.230999999910,1314321.153750000100,11669997.536750002000
FS( 92 ),970196.682999999960,1147636.465500000200,1150733.450000000000,941230.322500000010,1014714.069999999900,1008667.768750000000,999308.854000000050,1139128.960000000000,909090.000000000000,970195.451999999930,1322922.921749999700,11573834.947500000000
FS( 93 ),970196.682999999960,1131567.884999999800,1225401.575000000000,941230.322500000010,1018178.671000000100,1053219.750000000000,1006317.702000000000,1147989.577499999900,909090.000000000000,963983.064000000130,1310020.269750000000,11677205.499749999000
FS( 94 ),970196.682999999960,1136943.990000000000,1225401.575000000000,942215.941750000230,1006072.479000000100,1073877.931249999900,1022087.610000000000,1136938.695000000100,909090.000000000000,960996.339000000040,1351416.278250000000,11735247.522249999000
FS( 95 ),973661.283999999750,1139632.042500000400,1220423.700000000000,939478.110500000180,1007804.779500000100,1069895.631250000100,1018583.186000000200,1130268.342500000000,909090.000000000000,963983.064000000130,1322922.921749999700,11695753.062000001000
FS( 96 ),972506.416999999900,1131567.884999999800,1220423.700000000000,948239.170500000010,1004340.178500000000,1078109.125000000000,1018583.186000000200,1143559.268750000000,909090.000000000000,967089.258000000150,1298999.254499999800,11692517.443250000000
FS( 97 ),965577.214999999850,1104806.829000000100,1234361.750000000000,948239.170500000010,1019910.971500000100,1084331.468750000000,1015954.868000000000,1139128.960000000000,909090.000000000000,979394.565000000180,1316471.595750000100,11717277.393499998000
FS( 98 ),967886.949000000020,1126251.514500000300,1207481.225000000100,944406.206750000130,1025107.873000000000,1086322.618749999900,1024715.928000000100,1143559.268750000000,909090.000000000000,981425.537999999940,1325073.363750000000,11741330.485500000000
FS( 99 ),977414.601750000030,1147636.465500000200,1194538.750000000000,947253.551249999790,1042410.966500000000,1086322.618749999900,1028220.352000000100,1143559.268750000000,909090.000000000000,983456.511000000060,1327492.611000000000,11787405.696500000000
FS( 100 ),973661.283999999750,1153012.570500000100,1248299.800000000000,948239.170500000010,1035481.764500000000,1117434.337499999900,1028220.352000000100,1152419.886250000000,909090.000000000000,983456.511000000060,1353566.720250000000,11902892.396500001000
FS( 101 ),973661.283999999750,1134255.937500000200,1248299.800000000000,944406.206750000130,1025107.873000000000,1115443.187500000000,1034353.094000000200,1147989.577499999900,909090.000000000000,981425.537999999940,1320772.479749999900,11834814.978000000000
FS( 102 ),978569.468750000000,1120875.409500000300,1248299.800000000000,941558.862250000010,1018178.671000000100,1134110.218750000000,1047494.684000000100,1152419.886250000000,909090.000000000000,981425.537999999940,1287978.239249999900,11820010.777750002000
FS( 103 ),1001089.375250000200,1136943.990000000000,1194538.750000000000,944406.206750000130,1009537.080000000100,1107229.693750000100,1037857.517999999800,1163520.547500000100,909090.000000000000,987518.456999999940,1235561.215499999700,11727302.833750000000
FS( 104 ),1006863.710249999900,1131567.884999999800,1239339.625000000000,944406.206750000130,1016446.370500000000,1124652.256250000100,1047494.684000000100,1161280.503749999900,909090.000000000000,987518.456999999940,1259753.687999999800,11828423.386500001000
FS( 105 ),992716.589500000000,1136943.990000000000,1225401.575000000000,943530.100749999750,959360.100000000090,1113700.931249999900,1031724.776000000100,1145799.312500000000,909090.000000000000,981425.537999999940,1268355.456000000000,11708058.369000001000
FS( 106 ),989251.988499999980,1112870.986500000100,1239339.625000000000,948239.170500000010,1006928.673500000000,1092047.175000000000,1024715.928000000100,1150229.621250000100,909090.000000000000,983456.511000000060,1292547.928499999900,11748727.607750000000
FS( 107 ),997336.057500000000,1128939.567000000300,1234361.750000000000,943530.100749999750,999143.277000000000,1083335.893750000000,1028220.352000000100,1147989.577499999900,909090.000000000000,986562.705000000070,1318622.037749999900,11777141.318250000000
FS( 108 ),974816.150999999950,1115559.039000000300,1212459.100000000100,939697.137000000100,990501.686000000100,1051726.387500000000,1008946.019999999900,1125838.033749999900,909090.000000000000,972226.425000000050,1264054.571999999900,11564924.551250001000
FS( 109 ),966732.081999999820,1112870.986500000100,1167658.225000000100,939697.137000000100,1018178.671000000100,1074624.612500000000,1018583.186000000200,1114488.478749999800,909090.000000000000,973182.177000000030,1253033.556750000000,11548149.112499999000
FS( 110 ),980879.202749999820,1147636.465500000200,1189560.875000000000,946377.445250000110,999143.277000000000,1076864.656250000000,1022087.610000000000,1121308.167500000000,909090.000000000000,991699.871999999970,1240130.904750000000,11624788.476000000000
FS( 111 ),973661.283999999750,1147636.465500000200,1203498.925000000000,943530.100749999750,996554.782000000120,1068153.375000000000,1018583.186000000200,1116728.522500000000,909090.000000000000,993730.844999999970,1253033.556750000000,11624211.042499999000
FS( 112 ),993871.456500000090,1144948.412999999900,1248299.800000000000,946377.445250000110,1004340.178500000000,1081095.850000000100,1024715.928000000100,1100849.101250000300,909090.000000000000,1000898.985000000000,1279376.471249999900,11733873.628749998000
FS( 113 ),995026.323500000060,1136943.990000000000,1230379.450000000000,946377.445250000110,994822.481499999990,1073629.037500000100,1031724.776000000100,1096269.456250000000,909090.000000000000,994686.596999999950,1312170.711749999800,11721130.268750001000
FS( 114 ),1003399.109250000000,1144948.412999999900,1248299.800000000000,950100.895749999910,1010393.274500000100,1089807.131250000100,1037857.517999999800,1087209.723750000100,909090.000000000000,996837.039000000110,1325073.363750000000,11803026.268250002000
FS( 115 ),1004553.976249999900,1144948.412999999900,1248299.800000000000,948239.170500000010,1012981.769500000100,1100758.456250000000,1024715.928000000100,1080390.034999999900,909090.000000000000,1001854.737000000000,1329643.052999999800,11805485.338499999000
FS( 116 ),1005708.843249999900,1144948.412999999900,1257259.975000000100,948239.170500000010,1012981.769500000100,1092047.175000000000,1022087.610000000000,1094029.412500000100,909090.000000000000,1006991.903999999900,1331793.495000000100,11825187.767749999000
FS( 117 ),1005708.843249999900,1144948.412999999900,1248299.800000000000,947253.551249999790,1012981.769500000100,1083335.893750000000,1018583.186000000200,1084919.901250000100,909090.000000000000,1006991.903999999900,1399532.417999999800,11861655.679999998000
FS( 118 ),1025919.015749999800,1144948.412999999900,1252282.100000000100,957766.823250000130,1030284.863000000000,1092047.175000000000,1064140.697999999900,1100849.101250000300,909090.000000000000,1011053.850000000000,1379909.634749999700,11968301.673999999000
FS( 119 ),1031693.350749999800,1144948.412999999900,1252282.100000000100,960614.167750000020,1033749.464000000000,1115940.975000000100,1078158.394000000100,1100849.101250000300,909090.000000000000,1012129.071000000000,1392812.286749999700,12032277.323500002000
FS( 120 ),1040066.136500000100,1144948.412999999900,1225401.575000000000,959628.548500000030,1035481.764500000000,1124652.256250000100,1074653.970000000000,1096269.456250000000,909090.000000000000,1015235.265000000100,1362437.293499999900,11987874.678500000000
