代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12650461.773750000000
真實報酬,2650461.773749999700

夏普值報酬,0.256346177375
夏普值風險,0.063492336745
夏普值,4.037434917637

預期報酬,16532.239489825595
風險,205804.813999989300
起點值,0.080329702540
找到最佳解世代,3407
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
2412(24),2912(39),3045(40),8046(47),
Stock#,2412(24),2912(39),3045(40),8046(47),
張數,50,39,59,24,
FS( 78 ),2676680.425000000300,3227620.923249999500,2783254.825750000300,2855258.722000000500,11542814.896000002000
FS( 79 ),2672698.125000000000,3212478.227500000000,2778555.711750000700,2785727.764000000000,11449459.828250000000
FS( 80 ),2704556.525000000400,3196947.257500000300,2809687.342000000600,2805559.618000000200,11516750.742500002000
FS( 81 ),2696591.925000000300,3243151.893250000200,2836707.247500000500,2725993.264000000000,11502444.329750001000
FS( 82 ),2684645.025000000400,3243151.893250000200,2832008.133500000500,2715957.868000000200,11475762.919750001000
FS( 83 ),2684645.025000000400,3273825.559000000400,2832008.133500000500,2706161.410000000100,11496640.127500001000
FS( 84 ),2708538.825000000200,3289356.529000000100,2841406.361500000600,2696126.014000000000,11535427.729500001000
FS( 85 ),2724468.025000000400,3273825.559000000400,2832008.133500000500,2646426.910000000100,11476728.627500001000
FS( 86 ),2748361.825000000200,3273825.559000000400,2850217.200250000200,2725993.264000000000,11598397.848250002000
FS( 87 ),2760308.725000000100,3320030.194750000700,2823197.294750000400,2736028.660000000100,11639564.874500003000
FS( 88 ),2768273.325000000200,3339443.907250000600,2814386.456000000200,2696126.014000000000,11618229.702250002000
FS( 89 ),2764291.025000000400,3387201.640000000100,2814386.456000000200,2626356.118000000200,11592235.239000002000
FS( 90 ),2768273.325000000200,3403120.884250000600,2814386.456000000200,2686090.618000000200,11671871.283250002000
FS( 91 ),2744379.525000000400,3594540.089500000200,2809687.342000000600,2715957.868000000200,11864564.824500002000
FS( 92 ),2712521.125000000000,3690055.555000000600,2765045.759000000500,2656223.368000000200,11823845.807000002000
FS( 93 ),2716503.425000000300,3530474.838250001000,2738613.242750000700,2506887.118000000200,11492478.624000002000
FS( 94 ),2722974.662500000100,3450878.616999999600,2733914.128750000600,2337719.014000000000,11245486.422250001000
FS( 95 ),2731437.050000000300,3419040.128500000600,2773856.597750000200,2317887.160000000100,11242220.936250001000
FS( 96 ),2739899.437500000000,3594540.089500000200,2792065.664500000900,2347754.410000000100,11474259.601500001000
FS( 97 ),2769766.687500000000,3690055.555000000600,2787366.550500000400,2327922.556000000300,11575111.349000001000
FS( 98 ),2786691.462500000400,3690055.555000000600,2805575.617250000100,2367586.264000000000,11649908.898750002000
FS( 99 ),2773748.987500000300,3642297.822250000200,2818498.180750000300,2407488.910000000100,11642033.900500000000
FS( 100 ),2769766.687500000000,3626378.578000000700,2823197.294750000400,2387657.056000000300,11606999.616250001000
FS( 101 ),2769766.687500000000,3642297.822250000200,2832008.133500000500,2407488.910000000100,11651561.553250000000
FS( 102 ),2748361.825000000200,3801490.264749999600,2854328.925000000700,2407488.910000000100,11811669.924750000000
FS( 103 ),2735917.137500000200,3690055.555000000600,2832008.133500000500,2258152.660000000100,11516133.486000001000
FS( 104 ),2756824.212500000400,3562313.326750000000,2832008.133500000500,2128887.202000000000,11280032.874749999000
FS( 105 ),2761304.300000000300,3514555.593999999600,2832008.133500000500,2178586.306000000300,11286454.333500000000
FS( 106 ),2773748.987500000300,3642297.822250000200,2809687.342000000600,2059117.305999999900,11284851.457750000000
FS( 107 ),2795153.850000000100,3817409.509000000500,2823197.294750000400,2088984.555999999900,11524745.209750002000
FS( 108 ),2845928.175000000300,3721894.043500000100,2850217.200250000200,2178586.306000000300,11596625.724750001000
FS( 109 ),2845928.175000000300,3658217.066500000200,2845518.086250000600,2128887.202000000000,11478550.529750001000
FS( 110 ),2858372.862500000300,3769651.776250000100,2845518.086250000600,2168550.910000000100,11642093.635000002000
FS( 111 ),2871315.337500000400,3833328.753250000100,2841406.361500000600,2198418.160000000100,11744468.612250000000
FS( 112 ),2858372.862500000300,3849247.997500000100,2818498.180750000300,2208453.556000000300,11734572.596750000000
FS( 113 ),2875297.637500000200,3769651.776250000100,2827896.408750000900,2218250.014000000000,11691095.836500002000
FS( 114 ),2896702.500000000000,3785571.020500000100,2836707.247500000500,2178586.306000000300,11697567.074000001000
FS( 115 ),2892222.412500000100,3801490.264749999600,2850217.200250000200,2218250.014000000000,11762179.891500000000
FS( 116 ),2934534.350000000100,4024747.958499999700,2894858.783250000800,2307851.764000000000,12161992.855750000000
FS( 117 ),2942996.737500000300,3961070.981499999800,2867838.877750000500,2277984.514000000000,12049891.110750001000
FS( 118 ),2947476.825000000200,4008828.714250000200,2872537.991750000500,2248117.264000000000,12076960.795000002000
FS( 119 ),2922089.662500000100,3945151.737250000200,2863727.153000000400,2218250.014000000000,11949218.566750001000
FS( 120 ),2934534.350000000100,4056586.447000000200,2850217.200250000200,2228285.410000000100,12069623.407250000000
FS( 121 ),2939014.437500000000,4088424.935499999700,2872537.991750000500,2238320.806000000300,12138298.170750000000
FS( 122 ),2939014.437500000000,4152101.912500000100,2863727.153000000400,2198418.160000000100,12153261.663000001000
FS( 123 ),2939014.437500000000,4439036.583250000100,2845518.086250000600,2208453.556000000300,12432022.663000001000
FS( 124 ),2955939.212500000400,4359440.361999999700,2850217.200250000200,2228285.410000000100,12393882.184750000000
FS( 125 ),2985308.675000000300,4343521.117749999300,2859028.039000000800,2238320.806000000300,12426178.637750000000
FS( 126 ),2985308.675000000300,4327601.873499999800,2859028.039000000800,2347754.410000000100,12519692.997500001000
FS( 127 ),2985308.675000000300,4232086.407999999800,2872537.991750000500,2506887.118000000200,12596820.192750001000
FS( 128 ),2985308.675000000300,4327601.873499999800,2890159.669250000300,2447391.556000000300,12650461.773750000000
